Vârdformu skaits:	3527
Vârdlietojumu skaits:	14392


841	un
417	to
266	kas
251	ka
231	tee
227	wiò§ch
215	ar
215	tas
208	teem
186	no
160	bija
159	Un
152	ne
142	ta
130	bij
118	tad
114	tohs
108	us
101	pee
97	tahs
95	par
91	Bet
89	nu
88	kad
78	ka`
72	bet
69	irr
64	arri
63	Tad
63	pehz
63	wiòòu
60	prett
56	Kad
55	tappe
53	tam
50	ko
50	ta`
48	pahr
46	weenu
45	kïua
45	zaur
43	wiòòa
42	arrid§an
42	úawu
41	Deewa
40	es
39	buhtu
39	eekúch
38	úcho
37	wiòòam
36	Jo
36	atkaï
36	wehl
35	Leetas
34	daud§
34	tik
33	mehs
32	jo
31	preekúch
30	labbi
30	Íehniòa
30	Íehniò§ch
28	Pilsúahtu
28	tahm
28	tur
27	wiúúu
26	Judeem
26	itt
26	weens
25	taptu
25	wiúúeem
24	nahze
24	úawas
24	úazzija
23	gann
23	tu
22	Juhdas
22	Ta`
22	mums
21	Antiokus
21	Judu
21	eúúam
21	eúúu
21	jums
21	lihd§
21	pats
21	turreja
20	Leetahm
20	Makkabejus
20	Semmes
20	darriht
19	Deews
19	Kungs
19	Kungu
19	Weetu
19	labbu
19	muhúu
19	ïohti
19	úwehtu
18	dehï
18	gribbetu
18	leelu
18	úuhtija
17	Deewu
17	pawehleja
17	paúchu
17	wiòòeem
17	wiúúi
17	òehme
17	úaweem
16	gahje
16	likke
16	Ïaudis
16	úawus
16	úchi
15	diwideúmits
15	juhs
15	kam
15	patt
15	zitteem
15	zitti
15	úchis
14	Judi
14	Pehz
14	eúmu
14	nokawe
14	tahdu
14	tuhk§toúchus
14	úawa^
13	Bauúlibas
13	Deena^
13	Jeru§alemes
13	Kunga
13	Naudu
13	Warru
13	Weeta^
13	Weetas
13	aisgahje
13	kur
13	luhd§e
13	ta^
13	tai^
13	tapehz
13	weena
12	Juhdaúa
12	Meeru
12	bijis
12	diwi
12	d§ihwoja
12	peeúauze
12	tadehï
12	turreht
12	wiúúas
12	Íehniòu
12	Ïaudim
12	úchihs
11	Eenaidneekeem
11	Laika^
11	Li§ijus
11	Paligu
11	Pulkeem
11	Tadehï
11	Weetahm
11	Wihrs
11	Wiò§ch
11	bes
11	darrija
11	gribbeja
11	tuhdaliò
11	warretu
11	ween
11	zittus
10	Aug§ta=Pree§teºa
10	Brahïeem
10	Deenas
10	Judus
10	Ka
10	Leetu
10	Menelau#s
10	Nikanors
10	Selta
10	Walditaju
10	jaw
10	pawehlejs
10	tappis
10	tohp
10	warreja
10	wiúúus
10	úenn
10	úimts
9	Debbes
9	Jeru§alemi
9	Laiku
9	Nikanoºa
9	Pagaòu
9	Pilsúahta
9	Preeku
9	Pree§teºi
9	Tehwa
9	Wihru
9	buhs
9	dabbuja
9	darrijúchi
9	dewe
9	gohdigi
9	notikke
9	padarriht
9	papreekúch
9	tai
9	usòehme
9	waijaga^
9	wairak
9	Ïau§chu
9	úirdigi
8	Altaºa
8	Brahïi
8	Bruòòahm
8	Debbeúim
8	Deewa=Nammu
8	Gadda^
8	Grahmatu
8	Ja§ons
8	Leeta
8	Muhºeem
8	Rohku
8	Semmi
8	Tautu
8	Tee
8	Tehwu
8	Ugguni
8	Ugguns
8	Wahrdu
8	apkahrt
8	darrijs
8	drih§
8	jepúchu
8	ka^
8	kamehr
8	kohpa^
8	nahktu
8	pamette
8	parahdijahs
8	tahdas
8	turrenes
8	wiúúai
8	Íehniòam
8	úawahm
8	úazzijs
8	úchíitte
8	úohlija
7	Bauúlibu
7	Juhdaúu
7	Nammu
7	Nee#mijus
7	Onijus
7	Pagaòeem
7	Prahtu
7	Spehku
7	Tapehz
7	Timoteju
7	Walditajs
7	dohmaja
7	eezehle
7	gribbedams
7	ir
7	ja
7	kahrt
7	leela
7	likkahs
7	nokauti
7	nomirt
7	notikkuúchas
7	notikkuúi
7	notizzis
7	parahdija
7	pretti
7	red§eja
7	tapt
7	tew
7	tewi
7	Úudraba
7	úchim
7	úchíittahs
6	Amatu
6	Bauúlibahm
6	Deenu
6	D§ihwibu
6	Greekeºu
6	Oniju
6	Padohmu
6	Rohkahm
6	Rohkas
6	Tas
6	Timotejus
6	Uppuºeem
6	Wahrdeem
6	aisgahjis
6	ap§kaitahs
6	atnahze
6	aug§tu
6	a§toòdeúmits
6	doht
6	drohúchi
6	eekúcha^
6	gribbus
6	gulleja
6	labba
6	labpraht
6	lihd§i
6	neneeka
