Vârdformu skaits:	3433
Vârdlietojumu skaits:	14409


1001	un
420	to
268	kas
263	ka
240	tee
238	wiò§ch
222	tas
220	ar
208	teem
188	no
182	tad
167	bet
160	bija
155	ne
146	kad
142	ta
130	bij
114	tohs
108	us
101	pee
99	tahs
96	par
92	nu
79	ka`
77	pehz
73	ta`
69	irr
68	jo
64	arri
63	wiòòu
60	prett
56	tappe
54	ko
54	tam
49	pahr
46	weenu
46	zaur
45	es
45	kïua
44	wiòòa
42	arrid§an
42	úawu
41	deewa
41	úcho
39	buhtu
39	eekúch
38	wehl
38	wiòòam
36	atkaï
35	leetas
35	mehs
34	daud§
34	tik
32	tur
31	itt
31	preekúch
30	íehniòa
30	íehniò§ch
30	labbi
28	pilsúahtu
28	tahm
28	tu
28	wiúúu
27	weens
26	judeem
25	gann
25	taptu
25	wiúúeem
24	nahze
24	úawas
24	úazzija
23	mums
23	tadehï
22	juhdas
21	antiokus
21	eúúam
21	eúúu
21	judu
21	jums
21	labbu
21	lihd§
21	pats
21	turreja
20	darriht
20	leetahm
20	makkabejus
20	muhúu
20	semmes
20	tapehz
20	weetu
19	deews
19	kungs
19	kungu
19	ïohti
19	úwehtu
18	dehï
18	gribbetu
18	leelu
18	úuhtija
17	deewu
17	òehme
17	paúchu
17	pawehleja
17	úaweem
17	úchi
17	úchis
17	wiòòeem
17	wiúúi
16	gahje
16	ïaudis
16	likke
16	úawus
16	zitti
15	diwideúmits
15	juhs
15	kam
15	patt
15	ta^
15	zitteem
14	eúmu
14	judi
14	nokawe
14	úawa^
14	úchihs
14	tahdu
14	tuhk§toúchus
13	aisgahje
13	bauúlibas
13	deena^
13	jeru§alemes
13	kunga
13	kur
13	luhd§e
13	naudu
13	úimts
13	tai^
13	warru
13	weena
13	weeta^
13	weetas
12	bijis
12	diwi
12	d§ihwoja
12	ja
12	juhdaúa
12	íehniòu
12	ïaudim
12	meeru
12	peeúauze
12	turreht
12	wiúúas
11	bes
11	darrija
11	eenaidneekeem
11	gribbeja
11	laika^
11	li§ijus
11	paligu
11	pulkeem
11	tuhdaliò
11	warretu
11	ween
11	weetahm
11	wihrs
11	zittus
10	aug§ta=pree§teºa
10	brahïeem
10	deenas
10	ir
10	jaw
10	jepúchu
10	judus
10	laiku
10	leetu
10	menelau#s
10	nikanors
10	pawehlejs
10	preeku
10	selta
10	úenn
10	tappis
10	tatúchu
10	tohp
10	walditaju
10	warreja
10	wiúúus
9	buhs
9	dabbuja
9	darrijúchi
9	debbes
9	dewe
9	gohdigi
9	jeru§alemi
9	kamehr
