Vârdformu skaits:	377
Vârdlietojumu skaits:	977


94	un
38	muh§chigi
35	to
31	wiòòu
30	Kungu
28	d§eedajt
27	aug§titeizeet
18	tu
17	Úlawejeet
15	eúúi
11	úlawejeet
11	Un
10	irr
10	kas
10	ne
9	mums
9	neds
9	no
9	wiúúi
8	ar
7	juhs
7	tawas
6	ka`
6	mehs
6	muhs
6	pehz
6	Úlawehts
6	ta
6	tahs
5	Jo
5	ka
5	ko
5	Kungs
5	tas
5	teem
5	teizams
5	tohs
5	wiúúu
4	aug§tiúlawejams
4	eúúam
4	Juhs
4	Kauna^
4	Kunga
4	lai
4	Ugguns
4	Zepli
3	darrijs
3	Debbes
3	Deews
3	Deewu
3	gohdinajams
3	leelas
3	lizzis
3	muhúu
3	Mutti
3	paleek
3	preekúch
3	Preekúcha^
3	tawa
3	taweem
3	Tehwu
3	us
3	useet
3	Zepïa
2	ak
2	A§arijus
2	Bet
2	bih§tahs
2	bija
2	darrija
2	darrijúchi
2	Debbeúim
2	d§eed
2	eekúch
2	Garri
2	Gohdibas
2	Grehkeem
2	jeb
2	jo
2	Kalpeem
2	Leetahm
2	lihd§
2	nahkam
2	nu
2	pahr
2	parei§i
2	Paúaule^
2	pee
2	úawu
2	Schehla§tiba
2	úlawe
2	Swaig§nes
2	Úwelmes
2	ta`
2	tam
2	tappuúchi
2	tapt
2	tawa^
2	tawi
2	tawu
2	Teeúu
2	tewi
2	tohp
2	Tu
2	Wahrds
2	widdus
2	wiòòa
2	wiò§ch
2	wiúúa^
2	wiúúahm
2	wiúúai
2	wiúúas
1	ahra^
1	aiskahre
1	appakúch
1	apwainojúchees
1	arri
1	atdarriht
1	atdarrija
1	atkahpuúchees
1	atmett
1	atradde
1	atra§t
1	at§ih§t
1	at§tahjahs
1	aug
1	aug§cham
1	aug§ti
1	aug§tigohdinajams
1	aug§titeiz
1	aug§titeizams
1	Ahbra&a&ma{Ahbra&a& ma}
1	Akkas
1	Ananijus
1	Apúmeekli
1	Aúarijus
1	Atkahpajeem
1	Aug§tuma^
1	Auk§tums
1	Auneem
1	Bauúleem
1	Behrni
1	Besdibbenu
1	bet
1	bih§tamees
1	bij
1	Brihnumeem
1	buhtu
1	Darba
1	Darbi
1	darri
1	daud§
1	Debbeúis
1	Ded§amee=Uppuºi
1	Ded§amu=Uppuºus
1	Deenas
1	deggoúcha
1	dehï
1	Derribu
1	dewiò
1	dohd
1	drihk§tam
1	d§eedaja
1	d§e§trs
1	D§immumu
1	d§innahs
1	Dwehúeles
1	Dwehúeli
1	eemettuúchi
1	Eenaidneeku
1	Ehdamu=Uppuºi
1	Elles
1	Eòìeïi
1	Eòìelis
1	Gaiúma
1	Gallam
1	Garru
1	Gohda=Krehúlu
1	Gohdu
1	grehkojúchi
1	Grehku
1	isd§inne
1	isglahb
1	isglahbis
1	islai§tijahs
1	isnihzina
1	ispe§tijs
1	ispoh§tihts
1	israhwis
1	itt
1	Jehreem
1	Jeru§alemei
1	J§rae#ls
1	Jtt
1	Juhºas
1	Juhrmallas
1	Ka
1	ka^
1	kahrt
1	Kaldee#ºus
1	Kalni
1	Kalpi
1	Kar§tums
1	Íehniòa
1	Íehniòam
1	Íerubim
1	klahjees
1	Kungam
1	Kuººeem
1	kurrinaht
1	ku§tahs
1	Kwepja=Uppuºi
1	labbi
1	Lai
1	Laika^
1	laipnigs
1	ïaunu
1	Leetus
1	Lehnibas
1	likúi
1	Lohpi
1	ma§aki
1	Mehnes
1	meklejam
1	Mihïa
1	Mi§ae#ls
1	mittejahs
1	muh§cham
1	muhúeem
1	Mums
1	Nahwes
1	Naktis
1	Namma^
1	Nawtu
1	nekahds
1	ne§dami
1	netaiúnam
1	netaiúnu
1	nodewis
1	nolaidahs
1	Ohlektis
1	Padebbeúis
1	Pagaòi
1	Pakalni
1	Pakkulahm
1	paklauúijúchi
1	palihd§ejs
1	par
1	parahda
1	Pa§aules
1	pa§emmigu
1	pa§emmoti
1	pateeúi
1	Pateeúiba
1	pateizeet
1	Pateizeet
1	patizzigi
1	pawehlejs
1	peeluhd§e
1	peeòemmigi
1	Pilsúahtam
1	Praweets
1	Pree§teºi
1	Putni
1	Raúúa
1	Raúúas
1	Rohka^
1	Rohkas
1	runnajs
1	úaded§inaja
1	Úahpes
1	Úalna
1	Sarºeem
1	úatreektu
1	Úaule
1	úauúeem
1	úaweem
1	úazzidami
1	úazzija
1	úchee
1	Schehla§tibas
1	Schehla§tibu
1	úchinni
1	úcho
1	úchodeen
1	§ehd
1	Semme
1	Semmes
1	Sibbiòi
1	Úirdi
1	Úirds=No§kummuúchee
1	Úirds=Schehla§tiba
1	Siwis
1	§kattees
1	úlawehts
1	úlaweja
1	úlawejams
1	Úmiltis
1	Úneegs
1	Úohdibu
1	Spehki
1	Spehks
1	§tahweja
1	Stipruma^
1	Úullaiòi
1	Swehri
1	úwehta^
1	úwehtam
