Vârdformu skaits:	364
Vârdlietojumu skaits:	985


106	un
38	muh§chigi
35	to
31	wiòòu
30	kungu
28	d§eedajt
28	úlawejeet
27	aug§titeizeet
20	tu
15	eúúi
11	juhs
11	ne
10	irr
10	kas
10	mums
10	wiúúi
9	neds
9	no
8	ar
7	jo
7	muhs
7	úlawehts
7	tawas
6	ka
6	ka`
6	mehs
6	pehz
6	ta
6	tahs
5	ko
5	kungs
5	lai
5	tas
5	teem
5	teizams
5	tohs
5	wiúúu
4	aug§tiúlawejams
4	eúúam
4	kauna^
4	kunga
4	muhúu
4	ugguns
4	zepïa
4	zepli
3	bet
3	darrijs
3	debbes
3	deews
3	deewu
3	gohdinajams
3	leelas
3	lizzis
3	mutti
3	paleek
3	preekúch
3	preekúcha^
3	tawa
3	taweem
3	tehwu
3	us
3	useet
2	ak
2	a§arijus
2	bih§tahs
2	bija
2	darrija
2	darrijúchi
2	debbeúim
2	d§eed
2	eekúch
2	garri
2	gohdibas
2	grehkeem
2	itt
2	jeb
2	kalpeem
2	leetahm
2	lihd§
2	nahkam
2	nu
2	pahr
2	parei§i
2	paúaule^
2	pateizeet
2	pee
2	úawu
2	schehla§tiba
2	úlawe
2	swaig§nes
2	úwelmes
2	ta`
2	taiúnu
2	tam
2	tappuúchi
2	tapt
2	tawa^
2	tawi
2	tawu
2	teeúu
2	tewi
2	tohp
2	uppuºi
2	wahrds
2	widdus
2	wiòòa
2	wiò§ch
2	wiús
2	wiúúa^
2	wiúúahm
2	wiúúai
2	wiúúas
1	ahbra&a&ma{ahbra&a& ma}
1	ahra^
1	aiskahre
1	akkas
1	ananijus
1	appakúch
1	apúmeekli
1	apwainojúchees
1	arri
1	aúarijus
1	atdarriht
1	atdarrija
1	atkahpajeem
1	atkahpuúchees
1	atmett
1	atradde
1	atra§t
1	at§ih§t
1	at§tahjahs
1	aug
1	aug§cham
1	aug§ti
1	aug§tigohdinajams
1	aug§titeiz
1	aug§titeizams
1	aug§tuma^
1	auk§tums
1	auneem
1	bauúleem
1	behrni
1	besdibbenu
1	bih§tamees
1	bij
1	brihnumeem
1	buhtu
1	darba
1	darbi
1	darri
1	daud§
1	debbeúis
1	ded§amee=uppuºi
1	ded§amu=uppuºus
1	deenas
1	deggoúcha
1	dehï
1	derribu
1	dewiò
1	dohd
1	drihk§tam
1	d§eedaja
1	d§e§trs
1	d§immumu
1	d§innahs
1	dwehúeles
1	dwehúeli
1	eemettuúchi
1	eenaidneeku
1	ehdamu=uppuºi
1	elles
1	eòìeïi
1	eòìelis
1	gaiúma
1	gallam
1	garru
1	gohda=krehúlu
1	gohdu
1	grehkojúchi
1	grehku
1	isd§inne
1	isglahb
1	isglahbis
1	islai§tijahs
1	isnihzina
1	ispe§tijs
1	ispoh§tihts
1	i§rae#ls
1	israhwis
1	jehreem
1	jeru§alemei
1	juhºas
1	juhrmallas
1	ka^
1	kahrt
1	kaldee#ºus
1	kalni
1	kalpi
1	kar§tums
1	kauna'
1	íehniòa
1	íehniòam
1	íerubim
1	klahjees
1	kungam
1	kuººeem
1	kurrinaht
1	ku§tahs
1	kwepja=uppuºi
1	labbi
1	laika^
1	laipnigs
1	ïaunu
1	leetus
1	leez
1	lehnibas
1	likúi
1	lohpi
1	ma§aki
1	mehnes
1	meklejam
1	mihïa
1	mi§ae#ls
1	mittejahs
1	muh§cham
1	muhúeem
1	nahwes
1	naktis
1	namma^
1	nawtu
1	nekahds
1	ne§dami
1	netaiúnam
1	netaiúnu
1	nodewis
1	nolaidahs
1	ohlektis
1	padebbeúis
1	pagaòi
1	pakalni
1	pakkulahm
1	paklauúijúchi
1	palihd§ejs
1	par
1	parahda
1	pa§aules
1	pa§emmigu
1	pa§emmoti
1	pateeúi
1	pateeúiba
1	patizzigi
1	pawehlejs
1	peeluhd§e
1	peeòemmigi
1	pilsúahtam
1	praweets
1	pree§teºi
1	putni
1	raúúa
1	raúúas
1	rohka^
1	rohkas
1	runnajs
1	úaded§inaja
1	úahpes
1	úalna
1	sarºeem
1	úatreektu
1	úaule
1	úauúeem
1	úaweem
1	úazzidami
1	úazzija
1	úchee
1	schehla§tibas
1	schehla§tibu
1	úchinni
1	úcho
1	úchodeen
1	§ehd
1	semme
1	semmes
1	sibbiòi
1	úirdi
1	úirds=no§kummuúchee
1	úirds=schehla§tiba
1	siwis
1	§kattees
1	úlaweja
1	úlawejams
1	úmiltis
1	úneegs
1	úohdibu
1	spehki
1	spehks
1	§tahweja
1	stipruma^
1	úullaiòi
1	swehri
1	úwehta^
1	úwehtam
1	úwehtee
1	úwehts
1	úwiííeem
1	ta`patt
1	ta^
1	tad
1	taggad
1	tahïaki
1	tahm
1	tai^
1	taiúni
1	taiúnibu
1	taiúns
1	tapehz
1	tatúchu
1	taukeem
1	tawa'
1	tawam
1	tawem
1	taws
1	tee
1	teeúas
1	teiz
1	teize
1	tew
1	tewim
1	trihs
1	túchetrdeúmits
1	tuhk§toúcheem
1	tumúiba
1	turrejs
1	turrejúchi
1	twaiki
1	uhdeni
1	uhdeni^s
1	uppureht
1	wahrda
1	wahrdam
1	waigu
1	wairoht
1	walditajs
1	wal§tibas
1	warras
1	weenigajs
1	weenu
1	weetas
1	wehjúch
1	wehrúcheem
1	widdu
1	widdu^
1	wirs
1	wirúneeks
1	wirúu
1	wiús{w iús}
1	wiúúaúchíi
1	wiúúublehdigeem
1	wiúúuïaunajam
1	zaur
1	zeïïi
1	zepli^
1	zerre
1	zilweku
1	zitti
