Vârdformu skaits:	1329
Vârdlietojumu skaits:	4339


255	un
127	irr
123	tee
103	ne
94	kas
86	no
78	to
59	ka
55	teem
49	jo
48	ka`
46	ta
45	tahs
42	wiòòu
41	tas
38	ar
36	muhúu
33	bet
32	tohs
31	us
30	tad
28	ko
28	kungs
26	deewa
26	juhs
26	pee
25	es
24	mehs
23	kad
23	mums
23	pahr
22	warr
21	neds
21	tu
21	wiòòa
20	deews
20	wiò§ch
18	eúúam
18	itt
18	preekúch
17	pehz
16	kur
16	par
16	tohp
15	jeb
14	ak
14	arri
14	tapehz
13	jums
13	patt
13	prett
13	ta`
13	wiòòeem
12	balúi
12	eúúi
12	kunga
12	paúchi
12	úawu
12	tawu
12	zaur
11	bij
11	deewu
11	eekúch
11	gann
11	semmes
10	dehla
10	eúmu
10	lihd§
10	tahm
9	buhs
9	deewi
9	nu
8	arrid§an
8	bahbeles
8	behrni
8	darriht
8	ir
8	juhúu
8	tam
8	tew
8	turr
8	wiòòas
7	apúudraboti
7	íehniòa
7	ïaudis
7	lizzis
7	nahk
7	namma
7	úchodeen
7	úwehtitaji
7	tai^
7	tatúchu
7	useet
6	ap§eltiti
6	atkaï
6	dewis
6	dohd
6	i§rae#ïa
6	mahk
6	manni
6	úawa^
6	tai
6	wahrdu
6	warretu
6	weenu
5	aiswe§ti
5	bih§teetees
5	bijuúchi
5	buhtu
5	deena^
5	deewus
5	drehbehm
5	eúúat
5	i§rae#ls
5	juhda
5	íehniòeem
5	íehniòu
5	klauúijúchi
5	kungu
5	ïaudim
5	ïaunums
5	muh§chigi
5	namma^
5	pats
5	runnajs
5	úawa
5	úeewas
5	seltu
5	semme^
5	semmi
5	úew
5	§tarp
5	úudraba
5	tawa
5	tawas
5	tehwu
5	tewi
5	wahrda
5	wiúúas
5	wiúúeem
4	appakúch
4	atraddis
4	azzis
4	behrnus
4	darra
4	deenas
4	deeweem
4	dohmaht
4	d§ihwo
4	gohdu
4	grahmatas
4	grehkojuúchi
4	jeru§aleme
4	kahda
4	kahds
4	kohka
4	labba
4	labbu
4	laiku
4	man
4	mannu
4	mehnes
4	muhs
4	muh§chiga
4	muh§chigu
4	paúcheem
4	pawehlehts
4	prahtu
4	preeku
4	rohkas
4	úawas
4	úaweem
4	úcho
4	úwehta
4	tadehï
4	tahds
4	taiúnibas
4	taiúns
4	teeúu
