Vârdformu skaits:	731
Vârdlietojumu skaits:	2166


214	un
73	to
43	tu
40	muh§chigi
40	wiòòu
33	ne
31	kungu
31	tas
28	d§eedajt
28	úlawejeet
27	aug§titeizeet
27	irr
26	eúúi
24	bet
21	ar
20	íehniò§ch
19	kas
19	tad
19	wiò§ch
18	úazzija
16	ka
16	no
15	tee
15	tohs
14	es
14	juhs
14	us
13	jo
13	ta
12	danijels
12	mums
12	tahs
12	teem
11	kungs
11	pehz
11	wiúúi
10	bija
10	neds
10	tawas
10	wiúúu
9	bij
9	mehs
8	ak
8	deews
8	ka`
8	ko
8	nu
7	deewu
7	eúúam
7	kad
7	lai
7	pee
7	úlawehts
7	wiòòa
6	danijelu
6	kunga
6	man
6	muhs
6	preekúch
6	úawu
6	tam
6	tewi
6	tur
5	belu
5	eúmu
5	gahje
5	leelas
5	preekúcha^
5	tapehz
5	tawa
5	teizams
4	arri
4	aug§tiúlawejams
4	bedre^
4	bela
4	danijeïam
4	darrijs
4	debbes
4	durwis
4	eòìelis
4	grehku
4	ikdeenas
4	kauna^
4	íehniòa
4	íehniòu
4	likke
4	lizzis
4	muhúu
4	nokaut
4	pahr
4	par
4	raugi
4	tawu
4	tehwu
4	tew
4	ugguns
4	weens
4	zepïa
4	zepli
3	abakuks
3	atbildeja
3	behrneem
3	bels
3	buhs
3	danijel
3	darrija
3	eekúch
3	ehd
3	gohdinajams
3	gohdu
3	grehkeem
3	grehkojs
3	ja
3	jeb
3	kam
3	kïua
3	leels
3	ïohti
3	mette
3	muh§cham
3	mutti
3	namma^
3	paleek
3	úaweem
3	schehla§tiba
3	úcho
3	úeewahm
3	semmes
3	úlawe
3	úwehtitaji
3	úwehtitajus
3	ta^
3	taiúnu
3	tappis
3	tawa^
3	taweem
3	tewis
3	useet
3	wahrda
3	wiús
3	wiúúa^
3	zaur
3	zehlahs
2	abakuku
2	ahra^
2	ais§ehìelejs
2	appakúch
2	ap§kaitahs
2	a§aidu
2	a§arijus
2	atgreeúchanu
2	awis
2	bahbeli
2	balúi
2	barribu
2	bedri
2	bes
