Vârdformu skaits:	983
Vârdlietojumu skaits:	2346


137	un
55	to
45	irr
41	kas
36	no
31	Un
31	ka
30	ta
28	ar
28	ne
21	us
20	tas
19	es
18	Kungs
18	tu
17	tee
17	teem
16	Bet
15	mums
14	par
13	wiòòa
13	úawu
12	Leetas
12	bija
12	mehs
12	pee
12	Íehniò§ch
11	kad
11	muhúu
11	pahr
11	zaur
10	Deews
10	arri
10	preekúch
10	wiò§ch
10	wiòòu
10	wiúúas
10	wiúúu
9	eúúi
9	ka`
9	nu
9	ween
9	wiúúeem
8	Jo
8	ak
8	bet
8	bij
8	jo
8	ko
8	pehz
8	tahs
8	úazzija
8	úcho
7	diwi
7	labbi
7	lihd§
7	muhs
7	prett
7	ta`
7	Íehniòa
6	Deena^
6	Deewa
6	Gohdu
6	Kad
6	darrijs
6	eúúam
6	man
6	tappe
6	tew
6	wiúúahm
6	Ïaudim
6	úawas
5	Deewu
5	Mardokajus
5	Tapehz
5	Tautahm
5	arrid§an
5	buhs
5	eúmu
5	isdeldeht
5	pretti
5	tad
5	tahm
5	weens
5	weenu
5	wiòòas
5	§inni
5	ïohti
4	Ahmans
4	Dehla
4	Dehls
4	Galwu
4	Gohda^
4	Leetahm
4	Semmes
4	Zilwekeem
4	bes
4	darriht
4	eekúch
4	ir
4	jeb
4	kam
4	mannu
4	tahdu
4	tawu
4	tik
4	tohs
4	wiòòam
4	Ïaudis
4	úchi
3	Ahmaòa
3	Ak
3	Amadata
3	Artak§erkúes
3	Behrneem
3	Bihjaúchanas
3	Deenas
3	Es
3	Gadda^
3	Ka
3	Kungu
3	Meeru
3	Mutti
3	Pilli^
3	Ptolemejus
3	Tas
3	Tauta
3	Teeúu
3	Tu
3	Wal§tibu
3	Warru
3	alla§chiò
3	daud§
3	dewis
3	eemantojamu
3	eúúu
3	gann
3	ka^
3	manna
3	muh§cham
3	muhúeem
3	nahk
3	peeluhd§e
3	peeúauze
3	taiúijahs
3	taps
3	tawas
3	tewi
3	wehle
3	§tarp
3	Íehniòam
3	Ïau§chu
3	ïaunu
3	úawa^
2	Ahbra&a&ma
2	Ahdara
2	Azzim
2	Bauúlibahm
2	Behdas
2	Behdu=Laika^
2	Breeúmas
2	Daïïas
2	Deenu
2	Dumpja
2	Eetiopijai
2	E§tere
2	Gaiúma
2	Glihtumu
2	Gohdibas
2	Grahmatahm
2	Grahmatas
2	Judu
2	Jums
2	J§rae#ls
2	Kalpone
2	Kunga
2	Labbadarritaju
2	Lehnibu
2	Mardokajum
2	Mehnes
2	Mehneúi^
2	Ne
2	Padohmu
2	Padohmus
2	Paliga
2	Peeminneúchanu
2	Pehz
2	Per§eºu
2	Preeku
2	Preezibu
2	Puhíi
2	Suh§as
2	Tad
2	Taiúnibu
2	Tautas
2	Tawa
2	Tehwu
2	Trohkúnis
2	UN
2	Uhdens
2	Uppe
2	Walditajeem
2	Walditaju
2	Waldiúchanu
2	Weeta^
2	Weetas
2	Wihrs
2	apòehmees
2	dabbuht
2	darram
2	darriti
2	dewe
2	diwideúmits
2	d§ennahs
