Vârdformu skaits:	166
Vârdlietojumu skaits:	261


21	un
9	tu
8	eúúi
6	es
6	to
5	man
5	ne
4	Bet
4	eúmu
4	irr
4	ka
3	grehkojs
3	Grehku
3	Kungs
3	no
3	tawas
3	tewi
2	ais§ehìelejs
2	ak
2	Atgreeúchanu
2	Jo
2	kas
2	ko
2	leelas
2	luhd§ohs
2	muh§chigi
2	par
2	pehz
2	preekúch
2	úawu
2	Tapehz
2	teem
2	tewis
2	tohs
2	wiúúu
1	aisúlehd§is
1	apkaitinajs
1	ar
1	at§ih§tu
1	Ahbra#a#ma
1	Ahbraa#mam
1	Ak
1	AK
1	Amen
1	Apgrehzibas
1	Bauúli
1	bihjajamam
1	bihtees
1	buhs
1	darrijs
1	daud§
1	Debbes
1	Debbeúi
1	Deews
1	DEews
1	dewis
1	draude
1	D§el§es
1	D§iïïumus
1	D§immuma
1	Duúmiba
1	Duúúeúchanas
1	eekúch
1	eekúcha^
1	Es
1	gohdajamam
1	Gohdu
1	Grehkeem
1	Grehko^s
1	grehkojuúchi
1	Grehzineekeem
1	gribbetu
1	gribbu
1	gºuhtahm
1	ikkuººam
1	istruhzinatees
1	Jehkaba
1	Jehkabam
1	Jh§a&a&ka
1	Jh§a&a&kam
1	jo
1	Juhrmalla^
1	Juhºu
1	Kas
1	Kungs{akKungs}
1	labpraht
1	Ïaudis
1	Ïaunumu
1	leelu
1	leez
1	Lehnibas
1	lizzis
1	lohku
1	ïohti
1	lohzihts
1	manni
1	manno^s
1	Mannu
1	mannus
1	muh§cham
1	Muh§chu
1	muhúu
1	ne=ismehºojama
1	ne=iswaizajama
1	neds
1	nepaneúúama
1	newaid
1	nezeenigam
1	No§eegumu
1	nu
1	pahr
1	palihd§eht
1	palikt
1	pa§u§t
1	Pazeeúchanas
1	peedohd
1	Peedohd
1	Peedohúchanu
1	Preekúcha^
1	prett
1	raddijs
1	Úaitehm
1	úauzu
1	Schehla§tiba
1	Schehla§tibas
1	§chehligs
1	Semm
1	Semmes
1	Úirds
1	Úirds=Schehla§tibas
1	úlawe
1	úlaweht
1	úlawejams
1	Úmiltis
1	úohdi
1	Úohdibu
1	úohli
1	úohlijs
1	Spehks
1	ta
1	ta^
1	tad
1	Tad
1	tahdas
1	taiúna
1	Taiúneem
1	Taiúnu
1	tas
1	tawa
1	tawa^
1	Tawam
1	tawu
1	Tehwu
1	tewim
1	Tu
1	tur
1	us
1	Wahrdam
1	wairak
1	Warras
1	wiòòu
1	wirúu
1	wiús
1	wiúúu=aug§takajs
1	wiúúuwaldigajs
1	Zeïïus
