Vârdformu skaits:	5294
Vârdlietojumu skaits:	23847


1291	un
671	irr
549	ne
513	to
375	kas
371	tas
329	ta
289	ar
286	no
284	wiò§ch
270	ka`
269	wiòòa
215	ka
207	tu
196	pee
190	tad
189	wiòòu
153	úawu
137	kad
132	tew
131	tohp
128	teem
126	us
124	bet
123	tahs
122	Ne
113	jo
111	par
111	tee
109	pehz
108	tam
104	ta`
103	wiòòam
99	pahr
96	Kas
96	weens
87	tawu
86	Kunga
86	tohs
83	Un
82	eekúch
82	patt
80	Jo
78	daud§
74	ko
74	warr
74	weena
69	preekúch
67	weenu
67	wiòòas
66	Wiò§ch
62	eúúi
60	Kungs
54	prett
53	es
52	buhs
52	zaur
51	Kad
51	labbi
51	Leetas
48	atkaï
48	úawas
47	arrid§an
47	darra
47	Úirds
46	Ta
45	wehl
44	arri
43	Kungu
42	neds
41	taps
41	tik
40	Laika^
39	jeb
36	Ïaudim
36	wiúúu
35	wairak
35	Zilweks
34	itt
34	úawa^
33	kahdu
33	lihd§
33	úaweem
32	bij
32	bija
32	dohd
32	kam
32	tawa
31	gann
31	kahds
31	pats
31	Tas
30	Úirdi
29	ka^
29	labbu
29	Ïaudis
28	paúchu
28	Weens
27	nahk
27	Semmes
27	tawas
27	wiúúas
26	bih§tahs
26	darrijs
26	Dwehúeli
26	Jtt
26	juhs
26	lai
26	man
26	paleek
26	Rohkas
25	Bet
25	Leetahm
24	Es
24	kamehr
24	úawa
24	tatúchu
24	wiúúeem
23	d§ihwo
23	kahda
23	kur
23	§tarp
23	tahm
23	tur
23	Wahrdu
23	ween
22	darri
22	Deewa
22	Grehkeem
22	Gudriba
22	leek
22	tahds
22	Weena
22	Zilweka
21	Kaunu
21	Ïau§chu
21	Úeewa
21	úew
21	tewi
21	tewim
21	tohpi
21	Wahrdeem
21	wiòòeem
20	Azzim
20	Behrns
20	buht
20	eúmu
20	runna
20	Wihrs
19	Draugu
19	Gohda^
19	Gudribas
19	gudrs
19	wiúúi
19	Zilwekam
19	Zilweku
18	Gudribu
18	ir
18	muh§cham
18	pa
17	Azzis
17	buhtu
17	Leetu
17	patihk
17	Rohku
17	Spehku
17	turri
17	Ugguns
17	Wiòòa
16	apkahrt
16	bes
16	Draugs
16	manna
16	No
16	úawus
16	Úeewas
16	waijaga^
16	wehra^
15	Darba
15	Darbi
15	Deews
15	dohma
15	Dwehúele
15	eet
15	labba
15	Laiku
15	mehs
15	Mutti
15	padarra
15	Tad
15	turr
15	Wiúúu=aug§taka
14	Darbus
14	Ka`
14	kïua
14	Kungam
14	leelu
14	mannu
14	Muttes
14	òem
14	Padohmu
14	pirms
14	Schehla§tibu
14	tappe
14	tawa^
14	Tu
14	Waigu
14	wiúúai
13	alla§chiò
13	Bauúlibu
13	Behrni
13	bijis
13	bohja^
13	Darbs
13	darrihs
13	darriht
13	Grehzineeku
13	ja
13	klahjahs
13	mann
13	mekle
13	neneeka
13	noteek
13	ta^
13	taweem
13	Teeúu
13	Wahrds
13	zeeúch
12	Bihjaúchana
12	Darbeem
12	dewe
12	Duúmiba
12	Gohdu
12	ïaunu
12	ïohti
12	neweens
12	pakkaï
12	red§
12	Schehla§tiba
12	úwehtu
12	Ta`
12	Tehwu
12	turreht
12	Tuwaku
12	wiúúahm
12	Zilwekeem
11	aug§ti
11	buhdams
11	Da§ch
11	Duúmibu
11	Ìeíía
11	Grehku
11	jelle
11	kluúúu
11	Ïaunums
11	manni
11	Meeúas
11	Mehli
11	Nahwe
11	paúcham
11	Peeminneúchana
