Vârdformu skaits:	4998
Vârdlietojumu skaits:	23858


1376	un
681	irr
678	ne
525	to
480	kas
402	tas
377	ta
350	wiò§ch
302	no
299	ar
286	wiòòa
284	ka`
224	ka
221	tu
205	tad
204	pee
197	wiòòu
193	jo
188	kad
153	úawu
149	bet
133	tew
132	tahs
131	teem
131	tohp
129	us
125	weens
121	tee
118	tam
117	pehz
116	ta`
111	par
107	wiòòam
102	pahr
96	weena
90	eekúch
87	daud§
87	tawu
87	tohs
86	kunga
82	patt
77	es
76	ko
74	warr
72	preekúch
69	weenu
69	wiòòas
67	eúúi
60	itt
60	kungs
60	zaur
56	prett
52	buhs
52	labbi
51	leetas
48	atkaï
48	úawas
48	wehl
47	arrid§an
47	darra
47	úirds
44	arri
44	neds
44	tik
43	kungu
41	taps
40	jeb
40	laika^
39	wiúúu
37	kam
36	dohd
36	lai
36	ïaudim
35	úawa^
35	wairak
35	zilweks
34	kahds
34	kahdu
34	labbu
34	lihd§
33	gann
33	úaweem
33	tawa
32	bij
32	bija
32	man
31	pats
31	wiúúas
30	ka^
30	kamehr
30	ïaudis
30	úirdi
28	paúchu
28	tahds
28	tur
27	darrijs
27	nahk
27	semmes
27	tatúchu
27	tawas
26	bih§tahs
26	dwehúeli
26	juhs
26	kahda
26	paleek
26	rohkas
25	darri
25	kur
25	leetahm
24	úawa
24	wiúúeem
23	d§ihwo
23	gudrs
23	§tarp
23	tahm
23	wahrdu
23	ween
22	deewa
22	grehkeem
22	gudriba
22	leek
22	zilweka
21	ir
21	kaunu
21	ïau§chu
21	úeewa
21	úew
21	tewi
21	tewim
21	tohpi
21	wahrdeem
21	wiòòeem
21	wiúúi
20	azzim
20	behrns
20	buht
20	da§ch
20	eúmu
20	ja
20	ïaunu
20	pirms
20	runna
20	turri
20	wihrs
19	draugu
19	gohda^
19	gudribas
19	mans
19	zilwekam
19	zilweku
18	dohma
18	gudribu
18	manna
18	muh§cham
18	pa
18	wiúúu=aug§taka
17	azzis
17	bes
17	buhtu
17	leetu
17	patihk
17	rohku
17	spehku
17	ugguns
16	apkahrt
16	draugs
16	labba
16	òem
16	úawus
16	úeewas
16	turr
16	waijaga^
16	wehra^
15	darba
15	darbi
15	deews
15	dwehúele
15	eet
15	laiku
15	mehs
15	mutti
15	padarra
15	úwehtu
15	ta^
15	tapehz
15	tawa^
14	baggats
14	darbus
14	kïua
14	kungam
14	leelu
14	mannu
14	muttes
14	padohmu
14	schehla§tibu
14	tappe
14	taweem
14	waigu
14	wiúúai
13	alla§chiò
13	bauúlibu
13	behrni
13	bijis
13	bohja^
13	darbs
13	darrihs
13	darriht
13	grehzineeku
13	klahjahs
13	ïohti
13	mann
13	mekle
13	neneeka
13	neweens
13	noteek
13	teeúu
13	wahrds
13	wiús
13	zeeúch
12	bihjaúchana
12	darbeem
12	dewe
12	duúmiba
12	gohdu
12	nu
12	pakkaï
12	red§
12	schehla§tiba
12	tehwu
12	turreht
12	tuwaku
12	wiúúa
12	wiúúahm
12	zik
12	zilwekeem
12	zits
11	aug§ti
11	buhdams
11	diwi
11	duúmibu
11	galwu
11	ìeíía
11	grehku
11	jelle
11	kluúúu
11	labbaks
11	ïauna
11	ïaunums
11	manni
11	meeúas
11	mehli
11	nahwe
11	paúcham
11	peeminneúchana
11	pretti
11	rohkahm
11	úapraúchanu
11	úawahm
11	úchi
11	úchis
11	§tahw
11	tawam
11	tawus
11	tomehr
11	uhdens
11	weenam
10	bauúlus
10	behdas
10	behdu=laika^
10	behrneem
10	darbu
10	debbes
10	dewis
10	drih§i
10	d§ihwoúchana
10	dwehúeles
10	gohda
10	gohdibas
10	grehki
10	i§rae#ïa
10	kaunees
10	mahzibu
10	mantu
10	mihle
10	muh§chigi
10	mums
10	ohtru
10	úaule
10	tahdu
10	teeúas
10	tehwa
10	wahrda
10	wahrdus
10	wallodu
10	wihru
10	wiòòai
9	atraúúi
9	azz
9	dabbu
9	darrija
9	da§chkahrt
9	dehï
9	dehls
9	derr
9	d§immums
9	eeúahkuma
9	kuºúch
9	labbas
9	leeti
9	manta
9	nabbags
9	preekúcha^
9	raddijs
9	úahpes
9	úakka
9	úlawu
9	tahda
9	tapt
9	tawahm
9	teiz
9	tewis
9	tikkuúchi
9	turrees
9	wairs
9	walloda
9	waïïu
9	weenas
9	weeta^
9	wihns
8	ak
8	dahwanas
8	derribu
8	d§ihwiba
8	eenaidneeku
8	eenih§t
8	eij
8	ìeííis
8	gohds
8	grehkus
8	grehzineeks
8	gribbi
8	ikkuºúch
8	jauns
8	kahdas
8	kohpa^
8	labbums
8	labs
8	leels
8	meeru
8	nabbagu
8	noh§t
8	patti
8	úakki
8	úaprattigs
8	úchee
8	selta
8	§inna
8	sinnaúchanu
8	tahïu
8	tai^
8	weetu
8	wihna
8	wihra
8	zitta
8	zittus
7	atraddihs
7	atra§ts
7	augïeem
7	bauúlibas
7	behrnu
7	behrnus
7	dahwana
7	deenas
7	deewam
7	deewu
7	derribas
7	draud§ibas
7	draugeem
7	d§ennahs
7	d§ennees
7	d§ihwibu
7	d§ihwohs
7	eenihdehts
7	eúúam
7	grehko
7	grib
7	ilgi
7	jepúchu
7	kauna^
7	kauns
7	íehniòa
7	klaht
7	labbaki
7	labbumu
7	leela
7	leeleem=kungeem
7	lizzis
7	mahzibas
7	makúa
7	mannis
7	ma§
7	mehles
7	neììi
7	pahrkahpj
7	pamett
7	parei§i
7	pilsúahta
7	prahts
7	raddihts
7	schehla§tibas
7	úeewu
7	semmi
7	úewim
7	§pihd
7	§taiga
7	tadehï
7	tai
7	taptu
7	uppe
7	wallodas
7	warri
7	weenumehr
7	welti
7	zeïïu
7	zittam
7	zitteem
7	zitti
6	aug§tajs
6	baggatu
6	balúi
6	besdeewigeem
6	besdeewigu
6	bihjaúchanu
6	bijuúchi
6	buhúi
6	dohdahs
6	dohdees
6	dohs
6	draud§es
6	draugam
6	d§enn
6	d§ihwibas
6	d§immumam
6	duúúeúchanu
6	eh§t
6	gohdibu
6	gribbetu
6	gudras
6	gudru
6	jaúchu
6	jehkaba
6	juhúu
6	jums
6	kalpu
6	labpraht
6	laiks
6	leelas
6	mahtes
6	mahza
6	mai§es
6	mannim
6	mantas
6	mehle
6	mutte^
6	nabbaga
6	nahkt
6	nahwes
6	namma
6	namma^
6	naudu
6	nekahda
6	nekahdu
6	nizzina
6	pa=aug§tina
6	padohms
6	pahreet
6	paleez
6	parahda
6	peetizzigs
6	pilns
6	praweets
6	red§ejs
6	úapraúchanas
6	úaprattigu
6	úcho
6	úewis
6	úlawa
6	§tipru
6	tahdeem
6	tappis
6	tapúi
6	tawi
6	taws
6	tehws
6	teikt
6	tizz
6	tuwakam
6	usluhko
6	waj
6	wiòòo
6	wiúúu=aug§taja
6	zeïïus
6	zilweki
5	abbee
5	agri
5	aisdohd
5	akmini
5	algu
5	appakúch
5	atrohd
5	atrohdahs
5	at§ih§t
5	aug§teem
5	aug§tus
5	bihjaúchanas
5	bih§tees
5	daïïa
5	darba^
5	dehlu
5	drih§
5	d§eeúmas
5	duús
5	eemantohs
5	eenaidneekeem
5	eenaidneeks
5	eeúahkums
5	gallam
5	ìeííi
5	glihtumu
5	gohdigu
5	gohdinahts
5	grehzineekeem
5	ih§tenu
5	isleij
5	isteikt
5	jaw
5	kakli
5	klauúa
5	krohni
5	krohnis
5	kuººu
5	labbaka
5	labbis
5	laimigs
5	leeta
5	lepnibas
5	likke
5	luhgúchana
5	luhpahm
5	mahte
5	makúahs
5	manneem
5	meeúa
5	meeúahm
5	meeúu
5	mehnes
5	meita
5	mihlehts
5	mittejahs
5	nahze
5	nams
5	naudas
5	neka`
5	netaiúnibas
5	netaiúnibu
5	netaiúnu
5	newaid
5	neweena
5	nomirris
5	nomohda^
5	ohtra
5	ohtram
5	padebbeúim
5	padohma
5	palihd§
5	paliks
5	pamahza
5	pamahziúchanu
5	papillam
5	papreekúchu
5	parahdija
5	paúaules
5	paúcha
5	paúcha^
5	pa§tahw
5	pateiz
5	pazehle
5	peederr
5	peeminneúchanu
5	pehzgalla^
5	pilsúahtu
5	pirmahk
5	preezajahs
5	rai§as
5	red§ehs
5	reebjahs
5	rei§i
5	úalda
5	úapraúchana
5	úargees
5	úazzidams
5	úeh§ch
5	úirdis
5	§kattahs
5	úohdibas
5	§tah§ta
5	§tahweja
5	§tipri
5	§trahda
5	úwehtigs
5	tahdam
5	taiúns
5	teeúa
