Vârdformu skaits:	516
Vârdlietojumu skaits:	1272


82	un
36	tee
24	tad
22	to
18	us
17	ka
17	pee
16	bija
16	tas
15	kas
15	ne
15	wiòòu
15	úazzija
14	ar
14	bij
14	jo
14	ta
14	tahs
13	bet
13	tu
12	irr
12	kad
12	no
11	teem
11	weens
11	wiòòas
10	mehs
10	tohs
10	wezzajee
9	diwi
9	nu
9	prett
7	es
7	wiò§ch
7	wiòòa
6	danijels
6	durwis
6	eúúi
6	ka`
6	pehz
6	su§anna
5	brehze
5	dahr§a
5	dahr§a^
5	ko
5	meitas
5	paúchu
5	tewi
5	úawu
5	úchee
4	appakúch
4	balúi
4	deewa
4	juhs
4	leezibu
4	man
4	meitahm
4	ohtra
4	tawu
4	weenu
4	wiòòai
4	wiúúu
4	ïaudim
4	ïaudis
4	ïohti
4	úawas
3	darrija
3	deews
3	dewuúchi
3	elkijus
3	galwu
3	i§rae#ïa
3	jauneklis
3	jojakima
3	juhúu
3	kohpa^
3	kungs
3	mums
3	ohtram
3	pahr
3	red§eja
3	su§annas
3	ta`
3	tahm
3	tapehz
3	teeúu
3	tew
3	zaur
3	úcho
2	aisúlehd§e
2	ak
2	apúlehpuúchees
2	arri
2	atbildeja
2	atnahze
2	atpakkaï
2	bauúlibas
2	bijis
2	darriht
2	darriúchu
2	debbeúim
2	deena^
2	draud§e
2	durwim
2	eekahroúchanu
2	eòìelis
2	eúúat
2	gahje
2	gann
2	gribbeja
2	ikdeenas
2	jauks
2	jojakims
2	juhda
2	kahds
2	kaunejahs
2	kungu
2	kïua
2	labbi
2	laiks
2	leelu
2	likke
2	ma§gatees
2	mehd§e
2	meita
2	meitu
2	moh§us
2	muhúu
2	neno§eed§igs
2	nepateeúu
2	noteek
2	ohtru
2	padohmu
2	pawehleja
2	paúchas
2	preekúch
2	puúcham
2	red§
2	red§ejam
2	red§ejs
2	taggad
2	tahdi
2	tai^
2	tappe
2	tatúchu
2	tur
2	wahrda
2	wahrds
2	warreja
2	ween
2	weenas
2	wehl
2	wezzajeem
2	widdu^
2	wihra
2	wiòòeem
2	wiúúi
2	§inni
2	§taigajam
2	ïaunu
2	ïau§chu
2	úaime
2	úakka
2	úakki
2	úawa
