Vârdformu skaits:	1750
Vârdlietojumu skaits:	6329


343	un
150	to
106	es
104	Un
100	ne
91	tas
89	no
85	wiò§ch
81	us
78	irr
78	ka
70	wiòòa
67	úazzija
58	ar
58	tu
54	kas
54	tad
52	ta
51	tee
50	pee
45	wiòòu
42	nu
42	teem
40	tahs
37	Tad
35	kad
33	Bet
33	tew
33	wiòòam
32	Tobijus
32	bij
32	man
30	Dehls
30	úawu
28	bet
28	par
27	atkaï
27	eúúi
26	mans
25	Jo
25	ka`
24	tohs
23	jo
23	pehz
23	ta`
22	eekúch
21	Deewu
21	Kad
20	eúmu
20	manna
20	preekúch
19	Es
19	tam
19	wehl
18	buhs
18	Úeewu
17	Tehwa
17	ko
17	pahr
16	bija
16	tawu
16	tur
15	Raguels
15	arri
14	Deews
14	arrid§an
14	ir
14	muhúu
14	weenu
14	úawas
13	Deewa
13	jums
13	labbi
13	labbu
13	muh§chigi
13	tewi
13	tewim
13	wiúúas
12	dohd
12	lihd§
12	mann
12	nahze
11	Dehlu
11	Eòìelis
11	Kungs
11	Nabbageem
11	Tehws
11	Tobiju
11	juhs
11	tappe
10	Meitu
10	aizinaja
10	atbildeja
10	biju
10	gahje
10	gann
10	lai
10	mehs
10	taps
10	úawa
9	Brahli
9	Dehla
9	Kungu
9	buhtu
9	daud§
9	manni
9	mannis
9	mums
9	pats
9	tawas
9	tawi
9	úcho
8	Brahïeem
8	Meita
8	Nu
8	Pehz
8	Semme^
8	Semmes
8	Tobijum
8	Zeïïu
8	jaw
8	kamehr
8	mannim
8	taweem
8	tewis
8	weens
8	wiúúeem
8	wiúúi
8	wiúúu
8	Úlawehts
7	Anna
7	Naudu
7	Niniwes
7	Taiúnibu
7	Tu
7	jeb
7	kahdu
7	muhs
7	pirms
7	raudaja
7	tawa
7	taws
7	wairs
7	úeptiò
6	Azzis
6	Leetas
6	Mantas
6	Meedeºu
6	Ne
6	Schehla§tibu
6	Tehwu
6	Waigu
6	Zilts
6	abbee
6	dewe
6	diwi
6	eet
6	eúúam
6	kam
6	kur
6	mannas
6	patt
6	paúcha
6	paúcha^
6	ween
6	wezz
6	weúúels
6	wiòòas
6	Íehniòu
6	Úeewa
6	úchis
6	úlawe
5	Akiakars
5	Azzim
5	Behrneem
5	Behrni
5	Deenas
5	Ednu
5	Gabeïa
5	Gars
5	Laika^
5	Niniwi
5	Rawae#ls
5	Sahru
5	Siws
5	Ta`
5	Tas
5	Teeúu
5	Zeetuma^
5	Zilweku
5	darra
5	darri
5	darriht
5	darrija
5	darrijis
5	d§ihwo
5	ittin
5	kohpa^
5	kuººu
5	patihk
5	tai^
5	tapehz
5	tawa^
5	tohp
5	tohpu
5	weena
5	wiòòai
5	wiòòeem
5	wiúúahm
5	wiúúee
5	zehlehs
5	ïohti
5	úawa^
5	úchi
5	úlawejeet
4	Algu
4	Azarijus
4	Brahliht
4	Darbus
4	Dwehúele
4	Jauneklis
4	Kunga
4	Laimi
