Vârdformu skaits:	116
Vârdlietojumu skaits:	137
	
	
5	lai
4	Lai
3	ar
2	ka
2	Lauka^
2	mehs
2	nahk
2	ne
2	no
2	Preeka
2	úakkam
2	tahs
2	teem
2	tohp
2	un
1	1
1	2
1	3
1	§kanna
1	§pehle
1	abbus
1	Aitiòòi
1	apkohp
1	arr
1	atgree§
1	Auúis
1	Ba§nizas=Kungam
1	Behdas
1	bes
1	Breeúmas
1	Bruhte
1	Brutganiò§ch
1	Bungam
1	d§eedeta
1	D§eeúmas
1	d§ihwo
1	D§irdeis
1	dauds
1	Debbeúu
1	deena^
1	Deewiòúch
1	Deijeeta
1	draud§iba
1	Gaddu
1	Gawili
1	gree§
1	ir
1	jauni
1	Jr
1	juhs
1	Ka
1	Ka^
1	ka^
1	kaitina
1	kas
1	kilda
1	klahjas
1	klahjuma^
1	Kohklites
1	Labbajs
1	Lattweeúchu=Draud§es
1	Leeli
1	lezz
1	Lihds
1	ma§i
1	mahjas
1	Mahzitajs
1	Me§chiòòa
1	meddutiòúch
1	meeúlohjahs
1	Meitiòòas
1	muh§cham
1	Ne
1	Nelaimes
1	neneeka
1	pateeú
1	patti
1	pilda
1	pilnigu
1	Pinkeno^s
1	Prahta^
1	preezedamees
1	preezigi
1	prezzehtees
1	Puiúihti
1	Putniòòi
1	Raugi
1	úahk
1	úamanna
1	Semmite
1	Sirdis
1	Skannam
1	Skun§tigi
1	Stabules
1	Stihgo^s
1	Swehtiba
1	ta^
1	Tadd
1	Tahs
1	Tam
1	tauka
1	Tehtihts
1	tikkai
1	To
1	to
1	Trauziòòus
1	Waddu
1	wahrdeem
1	Wahrds
1	warr
1	ween
1	weena^
1	wehleúchanas
1	Wehtra
1	wezz
1	wiúúur
