Vârdformu skaits:	184
Vârdlietojumu skaits:	243


5	Ar
5	Kad
4	Deews
4	es
4	tad
4	to
3	Jn
3	Ka`
3	Kungu
3	Leejes
3	Mums
3	To
3	Tu
3	arr
3	in
3	man
3	wiòúch
2	Ka
2	Ne
2	Nei
2	Pahr
2	Paúaule^
2	Tad
2	Tehwa
2	Tehws
2	Tew
2	gohdigi
2	ka`
2	labbu
2	mihïais
2	mums
2	ne
2	raudaju
2	zitteem
1	1795
1	Ak
1	Aug§tumo^s
1	Badkah§is
1	Bet
1	Debbes
1	Debbeúi^s
1	D§eeúma
1	Eeúpeesta
1	Gaddeem
1	Gohdu
1	Jahòa
1	Jahòu
1	Jelgawa^
1	Ko
1	Kuhr§emme^
1	Kummoúu
1	Kungeem
1	Lai
1	Laiko^s
1	Laime^
1	Leejneeku
1	Lehnibu
1	Lepnibu
1	Lihd§
1	Luhgúchana
1	Mahja^s
1	Mai§es
1	Mai§ihti
1	Man
1	Mehs
1	Mihlibu
1	Minn
1	Nabbags
1	Negudreem
1	Nelaime^
1	No
1	Par
1	Pawelti
1	Pee
1	Pehdiòa^s
1	Pehz
1	Plehúeis
1	Pohïu
1	Prahts
1	Preeka
1	Selta
1	Seltneúúeji
1	Steffenhagen
1	Ta`
1	Taiúnibu
1	Tam
1	Tik
1	Trakkumu
1	Trakkuïeem
1	Truhkuma^
1	Tur
1	Un
1	Wahrda^
1	Wezza
1	Wezzais
1	Wezzumam
1	Widdu^
1	Wihra
1	Wiòúch
1	Wridriíía
1	apúmehje
1	ar
1	arri
1	atraddiúi
1	atreebdamees
1	baggatigi
1	bes
1	buht
1	darr
1	darram
1	da§chrei§
1	dohd
1	eeraugu
1	gan
1	ilgeem
1	ir
1	irr
1	irraidas
1	iswilktees
1	jo
1	kad
1	kas
1	klauúi
1	knappi
1	ko
1	labpraht
1	lai
1	lihd§ejs
1	luhd§
1	luhd§amees
1	makúa
1	manna^
1	ma§
1	mehd§
1	mehs
1	mekleúi
1	mihlibu
1	muh§chigi
1	nei
1	ne§chehligi
1	pahrgahje
1	pahrmahza
1	pahrteeku
1	paklauúi
1	palezzahs
1	par
1	parahdijs
1	pateizu
1	pee
1	peedewe
1	peeúchíiºº
1	plaúcha^
1	preezajahs
1	preezajohs
1	preezigi
1	taiúni
1	tapat
1	tas
1	tawa^s
1	tee
1	teizu
1	tik
1	trakkojam
1	tu
1	usrunnaja
1	usturr
1	usòemmi
1	wehlejam
1	wiòòu
1	wiúúu
1	zeenigu
1	zeetúirdigs
1	§chehligs
1	Ïaudim
1	Ïaunu
1	Ïautiòi
1	Úirds
1	Úirmgalwim
1	Úliktmanni
1	úauúas
1	úaweem
1	úchai^
1	úirmam
1	úohda
