Vârdformu skaits:	174
Vârdlietojumu skaits:	261


9	in
7	to
6	ar
6	ka`
6	kad
6	tad
5	man
5	mums
4	deews
4	es
4	ne
4	tu
4	wiòúch
3	arr
3	dohd
3	kungu
3	lai
3	leejes
3	nei
2	gohdigi
2	ka
2	ko
2	labbu
2	mehs
2	mihïais
2	mihlibu
2	pahr
2	par
2	paúaule^
2	pee
2	raudaju
2	tam
2	tehwa
2	tehws
2	tew
2	tik
2	zitteem
1	ak
1	apúmehje
1	arri
1	atraddiúi
1	atreebdamees
1	aug§tumo^s
1	badkah§is
1	baggatigi
1	behrni
1	behrniòi
1	behrnu
1	bes
1	bet
1	buht
1	darr
1	darram
1	da§chrei§
1	debbes
1	debbeúi^s
1	d§eeúma
1	eeraugu
1	eeúpeesta
1	gaddeem
1	gan
1	gohd'
1	gohdu
1	ilgeem
1	ir
1	irr
1	irraidas
1	iswilktees
1	jahòa
1	jahòu
1	jelgawa^
1	jo
1	kas
1	klahjahs
1	klauúi
1	knappi
1	kuhr§emme^
1	kummoúu
1	kungeem
1	labpraht
1	laiko^s
1	laime^
1	ïaudim
1	ïaunu
1	ïautiòi
1	leejneeku
1	lehnibu
1	lepnibu
1	lihd§
1	lihd§ejs
1	lihgúmibu
1	luhd§
1	luhd§amees
1	luhgúchana
1	mahja^s
1	mai§es
1	mai§ihti
1	makúa
1	manna^
1	mantas
1	ma§
1	mehd§
1	mekleúi
1	minn
1	muh§chigi
1	nabbags
1	negudreem
1	nelaime^
1	ne§chehligi
1	no
1	pahrgahje
1	pahrmahza
1	pahrteeku
1	paklauúi
1	palezzahs
1	parahdijs
1	pateizu
1	pawelti
1	peedewe
1	peeúchíiºº
1	pehdiòa^s
1	pehz
1	plaúcha^
1	plehúeis
1	pohïu
1	prahts
1	preeka
1	preezajahs
1	preezajohs
1	preezigi
1	úauúas
1	úaweem
1	úchai^
1	§chehligs
1	selta
1	seltneúúeji
1	úirds
1	úirmam
1	úirmgalwim
1	úliktmanni
1	úohda
1	steffenhagen
1	ta`
1	taiúni
1	taiúnibu
1	tapat
1	tas
1	tawa^s
1	tee
1	teizu
1	trakkojam
1	trakkuïeem
1	trakkumu
1	truhkuma^
1	tur
1	un
1	usòemmi
1	usrunnaja
1	usturr
1	wahrda^
1	waizaja
1	wehlejam
1	weúúelib'
1	wezza
1	wezzais
1	wezzumam
1	widdu^
1	wihra
1	wiòòu
1	wiúúu
1	wridriíía
1	zeenigu
1	zeetúirdigs
1	1795
