Vârdformu skaits:	161
Vârdlietojumu skaits:	221


11	un
5	mehs
4	ne
4	pee
4	ta
3	akli
3	Deewa
3	Draud§eneeki
3	kurli
3	man'
3	mums
3	tahs
3	to
3	us
3	welna
2	eúúam
2	Jahòa
2	Jo
2	juhs
2	jums
2	kas
2	klauúitees
2	Kungs
2	labbi
2	lai
2	Lai
2	ïauna
2	Leepajas
2	no
2	par
2	tad
2	zeïïu
1	apútulbohts
1	ar
1	atraút
1	atraujamees
1	Andreia
1	Artunga
1	Atúwehtes
1	beid§ahs
1	bet
1	bohja^
1	Brühn
1	buhúim
1	Bungahm
1	darbs
1	Debbes'
1	dohd
1	Draud§ei
1	Draud§ibas
1	driííehts
1	D§eeúma
1	eekriht
1	Eeru§ta
1	Eeúwehtiúchanas
1	Eezelúchanas
1	Ehrgeleem
1	eita
1	es
1	eúúeet
1	Eúúi
1	gahdaht
1	Grehzineekam
1	gribbam
1	gribbi
1	groh§ohs
1	Grundt
1	I
1	ikdeenas
1	in
1	irr
1	isglahbtees
1	isglahbti
1	ja
1	Jndriía
1	jo
1	Juhs
1	juhúu
1	ka
1	ka^
1	kahdas
1	kalpam
1	Kantera
1	Íensberga^
1	ko
1	Kriútus
1	Kunga
1	kur
1	kurr
1	laime^
1	Latweeúcha^
1	Latweeúchas
1	Mahzitaja
1	Mahzitaju
1	maldidams
1	mannim
1	mans
1	mantneeki
1	Mehs
1	mihligam
1	Miííeïa
1	Muhúu
1	nabbagam
1	naggeem
1	òemmeet
1	neúaprahtigi
1	nod§eedata
1	padewigi
1	Pahr
1	Paklauúait
1	païaujamees
1	palihd§eht
1	palihgu
1	paúluddina
1	patihk
1	peebeedramees
1	pehz
1	Pilsúatas
1	Pirma^
1	prahts
1	úahzis
1	úakka
1	úapraút
1	úarakútita
1	úew'
1	Úkohlas
1	úpehks
1	úteid§ahs
1	útiprumu
1	§trahdaht
1	Úwehdeena^
1	Úwehtibas
1	taiúnu
1	tawam
1	Taws
1	tawu
1	tee
1	tew'
1	Trummetehm
1	usturr
1	wadda
1	Wadditajeem
1	Wahrdiòúch
1	wahrdu
1	walgo^hs
1	Walloda^
1	walútibai
1	Walútibas
1	Waúúaras=Úwehtku
1	wehra^
1	Wella
1	Wihri
1	wiòòeem
1	wiòòi
1	zeeniga
1	zerribas
1	zilweki
1	zitti
1	1756
1	2
1	3
