Vârdformu skaits:	139
Vârdlietojumu skaits:	194


11	un
5	mehs
4	ne
4	pee
4	ta
3	akli
3	deewa
3	draud§eneeki
3	jo
3	juhs
3	kurli
3	lai
3	mums
3	tahs
3	welna
2	eúúam
2	jahòa
2	jums
2	kas
2	klauúitees
2	kungs
2	ïauna
2	leepajas
2	no
2	par
2	tad
2	us
1	andreia
1	apútulbohts
1	ar
1	artunga
1	atraujamees
1	atúwehtes
1	beid§ahs
1	bohja^
1	brühn
1	buhúim
1	bungahm
1	darbs
1	draud§ei
1	draud§ibas
1	driííehts
1	d§eeúma
1	eekriht
1	eeru§ta
1	eeúwehtiúchanas
1	eezelúchanas
1	ehrgeleem
1	eita
1	es
1	eúúeet
1	eúúi
1	gahdaht
1	grehzineekam
1	gribbam
1	gribbi
1	groh§ohs
1	grundt
1	i
1	ikdeenas
1	indriía
1	irr
1	isglahbti
1	ja
1	juhúu
1	ka
1	ka^
1	kahdas
1	kalpam
1	kantera
1	íensberga^
1	ko
1	kriútus
1	kunga
1	kurr
1	labbi
1	laime^
1	latweeúcha^
1	latweeúchas
1	mahzitaja
1	mahzitaju
1	maldidams
1	mannim
1	mans
1	mantneeki
1	mihligam
1	miííeïa
1	muhúu
1	nabbagam
1	naggeem
1	òemmeet
1	neúaprahtigi
1	nod§eedata
1	padewigi
1	pahr
1	paklauúait
1	palihgu
1	paúluddina
1	patihk
1	peebeedramees
1	pehz
1	pilsúatas
1	pirma^
1	prahts
1	úahzis
1	úakka
1	úarakútita
1	úkohlas
1	úteid§ahs
1	útiprumu
1	úwehdeena^
1	úwehtibas
1	taiúnu
1	tawam
1	tawu
1	tee
1	to
1	trummetehm
1	wadda
1	wadditajeem
1	wahrdu
1	walgo^hs
1	walloda^
1	walútibai
1	walútibas
1	waúúaras=úwehtku
1	wehra^
1	wella
1	wihri
1	wiòòeem
1	wiòòi
1	zeeniga
1	zeïïu
1	zerribas
1	zilweki
1	zitti
1	1756
1	2
1	3
