Vârdformu skaits:	1634
Vârdlietojumu skaits:	4552


202	vnde
167	gir
83	tho
59	Tha
55	taes
51	ka
50	no
49	tha
46	man
45	Tas
44	touwe
41	teuw
40	ex§kan
40	tu
39	the
38	cour
37	es
36	kattre
35	mums
35	vnd
30	ahr
29	Dewe
28	par
27	Dews
27	pi
24	wu§ce
23	bues
22	tas
21	wene
20	greke
20	Kunxs
20	thems
20	toep
19	§chwete
18	Chri§ti
18	§couwe
17	exan
17	grekes
16	Amen
16	d§elige
16	Je§u
16	Ko
15	Vs
13	dode
13	ieb
13	vs
13	war
12	ar
12	d§ele§tibe
12	grib
12	Ka
12	kad
12	katters
12	manne
12	tam
12	warde
11	Es
11	lid§e
11	mans
11	mu§ige
11	otre
10	Cek
10	Chri§tites
10	Dewam
10	Kattre
10	O
10	toes
10	tur
10	wens
9	ai§to
9	Garre
9	Kungam
9	lounne
9	Maria
9	mes
9	me§ce
9	nebues
9	pa§tere
9	prate
9	Teuw
9	wu§§e
8	cetturte
8	Chri§tite
8	ko
8	Schwete
8	§igo§chen
8	ta
8	te
8	Tho
8	tre§§che
8	turret
7	chri§tite
7	darrit
7	Deews
7	grekems
7	Je§um
7	Kunge
7	lued§e
7	luk§chen
7	ned§e
7	o
7	oters
7	petcz
7	tapt
7	thaes
7	wenam
7	Wene
7	winge
7	wu§cems
6	Ba§nedce
6	Bous§lis
6	ceptite
6	Chri§te
6	Chri§tum
6	doud§e
6	§che§te
6	§cho
6	§chwetes
6	§cirde
6	§cirdes
6	§tunde
6	tad
6	thas
6	Thewe
6	wardes
5	ahran
5	arrid§aen
5	arrid§an
5	buet
5	darr
5	Debbe§ce
5	Dewi§ke
5	doedt
5	d§elixs
5	dwe§cel
5	gode
5	kunxs
5	labbe
5	mannes
5	mir§chen
5	mu§ce
5	mu§e
5	paddome
5	pa§terre
5	pekte
5	pirma
5	pirme
5	prettibe
5	prex§kan
5	Sacramente
5	§ceu
5	Sche
5	§chlaw
5	Schwetes
5	tappis
5	Theews
5	titcibe
5	to
5	tre§§ches
5	wen
5	wete
5	wu§ces
4	ce§chen
4	cetturtcz
4	cilwexs
4	couwe
4	cru§te
4	debbes
4	dhew
4	doed
4	droud§ibe
4	d§ele§tib
4	e§§me
4	galwe
4	i§tene
4	kas
4	kunge
4	laikan
4	lele
4	luck§chen
4	luekt
4	maen
4	me§ces
4	mu§aem
4	mu§am
