Vârdformu skaits:	745
Vârdlietojumu skaits:	1511


53	irr
48	rei§
42	un
29	ne
28	no
20	jums
18	juhs
18	kartoppeles
15	tahs
14	ir
14	tad
13	ka
13	tik
12	10
12	4
12	6
11	ar
11	jeb
11	pehz
11	2
11	3
11	5
11	7
11	8
11	9
10	ka`
9	daud§
9	eek§ch
9	ta`
8	bet
8	buhs
8	ja
8	kad
8	warr
7	juhúu
7	pee
7	us
7	wairak
6	es
6	labbi
6	semmes
6	ta
6	to
5	bes
5	kahdu
5	labbu
5	par
5	warrat
4	baddu
4	i
4	is
4	juh§u
4	kartoppelehm
4	kartoppelu
4	kas
4	klaht
4	ko
4	labbibas
4	mai§es
4	mann
4	puhrus
4	úawu
4	úew
4	tam
4	tas
4	teek
4	wehl
4	wiòòas
4	woi
4	zitta
3	arr
3	augïeem
3	badda
3	behrneem
3	bihj
3	gaddo^s
3	gann
3	jau
3	jo
3	kungi
3	latwee§chi
3	lihd§
3	mannu
3	peez
3	sahles
3	úaweem
3	úawus
3	§cheem
3	úehklas
3	semme
3	tak
3	tee
3	teem
3	tur
3	wairs
3	wid§emmes
3	wiòòeem
3	wiúúu
2	aisween
2	arrid§an
2	atkal
2	bads
2	baltas
2	behrni
2	buhtu
2	diwideúmit
2	drih§
2	d§ihwes
2	eúmu
2	e§§at
2	galdeem
2	glu§chi
2	ikgaddo^s
2	ilgi
2	it
2	kur
2	labbak
2	labbiba
2	leek
2	leelas
2	lohpeem
2	mai§e
2	manni
2	mihïi
2	mihligu
2	miltu
2	mui§chas
2	nowahrait
2	pa
2	pabrih§cham
2	padohmu
2	pats
2	pellawas
2	preekúch
2	preek§ch
2	puhru
2	rehk'niòu
2	ruddeni^
2	rud§u
2	úarkanas
2	úawa
2	úawas
2	§chahs
2	§cho
2	úeeku
2	seemu
2	úe§ch
2	úirds
2	útahdiht
2	tahdu
2	tahm
2	tohs
2	turklaht
2	usturru
2	waggas
2	weenas
2	weenu
2	weetas
2	wiòòu
2	wi§§as
2	zeenigi
2	100
2	12
2	16
2	18
2	20
2	24
2	30
2	36
2	40
1	ais
1	aisdarru
1	aisklahj
1	aisòehmu
1	aisòemm
1	aisúahrgaht
1	aistrenkúeet
1	ak
1	alla§ch
1	ap
1	apehdis
1	apkahrt
1	apkluúúinaúeet
1	appak§chneekeem
1	ap§chuu§chas
1	apúehtu
1	apúiútas
1	apúkallojeet
1	apútrahdatai
1	apúuhdota
1	apswehti
1	arkli
1	aúni
1	aúnu
1	astoò
1	a§toò=patsmit
1	atdabbuht
1	atdoht
1	atleek
1	atleekamas
1	atlikke
1	atlikt{at,likt}
1	atpakkaï
1	atradde
1	at§chkirs
1	at§tahjat
1	aud§inaht
1	augieem
1	augïi
1	augliga
1	augligeemlaikeem
1	auglojahs
1	auglus
1	augïus
1	aug§ti
1	augstuma^
1	azzim
1	badda=zeeúchanu
1	baggatu
1	barribas
1	barribu
1	barrojahs
1	baudij§chi
1	beddrehm
1	beedrem
1	beedri
1	behdaj§chees
1	behdas
1	behrat
1	behrniòi
1	behrnu
1	behrnus
1	beswiltigs
1	bihjis
1	bittes
1	brehk§chanu
1	brehze
1	bruhíehúeet
1	buh§chu
1	buht
1	cik
1	conrad
1	dabbujat
1	dabbuj§chi
1	dahrs
1	dahr§a
1	dahr§o^s
1	dahwati
1	daïïahm
1	daïïiòu
1	daïïu
1	daniel
1	darba
1	darbo^s
1	darriúeet
1	da§ch
1	da§cha^s
1	da§chadu
1	da§chkahrtigas
1	da§chu
1	dauds
1	deenahm
1	deews
1	derr
1	derrigakas
1	dewe
1	dihgút
1	diwejadas
1	diwi
1	diwpatúmit
1	draugs
1	drehbes
1	driííehts
1	drusziò
1	d§el§i
1	d§enn
1	d§ennohs
1	d§ihwesbeedris
1	d§ihwoju
1	d§iïïi
1	d§illuma^
1	eed§ihwotaji
1	eejauze
1	eekúch
1	eek§chahm
1	eenahk§eet
1	ee§chuhrehjeet
1	eeútrahdajees
1	ehd
1	ehdeena
1	ehdeens
1	ehdihs
1	eh§t
1	gabbala
1	gabbaliòu
1	gabbalu
1	gahrdas
1	gahrdumus
1	gau§chas
1	gauúigakas
1	gauúigas
1	glabbaht
1	glahbtees
1	glehbt
1	glih§chi
1	gree§t
1	gribbedami
1	gribbu
