Vârdformu skaits:	696
Vârdlietojumu skaits:	1372


39	Labbibas
31	un
26	Krahjuma
24	ne
21	pehz
20	buhs
20	kas
20	pee
19	no
17	ka
16	ar
15	jeb
14	to
13	ko
13	tas
10	is
10	Rud§u
10	us
9	ta
9	tad
9	tam
8	buhtu
8	jau
8	peez
8	teem
7	Gaddeem
7	ikgaddo^s
7	Mui§chas
7	par
6	Bet
6	irr
6	Semneekeem
6	ta`
6	tee
6	weenu
5	ka`
5	kad
5	Labbibu
5	lihd§
5	Puhri
5	Puhru
5	Puhrus
5	Úaimneekam
5	úchahs
5	tik
5	tiks
5	warr
5	warrehs
5	wiúúu
4	arrid§an
4	bes
4	bet
4	Deena^
4	deúmit
4	Gadda
4	ja
4	kahdu
4	Labbiba
4	manneem
4	Mui§chai
4	ned§
4	Pehznahkameem
4	preekúch
4	Úaimneekeem
4	Úaimneeks
4	úcheem
4	trim
3	aisòemm
3	arr
3	Atúlehga
3	eekúch
3	ik
3	ikkuººa^
3	Ja
3	jadohd
3	jo
3	kam
3	klaht
3	Krahjums
3	mannim
3	pa
3	Parradi
3	Ruddeni
3	úchohs
3	úimti
3	tahdu
3	tai
3	tiktu
3	tohs
3	Waldineeks
3	ween
3	Weeta^
3	wehl
3	wiúúeem
3	woi
3	zik
2	aisdoht
2	alla§ch
2	Aisòemúchanas
2	Augleem
2	Daïïa
2	Daïïu
2	dehï
2	diwi
2	gaddo^s
2	Gaddo^s
2	gann
2	Gruhtibu
2	ihpaúchahm
2	ikkuººam
2	ikkurúch
2	ir
2	islikts
2	jauna
2	kïuh§t
2	kohpa
2	Krahjumam
2	krahtu
2	Kungs
2	kur
2	kurúch
2	labs
2	Laika
2	Laiku
2	Ïaudis
2	Leetahm
2	lihd§inaht
2	Likkumus
2	mann
2	Mikkeïeem
2	nahkt
2	Naudas
2	nekas
2	òemt
2	òemts
2	ohtra
2	padoht
2	pahr
2	papreekúch
2	pawiúúam
2	peebehrt
2	peederr
2	Rei§e^
2	Rei§es
2	úahktu
2	Úaimneeka
2	Úaimneeku
2	Úakrahúchanas
2	úakrahti
2	úcha
2	úcho
2	Semneeki
2	§inn
2	Tadehï
2	tahdeem
2	tahds
2	tahm
2	tak
2	Tam
2	teek
2	Teeúas
2	tohp
2	Usluhkam
2	Wahrdu
2	wairs
2	Waldineekam
2	Wal§ts
2	wiòòa
2	wiúúai
2	zelts
2	zittu
2	1
2	1796
2	1799ta
2	2
2	3
2	4
2	5
1	agrak
1	aisòehmees
1	aisòehmis
1	aisòehmu§chees
1	aisòemmoht
1	aisòemt
1	aisòemtas
1	aisòemtu
1	aisween
1	aisweenumehr
1	alla§chiò
1	apgahdahtus
1	aplam
1	apniks
1	ap§tipprinata
1	ap§trahdaht
1	atdohd
1	atdohúchoht
1	atdoht
1	atdohts
1	atdohtu
1	atkal
1	atlaist
1	atïauju
1	atleekamus
1	atlezz
1	atmakúahts
1	atme§ts
1	atrauti
1	atrohdami
1	atwehlejis
1	augoúchas
1	Ap
1	Apdohmu
1	Apgahdaúchanu{Apgahdaúchauu}
1	Ap§inna§chanu
1	Atbildeh§chanu
1	Atúlehgas
1	Au§u
1	bihja
1	bihjis
1	bihju
1	blehdigu
1	brihwi
1	briw'
1	Conrad
1	dabbuhs
1	dabbujis
1	Dahlderi
1	dahrgi
1	Dahwanu
1	dalikta
1	Dallu
1	Daniel
1	Darbeem
1	Darbo^s
1	darra
1	darriht
1	darriúchu
1	daud§
1	daud§{dau§}
1	dehl
1	derrigu
1	dihd§is
1	diwiúimti
1	dohs
1	drihk§t
1	Druúziò
1	d§ihwotu
1	D§imts=Kungam
1	D§imtskungam
1	d§irdeht
1	Eekúch
1	eekúcha
1	eeliktam
1	eelikts
1	eezeltam
1	es
1	eúmu
1	F
1	Gadda^
1	Gaddu
1	Gadskahrtigi
1	Galla^
1	Glehbúchanas
1	glu§chi
1	gohdigeem
1	gohdigi
1	Grahmata^
1	Grauds
1	gribbetu
1	Griííu
1	guïï
1	ihpaúchas
1	ikkuººas
1	ikkuººu
1	ikpahrneddeï
1	ilgu
1	is=dohd
1	isdawaht
1	isdibbinaht
1	isdohúees
1	isdoht
1	Islikta
1	isòemtu
1	isnihktu
1	isnihzinata
1	israhdihs
1	isred§ehs
1	isred§ehtam
1	is§pree§ch
1	is§tah§tihs
1	istehreta
1	it
1	ja=atwehle
1	ja=darr
1	ja=eeleek
1	ja=úagahda
1	Jaatdohúchanas
1	jaatpraúúa
1	jadaúkappe
1	jagahda
1	janeús
1	jaúchu
1	jaunam
1	jauneem
1	jauni
1	jazeïï
1	jeb{ieb}
