Vârdformu skaits:	1615
Vârdlietojumu skaits:	4001


137	vnd
129	to
108	ir
102	ka
66	no
41	ar
36	neh
36	v
35	meh§z
34	buh§z
34	tadt
32	ta
31	wenu
30	Deewu
30	§auwu
30	tas
28	pehtz
27	eck§chan
25	ka§z
25	vh§z
25	wings
24	arrid§an
24	par
23	pie
21	Deews
21	ta§z
20	mums
20	war
19	mum§z
17	tad
16	bet
16	ne
16	wing§z
15	ghrekus
14	Dewu
14	grib
14	Je§u
14	tam
13	ko
13	tu
12	Ai§to
12	es
12	Ja
12	Ka
12	muh§u
12	§ew
12	tapehtz
12	toh§z
12	wing§ch
12	zaur
11	Juh§z
11	Ka§z
11	tur
11	warram
11	wingam
10	gan
10	Meh§z
10	No
10	§auwus
10	§chwetu
10	tick
9	darrit
9	ghrekem
9	Jeb
9	man
9	teem
8	Chri§ti
8	Chri§ty
8	denu
8	Je§us
8	lab
8	pa§tara
8	tee
8	the
8	weens
8	wing
8	wingu
7	Amen
7	bie
7	Dewam
7	Dews
7	eck§z
7	kad
7	Kungu
7	Muh§u
7	§azit
7	Tapehtz
7	us
7	wahrdu
6	bau§zlu
6	buht
6	Jep
6	muh§ige
6	nhe
6	pa§chu
6	§cho
6	wi§§as
5	Bett
5	Chri§tus
5	darrigis
5	daud§z
5	deewu
5	Eck§chan
5	eet
5	ghrekeem
5	ghreku
5	juh§z
5	jums
5	Jums
5	Kung§z
5	labprat
5	muh§cham
5	Muh§cham
5	Muh§ige
5	nee
5	Neh
5	pa§taru
5	Pehtz
5	preck§z
5	§auckt
5	§in
5	wi§§e
5	wi§§us
5	zilwekus
4	alla§chin
4	alla§ching
4	ä§zam
4	atkal
4	A§§in
4	Atkal
4	Atpe§tigis
4	be§z
4	Bet
4	dar
4	darbem
4	Dewa
4	diwi
4	kadu
4	kam
4	katters
4	Kungam
4	Kungs
4	laun
4	lehlas
4	mantu
4	mä§z
4	muhms
4	Nahwe
4	nu
4	pret
4	§acka
4	§auwan
4	Schwetu
4	§tarpan
4	tauwu
4	tew
4	way
4	wehns
4	wi§§am
4	wi§§em
4	wi§z
4	Zaur
3	ai§to
3	Ar
3	beht
3	biju§chi
3	buhtam
3	buhtu
3	Chri§to
3	Chri§tum
3	debbes
3	deenu
3	Deewam
3	dewis
3	dewu
3	dohdt
3	dohma
3	doht
3	domajet
3	drauge
3	d§iewot
3	eck§ch
3	edder
3	eeht
3	eek§chan
3	Eitat
3	Elles
3	e§§am
3	e§zet
3	e§zeta
3	ghreke
3	ghrib
3	ghrutu
3	gribbam
3	ick
3	i§z
3	kas
3	kattrem
3	klaht
3	kluh§t
3	Ko
3	kock§z
3	kohku
3	krit
3	kru§tibu
3	May§e
3	miligu
3	Muh§igu
3	Mum§z
3	nackt
3	O
3	pahtz
3	pa§cham
3	pateickt
3	patz
3	pedoht
3	ped§im§chanu
3	prahtu
3	preku
3	pu§zes
3	rei§z
3	Säla§tibu
3	§auweem
3	§awus
3	§chäla§tibu
3	§irde
3	§irdes
3	Sirdes
3	§ird§z
3	tadu
3	tapt
3	Ta§z
3	te
3	tehm
3	thäwu
3	uh§z
3	wairack
3	wardem
3	wardu
3	ween
3	weenu
3	wen
3	wens
3	wingus
3	wi§§u
3	zilwex
3	3
2	ai§zmir§t
2	atpe§tit
2	At§taht
2	bädem
2	bährn
2	bährnus
2	balts
2	Ba§znitz
2	ba§znizas
2	Ba§znizes
2	beddru
2	bett
2	buh§z§chana
2	bu§z
2	Chri§tibu
2	dabbogis
2	dabbut
2	darbu
2	darbus
2	darris
2	da§ch
2	da§che
2	Debbes
2	ded§igu
2	deen
2	deewam
2	Deewl§z
2	Deew§z
2	Dehls
2	dewa
2	dro§chu
2	d§iewo
2	d§iewo§chan
2	d§illu
2	d§irdetu
2	eck§cham
2	ehkrit
2	eh§t
2	Eh§tadigis
2	Elle
2	elles
2	E§z
2	E§zam
2	ghaidu
2	gharru
2	ghars
2	ghar§z
2	ghrecke
2	ghreckem
2	ghreko
2	ghreku§z
2	ghrezenekus
2	ghuddribas
2	ghullet
2	gribedams
2	ickdenas
2	ickkattram
2	ilge
2	illge
2	Ir
2	irraid
2	Jeh
2	Je§um
2	Jr
2	kadt
2	Kadt
2	Kah§z
2	kalpot
2	Kapehtz
2	kattra
2	kattri
2	kattru
2	kaunigu
2	kawe§chan
2	klat
2	koh
2	koku
2	kre§zlu
2	kungu
2	kur
2	kurren
2	labback
2	laike
2	laizige
2	lehlu
2	lehnibu
2	lezibu
2	lied§z
2	lietzis
2	luckt
2	luhd§am
2	luhkojas
2	Mahzibu
2	Mahzitais
2	mannu
2	Mazibu
2	meddes
2	Mehl
2	Milige
2	miligis
2	mir§chan
2	Mir§chan
2	mir§t
2	muhm§z
2	muh§chu
2	muh§z
2	Mums
2	Nahwes
2	Nahwu
2	nawe
2	NB
2	Ne
2	neds
2	noluckt
2	packel
2	padohm
2	pahzehles
2	palied§z
2	palietz
2	paradan
2	pa§taro
2	pa§zaules
2	patarus
2	patt
2	paturret
2	pätz
2	pelles
2	pet
2	Petrus
2	pirmack
2	praht
2	pratu
2	precks
2	preck§ch
2	preck§che
2	Pret
