Vârdformu skaits:	1600
Vârdlietojumu skaits:	1777
	
	
19	Ahda
13	Ahdas
12	Ahdu
8	AHD
7	Ahboïi
7	jeb
6	ar
5	Abbi
5	Addata
5	Ahbols
5	diwi
5	to
4	A
4	abbi
4	Addatas
4	AHB
4	es
4	irr
4	un
3	Addatu
3	Addiòòi
3	Ar
3	Kohks
3	Meeúas
3	ne
3	no
3	Preekúch=Ahda
3	puús
3	ta
3	Tas
3	weens
2	A2
2	Aäroòa
2	AB
2	Abba
2	Abbejas
2	Abbu
2	Addatmannis
2	Ahbele
2	Ahbole
2	Ahdiòòa
2	Ahdminnis
2	Ammuls
2	apgraisiht
2	Aplahts
2	Auìuríi
2	Auúis
2	Azs
2	Azzi
2	Darbs
2	E
2	Eekúch
2	eekúch
2	Gals
2	Gremdeht
2	ka
2	Kam
2	Kauleem
2	Kohúens
2	Krehpes
2	Kurpes
2	Leels
2	Maise
2	Meeúa
2	noplehst
2	pahr
2	pahrmiht
2	par
2	Preekúch=Ahdu
2	Sahle
2	tahs
2	Takkas
2	To
2	tu
2	Waina
2	warr
2	Wehzinaht
2	Wilk=Ahboïi
1	A3
1	Aaron
1	Aäroniteri
1	Aärons
1	Abaua
1	Abauneeks
1	Abbas
1	Abbee
1	abbeem
1	Abbejahdi
1	abbejahdi
1	Abbejahds
1	Abbejahdu
1	Abbejahm
1	abbejahm
1	Abbejeem
1	abbejeem
1	Abbeji
1	Abbejo^s
1	Abbeju
1	abbeju
1	Abbejup
1	Abbejus
1	Abber
1	abber
1	abbu
1	Ablahtes
1	Ablahts
1	ABR
1	Abra
1	Abra^s
1	Abru=Kaúúis
1	AdADD
1	Adaúa
1	ADD
1	Addama
1	Addat=Bundulis
1	Addat=Kohzoris{=Kohzoris}
1	Addat=Zohzoris{=Zohzoris}
1	Addatas=
1	Addatiòòa
1	Addatmanne
1	Addatneeks
1	Addatu=Rakstitajs
1	Addeeni
1	Addeeòi
1	Adder
1	Addikle
1	Ahbelene
1	Ahbeles
1	Ahbolaiòúch
1	Ahbolajs
1	Ahboïeem
1	Ahboles=Sahle
1	Ahboïi=Tauteeúchi{=Tauteeúchi}
1	Ahboïi=Tautweeúchi
1	Ahboliòò~e
1	Ahboliòòu
1	Ahboliòsch
1	Ahboïu
1	Ahboïu=Dahrús
1	Ahboïu=Dsehrens
1	Ahboïu=Karraúchas
1	Ahbuliòsch
1	Ahdahm
1	Ahdaiòi
1	Ahdas=Úatruhdeúchana
1	Ahdaúa
1	Ahdascha
1	Ahdaúi
1	Ahdminis
1	Ahdminnikis
1	Ahdmins
1	Ahksts
1	Ahïa
1	Ahlawa
1	Ahlotees
1	Ahpúcha
1	Ahrdi
1	Ahrtaws
1	Ahscha=Ahda
1	Ahsenes
1	Ahskurlis
1	Ahsúmarúchas
1	Aisa
1	Aisdarra
1	Aisgalds
1	Akkohtes
1	Akstinaht
1	Aksts
1	Am~ules=Sahle
1	Am~uls
1	Amals
1	ap=Mahneht
1	Apgalwene
1	apìehrbt
1	Apkahrt
1	Apkalla
1	Apkillas
1	Aplohks
1	apmellejúi
1	apmelnejúi
1	Apmeúlis
1	appakúch
1	Appiòòu
1	Appohgs
1	Aprikka
1	aprumbahts
1	Apúegs
1	Apsenes
1	Apskaut
1	apwilktas
1	Asaids
1	Aúchi
1	Asnis
1	at=Gahdinaht
1	Atbalús
1	Atkahrpi
1	Atkahru
1	atkaï
1	Atkihls
1	atklahdams
1	Atmatta
1	Atmittis
1	Atpilis
1	atrohdahs
1	Atsaïs
1	Atsars
1	Atúcherbi
1	Atúchgaròi
1	Atúchubu
1	Atúehjas
1	Atstohpe
1	Atstrahgs
1	Attals
1	Atwars
1	Atwarúchas
1	Atwaúsas
1	Atwilis
1	Aubiúúe
1	Audis
1	Augúleji
1	Auìurkee
1	Aulis
1	Auliskiò
1	Aumakam
1	Aumannis
1	Aumeisters
1	Aumuïam
1	Aunu
1	Awjo=Ahda
1	Azzim
1	Azzu=Ahbols
1	Azzu=Grauds
1	Azzu=Raugs
1	B
1	B2
1	B3
1	Bahrkstes
1	Bahròi
1	Balbeºa
1	Balsenes
1	Balsitees
1	Balstitees
1	Balsts
1	balta
1	Balwas
1	Balwotees
1	Bambeht
1	Bamsaht
1	Bandas
1	Bangas
1	Bars
1	Baschitees
1	Baukúchkeht
1	Bause
1	Bebbera=Ahda{Bebbera=}
1	Beddeht
1	Beerizze
1	Behreis
1	Behrns
1	behrns
1	Behst
1	Belst
1	Beswahrdis
1	Bihdiht
1	bija
1	Biklis
1	Biksteklis
1	Birde
1	Birsems
1	Birstele
1	Bisas=
1	Blahki
1	Blahkns
1	Blahksns
1	Blahsma
1	Blaisiht
1	Blakkam
1	Blanditees
1	Blankums
1	Blauditees
1	Blaustiht
1	Blaweris
1	Bleestees
1	Blihneht
1	Bliksne
1	Bluííu=Wakkars
1	Bluúúenes
1	Bohkeht
1	Bohkstiks
1	Bohkstitees
1	Bohle
1	Boliski
1	Bordes
1	Brahïeem
1	Brahst
1	Brangas
1	Braúls
1	Braulums
1	Braune
1	Breescha=Ahda
1	Briddens
1	Brilleht
1	Brod=trog
1	Brohdigs
1	Brohúch
1	Bruhza
1	Brukúchas
1	Bruzzinaht
1	Budelis
1	Buhkúchíoúchas
1	Bullis
1	Bumbulis
1	Bundulis
1	Burbulis
1	Burde
1	Burta
1	Dabba
1	Dagga
1	Daggute
1	Daglainúch
1	Daglis
1	Dahks
1	Dahòas
1	Dahrsas
1	Dahrss
1	Dahrús
1	Dailúch
1	Dalbi
1	Danga
1	Darbakúli
1	Dardedsis
1	Dardeht
1	darriht
1	dat=Kohze
1	Dauriòòa
1	Deena
1	Deeseht
1	Deewa
1	Deeweris
1	Deews
1	Dehdeht
1	Dehdinaht
1	Dehkla
1	Dehle
1	Dehlenite
1	Della
1	Delna
1	Dihliht
1	Dilba
1	Dimdeht
1	Dirschas
1	Disch=Ahboïi
1	diwejo
1	dohd
1	Drapstiht
1	Draugs
1	Drawneeks
1	Drehbe
1	Drehbes
1	Drehgnis
1	Dribbinaht
1	Driúchkeht
1	Drohstela
1	Drohsteliòòa{=liòòa}
1	Druhsma
1	Dseedseris
1	Dsehse
1	Dseldinaht
1	Dselleht
1	Dselloksnis
1	Dselme
1	Dselna
1	Dselwe
1	Dsemis
1	Dúenaukúchis
1	Dsennuïeem
1	Dsennulis
1	Dserrokúlis
1	dsert
1	Dsihdinaht
1	Dsihpari
1	Dsihres
1	Dsihtars
1	Dsilna
1	Dsirklas
1	Dsirkste
1	Dsirres
1	Dsirrulis
1	Dsirteklis
1	Dubbe
1	Duhkúnis
1	Duhmaïi
1	Duhòas
1	Duhòi
1	Duhúcha
1	Dujsulis
1	Dukkure
1	Dumbrs
1	Dumpis
1	Duppuri
