Vârdformu skaits:	161
Vârdlietojumu skaits:	204


11	un
5	ka
4	mehs
4	par
4	pehz
3	mums
3	to
3	wiúúu
2	ar
2	bet
2	eekúch
2	gribbam
2	ko
2	muhúo
2	no
2	pee
2	peederrigu
2	tas
2	tik
2	turreht
2	úawu
2	úirdigi
1	@@0
1	Ammata~
1	Ammatneeki
1	Am~ata
1	Andlangeri
1	Ap§tipprinaúchanu
1	Awer=Mineerers
1	Aúúini
1	Aúúinu=Lahúihti
1	Behdas
1	Bet
1	Cun§tapeles
1	Deene§tas
1	Deews
1	Dohmu
1	Dwehúeles
1	Eenaidneekeem
1	Gruhtumu
1	KAd
1	Kehniòa
1	Labbumu
1	Laika^
1	Leetahm
1	Lehr=Cun§tapeles
1	Lehr=Fürwärkeres
1	Meeúas
1	Meeúu
1	Mineerers=Selli
1	Pahrgalwibu
1	Paklau§iúchanu
1	Pawehleúchanahm
1	Pils=úahts
1	Prahta^
1	Pretti=kauúchanu
1	Riga
1	Rohkas
1	Spehka
1	Spehku
1	Teeúas
1	Under=Fürwärkeres
1	Under=Oppezereem
1	Under=Oppezereri
1	Weeta^s
1	Weetas
1	Wiltineeku
1	Wirúneekeem
1	apglahbt
1	ap§ehdets
1	arrid§am
1	bihtees
1	buhdams
1	buhs
1	buht
1	darriht
1	drih§i
1	eelikta^s
1	eeliktas
1	eúúim
1	gaddijamahm
1	jo
1	kahds
1	kahdu
1	kas
1	kohpa=turrehtees
1	labba^
1	labpraht
1	lai
1	lihds
1	mohdrigi
1	muhúa^s
1	muhúas
1	muhúeem
1	muhúu
1	ne
1	ne=apdohmigs
1	neds
1	nei
1	neneeka
1	neustizzigs
1	nodoht
1	nolikti
1	pahr
1	palihds
1	parahdiht
1	parahdiúees
1	pawehleti
1	pa§chi
1	pa§chu
1	pa§trahdaht
1	paúchu
1	peeklahjahs
1	peelikt
1	pee§pee§ts
1	pehdigaj
1	preekúch=zelteem
1	pretti
1	pretti=runnaht
1	pretti=turrigs
1	tad
1	tahm
1	tam
1	tappis
1	tapt
1	teem
1	teeúcham
1	tihúcheem
1	tikkuúchi
1	tohp
1	turrehtees
1	usbruhkts
1	warr
1	ween
1	ween=prahtigas
1	wihri§chki
1	wiús
1	wiúúa
1	wiúúahm
1	wiúúas
1	wiúúu=ma§akahm
1	wiúúu=ma§aki
1	zaur
1	zeeniga
1	§chinni^
1	§pree§tees
1	§tarpa
1	§tippraku
1	§wehram
1	ìelbeht
1	Íehniòa
1	Úcho
1	Úirds
1	Úohdu
1	úamannihts
1	úawa
1	úawa^
1	úawas
1	úchis
1	úcho
1	úew
