Vârdformu skaits:	158
Vârdlietojumu skaits:	202


10	un
5	ka
4	mehs
4	pehz
3	mums
3	no
3	par
3	to
3	wiúúu
2	Kehòiga
2	ar
2	bet
2	eek§ch
2	gribbam
2	ko
2	muhúo
2	pahr
2	pa§chu
2	pee
2	tas
2	tik
2	turreht
2	úawas
2	úirdigi
1	@@0
1	Ammahta
1	Ammata^
1	Ammatneeki
1	Andlangers
1	Ap§tipprina§chanu
1	Awer=Mineerers
1	Aúúini
1	Aúúinu=Lahúihtu
1	Behdas
1	Bet
1	Cun§tapeles
1	Deene§tas
1	Deews
1	Dohmu
1	Dweh§eles
1	Eenaidneekeem
1	Gruhtumu
1	KAd
1	Labbumu
1	Laika^
1	Leetahm
1	Lehr=Cun§tapeles
1	Lehr=Fürwärkeres
1	Meeúu
1	Meh§as
1	Mineerers=Selli
1	Pahrgalwibas
1	Paklauúúi§chanu
1	Pawehle§chanahm
1	Pils=úahts
1	Prahta^
1	Prettikau§chanu
1	Riga
1	Rohkas
1	Spehka
1	Spehku
1	Teeúas
1	Under=Fürwärkeres
1	Under=Oppezereem
1	Under=Oppezeres
1	Weetas
1	Weeto^s
1	Wiltineeku
1	Wirúneekeem
1	apglahbt
1	apúehdets
1	arrid§an
1	bihtees
1	buhdams
1	buhs
1	buht
1	darriht
1	drih§i
1	eeliktas
1	eelikto^s
1	eúúim
1	gelbeht
1	kahds
1	kahdu
1	kas
1	kohpa=turrehtees
1	lab=praht
1	labba^
1	lai
1	lihds
1	mohdrigi
1	muh§as
1	muhúeem
1	muhúo^s
1	muhúu
1	ne
1	ne=apdohmigs
1	ne=ustizzigs
1	neds
1	nei
1	neneeka
1	nodoht
1	nolikti
1	notikkamahm
1	palihds
1	parahdahs
1	parahdiht
1	pawehlehti
1	pa§chi
1	pa§trahdaht
1	peederrighu
1	peederrigu
1	peeklahjahs
1	peelikt
1	pee§pee§ts
1	pehdigu
1	preek§ch=zelteem
1	pretti=runnahtees
1	pretti=turrigs
1	pretti=§pree§tees
1	tad
1	tahm
1	tam
1	tappis
1	tapt
1	teem
1	tee§cham
1	tih§cheem
1	tikku§chi
1	tohp
1	turrehtees
1	und
1	usbruhkts
1	war
1	ween
1	ween=prahtigas
1	wihri§chki
1	wiús
1	wiúúa
1	wiúúahm
1	wiúúas
1	wiúúu=ma§akahm
1	wiúúu=ma§aki
1	zeeniga
1	§chinni^
1	§cho
1	§tarpa
1	§tippraku
1	§wehram
1	Úcho
1	Úirds
1	Úohdu
1	úamannihts
1	úawa
1	úawa^
1	úawu
1	úchis
1	úew
