Vârdformu skaits:	157
Vârdlietojumu skaits:	202


10	un
5	ka
4	mehs
4	pehz
3	bet
3	mums
3	no
3	par
3	to
3	wiúúu
2	ar
2	eek§ch
2	gribbam
2	kehòiga
2	ko
2	muhúo
2	pahr
2	pa§chu
2	pee
2	úawas
2	úirdigi
2	tas
2	tik
2	turreht
1	ammahta
1	ammata^
1	ammatneeki
1	andlangers
1	apglahbt
1	apúehdets
1	ap§tipprina§chanu
1	arrid§an
1	aúúini
1	aúúinu=lahúihtu
1	awer=mineerers
1	behdas
1	bihtees
1	buhdams
1	buhs
1	buht
1	cun§tapeles
1	darriht
1	deene§tas
1	deews
1	dohmu
1	drih§i
1	dweh§eles
1	eeliktas
1	eelikto^s
1	eenaidneekeem
1	eúúim
1	gelbeht
1	gruhtumu
1	kad
1	kahds
1	kahdu
1	kas
1	kohpa=turrehtees
1	lab=praht
1	labba^
1	labbumu
1	lai
1	laika^
1	leetahm
1	lehr=cun§tapeles
1	lehr=fürwärkeres
1	lihds
1	meeúu
1	meh§as
1	mineerers=selli
1	mohdrigi
1	muh§as
1	muhúeem
1	muhúo^s
1	muhúu
1	ne
1	ne=apdohmigs
1	ne=ustizzigs
1	neds
1	nei
1	neneeka
1	nodoht
1	nolikti
1	notikkamahm
1	pahrgalwibas
1	paklauúúi§chanu
1	palihds
1	parahdahs
1	parahdiht
1	pa§chi
1	pa§trahdaht
1	pawehlehti
1	pawehle§chanahm
1	peederrighu
1	peederrigu
1	peeklahjahs
1	peelikt
1	pee§pee§ts
1	pehdigu
1	pils=úahts
1	prahta^
1	preek§ch=zelteem
1	pretti=runnahtees
1	pretti=§pree§tees
1	pretti=turrigs
1	prettikau§chanu
1	riga
1	rohkas
1	úamannihts
1	úawa
1	úawa^
1	úawu
1	§chinni^
1	úchis
1	úcho
1	§cho
1	úew
1	úirds
1	úohdu
1	spehka
1	spehku
1	§tarpa
1	§tippraku
1	§wehram
1	tad
1	tahm
1	tam
1	tappis
1	tapt
1	teem
1	teeúas
1	tee§cham
1	tih§cheem
1	tikku§chi
1	tohp
1	turrehtees
1	und
1	under=fürwärkeres
1	under=oppezereem
1	under=oppezeres
1	usbruhkts
1	war
1	ween
1	ween=prahtigas
1	weetas
1	weeto^s
1	wihri§chki
1	wiltineeku
1	wirúneekeem
1	wiús
1	wiúúa
1	wiúúahm
1	wiúúas
1	wiúúu=ma§akahm
1	wiúúu=ma§aki
1	zeeniga
1	0
