V‚rdformu skaits:	4140
V‚rdlietojumu skaits:	17284
	
	
457	vnd
337	mums
314	to
297	ir
233	ar
227	tas
205	no
193	Vnd
170	ekﬂan
169	tu
165	par
158	Jeßu
155	es
144	teuw
140	O
140	wyßße
114	ka
113	debbes
110	m‰s
106	n‰
103	touwe
89	ta
86	Ka
85	Ar
81	tam
79	Tas
76	kunx
76	man
74	ßouwe
74	o^
73	te
72	Dews
69	Dewe
69	pe
66	ij
63	cour
62	Ta
60	Jumprouw
60	No
59	De¥we
57	Ekﬂan
55	Cour
51	To
49	Kas
49	muße
47	Maria
46	Jeßum
46	Par
46	tur
46	wyßßems
45	Chrißte
44	Alleluia
43	by'
43	T‰we
42	ßw‰te
42	tems
42	Tu
41	bes
41	nu
40	ekﬂ'
40	war
40	wen
39	vz
39	winie
38	kas
37	Chrißtus
37	Kyrie
35	d‰ls
33	aukﬂan
33	bus
33	ﬂo
32	Kad
32	lele
32	meße
32	Sw‰te
31	ßeuw
31	dzeßme
31	grib
31	Jeßus
31	Te
30	Chrißti
30	Chrißtum
30	dw‰ßel
30	tos
30	wens
29	krußte
29	Ley
27	dzygoﬂen
27	paßßoul
27	Pe
27	touw'
26	aßßin
26	Amen
26	lab
26	mate
25	bu^s
25	galle
25	lydz
25	mu^Íam
25	Tad
25	vnnd
25	Vz
24	d‰le
24	Engel
24	mu^ße
24	Teuw
24	Winie
23	Bet
23	ko
23	le¥le
23	nawe
23	p‰c
23	peßtitayﬂ
23	T‰wam
23	Tur
22	ßyrde
22	Alle
22	dod
22	labbe
22	wene
21	eleyßon
21	Lydz
21	tad
21	vn~
21	warr‰n
21	winﬂ
21	Wyßße
21	Í‰lix
20	Al
20	gr‰ke
20	gr‰kems
20	helles
20	kunge
20	N‰
20	nawes
20	paßßouls
20	Í‰leßtybe
20	zemme
19	ßp‰k
19	but
19	muÍam
19	pedzimﬂen
19	tay
19	w‰lne
18	ßtunde
18	De`we
18	Dewam
18	etc
18	Garﬂ
18	iums
18	Kunx
18	mu^Íige
18	mu~s
18	mylyb
18	tap
17	ßyrdes
17	AbÍ‰lo
17	bu^t
17	cilw‰ks
17	Do^d
17	na^we
17	Nu
17	ta¥s
17	T‰ws
17	touwes
16	D‰lam
16	Garre
16	Gods
16	kla¥t
16	ley
16	liot
16	manne
16	M‰s
16	muÍige
16	P‰c
16	prekﬂan
16	Tam
16	we¥ns
15	ßkyßt
15	b‰rninx
15	da¥rge
15	Es
15	Garram
15	paßßoules
15	Sw‰tam
15	touw
15	trys
15	tyk
15	wyrßon
14	ßak
14	Aißto
14	c‰les
14	cilw‰ke
14	D‰ls
14	darge
14	De¥wam
14	De¥ws
14	debbeßße
14	gr‰kes
14	Jßpeßty
14	kad
14	kattre
14	kliu
14	laykig
14	walßtybe
14	We¥n
14	we¥n
13	3
13	aukßte
13	Eia
13	gan
13	katters
13	mylie
13	slawe
13	tapt
13	vnde
13	wyßß'
13	yz
12	2
12	ßouwems
12	ßtundan
12	aßßins
12	aridzan
12	Dod
12	Jr
12	ludzam
12	mes
12	Mums
12	ro^ke
12	ﬂoden
12	Sw‰tas
12	Tap‰c
12	Tems
12	top
12	Wene
12	winiam
12	Í‰leßtyb
11	ßkyßte
11	atkal
11	droudz
11	dzimdenats
11	Garr'
11	Kattra
11	peßtiﬂen
11	Souwe
11	tam‰r
11	Tryadyb
11	walßtyb
11	Winﬂ
10	ßaccy'
10	ßlaw'
10	ßouw
10	ßouw'
10	ßouwes
10	Abz‰lo
10	allaÍyn
10	b‰dems
10	barryb
10	Chrißto
10	dar
10	dzygot
10	ekßzan
10	Engels
10	gode
10	Ja
10	Ko
10	krußt
10	le`le
10	lioune
10	lyxmybe
10	ma^te
10	mo^ke
10	mußu
10	pra¥t
10	Soul
10	Sw‰ta
10	Touw'
10	touwems
10	Wens
10	wyßßes
9	ßalde
9	ßw‰ta
9	b‰rninie
9	ce^ﬂen
9	celﬂen
9	ceﬂen
9	De^ws
9	dzedam
9	Ekﬂ'
9	gaie
9	gayßums
9	gru^te
9	Jumprouws
9	kappe
9	Katters
9	kattra
9	ko^ke
9	Kˆnigin
9	kˆninie
9	lioun
9	me¥ße
9	me^s
9	mere
9	mylybe
9	nawayd
9	nedz
9	Paßßarge
9	pattes
9	pedzimpts
9	precybe
9	pretty
9	Sw‰ts
9	teuwim
9	Touwe
9	Trys
9	we`n
9	Wen
