V‚rdformu skaits:	2348
V‚rdlietojumu skaits:	7510


283	vnd
171	ir
118	to
99	ne
94	no
88	ekﬂan
80	mums
73	ka
67	tas
64	par
61	ta
59	bus
58	a¥r
57	Dews
55	Dewu
48	Dewa
47	bu^s
46	kas
45	tems
43	ka¥
41	te
39	bet
37	Tas
36	ko
36	te^
35	Ta
34	Ar
34	tu
33	mes
32	Kas
32	to^s
31	war
30	ieb
30	tad
29	pe
28	kattri
28	ßeuw
27	Vnd
26	a¥ißto
26	wyßßems
25	es
25	winﬂ
24	caur
24	Ko
24	maes
24	paec
23	prekﬂan
23	teuw
22	debbeßsis
20	lydz
20	tauwu
19	helles
19	pretty
19	Teuw
19	waiag
18	e^t
18	ia
18	tam
18	wens
18	1
18	2
17	Chrißtus
17	graekus
17	ludzam
17	Sakraments
17	vz
17	3
16	darrit
16	Ja
16	man
15	bes
15	labbu
15	ley
15	tauwa
15	wena
15	wyßßu
14	bu^t
14	but
14	Garru
14	nedz
14	ßauwems
14	ßauwu
14	Swaetu
14	Sweti
14	wenu
14	winia
14	wyßsi
13	Amen
13	Dewa¥
13	graeku
13	Ne
13	nu
13	ßirdi
13	ta¥
13	4
12	debbeßßu
12	gan
12	kad
12	mu^ßu
12	neneku
11	ar
11	Cek
11	dziwoﬂana
11	gallu
11	greki
11	kur
11	tur
10	ab
10	cek
10	cilwaeks
10	darbems
10	dwaeßel
10	gaddus
10	graekems
10	greku
10	helle
10	JESVS
10	krußtu
10	Maria
10	paßßaules
10	Tos
10	wardu
10	yz
10	5
9	Aißto
9	by
9	debbeßsi
9	Ekﬂan
9	Es
9	go^du
9	grekems
9	JESV
9	Ka
9	kattru
9	me^ßa
9	me^ßas
9	Mes
9	mo^kas
9	pec
9	Tapaec
9	tay
9	turraet
9	wael
9	wairak
9	warram
9	wena¥
9	z&aeleßtiba¥
9	zemmes
8	Baznica
8	do^d
8	kattra
8	Kungs
8	ßauwas
8	ßauwus
8	ﬂo
8	ßpaeku
8	Taewu
8	tik
8	wyßßus
8	zyme
8	6
8	7
7	a¥ridzan
7	a¥tkal
7	ce^ßt
7	drizak
7	dziwoﬂanas
7	kadu
7	katters
7	mokas
7	mu^z&iga
7	muz&am
7	S
7	ﬂa
7	ßaccidami
7	ßakkam
7	ﬂas
7	ta¥s
7	trys
7	tukßtoﬂus
7	turret
7	tuwaku
7	vgguni
7	wyrßu
7	wyßßa
7	wyßßas
6	baußlus
6	Baznicakungu
6	ce^ﬂ
6	Chrißti
6	Chrißtum
6	debbeßßo
6	Dewam
6	dweßelles
6	ka¥ttri
6	Kapaec
6	krißtiba
6	liaunu
6	mileßirdiba¥
6	milot
6	notek
6	o^
6	o^tru
6	peßti
6	ßakka
6	ßakka¥
6	ﬂems
6	ßudzaet
6	Swaeta
6	ßwaetu
6	Sweta
6	ta^s
6	Taews
6	Tam
6	tapaec
6	Te
6	tek
6	top
6	waelnu
6	winiam
6	zinnat
5	aukﬂan
5	Baznicakungs
5	Bet
5	byuﬂi
5	cilwaekam
5	daels
5	Daelu
5	darriuﬂi
5	do^t
5	dryz
5	dziwoﬂana¥
5	eßakums
5	gabbols
5	gribbi
5	Kattra
5	krißtitam
5	la¥bbu
5	lab
5	labba
5	labbak
5	lugﬂana
5	ma^ta
5	mo^kems
5	muz&igas
5	muz&ige
5	nawe
5	O
5	perßona
5	pirmais
5	preciba
5	preciba¥
5	Sakramentu
5	ßapes
5	Ta¥
5	Tad
5	Taewa
5	tauwa¥
5	tauws
5	tikkuﬂ
5	to^pu
5	turrens
5	tyccu
5	wa^rds
5	wyrs
5	wyßßur
5	yt
4	algu
4	baußles
4	bya
4	ce^nit
4	Chrißte
4	cilwaeku
4	cittems
4	citti
4	dabbuis
4	dabbuit
4	Daels
4	darram
4	debbeßßa
4	dot
4	dweßel
4	dziwo
4	ekam
4	Engelems
4	eßmu
4	gals
4	Garrs
4	iau
4	ilgi
4	ka^du
4	kada
4	kam
4	Kapec
4	kattrems
4	kattrus
4	klaußit
4	Kur
4	labbi
4	le^tems
4	lela¥
4	Ley
4	maiza
4	miliba¥
4	mirt
4	mußa
4	muz&iga
4	na^cis
4	newar
4	No
4	nokauwt
4	o^ters
4	pameßt
4	Par
4	paﬂas
4	paﬂu
4	pats
4	Pe
4	pekts
4	pilna
4	ro^ku
4	ruppiu
4	ßaccit
4	ßauwa
4	ßirdis
4	ﬂoden
4	ßodiba
4	ßtunda
4	ßwaeta
4	ßwaetas
4	Swetu
4	ta¥ppis
4	Tapec
4	tappis
4	Te^
4	teﬂam
4	To
4	tos
4	turri
4	turru
4	tyccaet
4	tyccibas
4	vggunims
4	vziemt
4	wards
4	we^n
4	winias
4	winiu
4	wyßßuwalditaiu
4	z&aelot
4	z&eleßtiba¥
4	zemme
3	a¥ppakﬂan
3	aede
3	aridzan
3	baggats
3	Baznica¥
3	bernus
3	caetturts
3	Cains
3	Caur
3	ce^tis
3	cenit
3	cik
3	Cik
3	cilwekam
3	cilweks
3	cilweku
3	cittada
3	cittu
3	czettri
3	da¥rbi
3	dabbu
3	darbus
3	darryis
3	daudz
3	dena
3	deweti
3	Dewi
3	do^ts
3	dod
3	dwaeßelles
3	dziwus
3	Enaka
3	Engeli
3	Engels
3	Eßtippraﬂana
3	eßwaetiﬂana
3	ewedde
3	galdu
3	graecnekems
3	graeki
3	graekims
3	graeks
3	grekot
3	grekus
3	grib
3	Gribbi
3	gruta
3	Helle
3	iemt
3	ikwenam
3	ilgu
3	io
3	ißtens
3	Job
3	Judas
3	ka¥da
3	Ka¥pec
3	ka¥s
3	ka^da
3	Kad
3	kadas
3	kalpu
3	katholiﬂka
3	Katholiﬂka
3	kattras
3	Kattri
3	klaias
3	krißti
3	Krißtiba
3	krißtits
3	kungs
3	kungu
3	kurﬂ
3	labbems
3	labbus
3	Lauliba¥
3	layku
3	leti
3	lu^gt
3	lugt
3	ma¥ta
3	maeru
3	maize
3	mata
3	meßas
3	mu^ßus
3	mu^z&am
3	mu^z&igas
3	mu^z&ige
3	mu^z&igems
3	mus
3	mußas
3	nabbagam
3	nabbagems
3	Nawe
3	newena
3	newens
3	nomirruﬂus
3	noticcis
3	o^tra
3	pallek
3	pametta
3	parada
3	paradu
3	paßßaul
3	paßßaula¥
3	paßßaulas
3	paßtarra
3	pawaelaetu
3	pazinnis
3	peder
3	pra^ts
3	pra^tu
3	Prekﬂan
3	reize
3	ﬂe
3	Septinie
3	ßeptits
3	ßeßts
3	ßkan
3	ßodiba¥
3	ßodibas
3	ßodit
3	Swaetais
3	ßwaeti
3	ßwaetit
3	ßwaetits
3	Swetems
3	ta^ds
3	taewu
3	taggad
3	taggadin
3	tamaer
3	tamer
3	taps
3	te^ms
3	To^s
3	topu
3	treﬂas
3	tukßtoﬂkart
3	tuwaka
3	tycciba¥
3	vdeni
3	vziemis
3	waelnam
3	waelni
3	Waiag
3	waina
3	wardems
3	wen
3	Wena
3	wenam
3	wenas
3	wenkart
3	wyßßunotul
3	z&aeleßtiba
3	z&eleßtiba¥s
3	zinni
3	8
2	a¥bbi
2	a¥ccims
2	a¥lgu
2	a¥ßsins
2	a¥ßtots
2	a¥tbildes
2	abgada
2	abo^lu
2	aeließwaidiﬂana
2	aeliu
2	aena
2	allazin
2	appakﬂa
2	appakﬂan
2	attraddis
2	atzißt
2	Aukﬂan
2	baerns
2	baernu
2	baggatiba
2	baußlems
2	baußlu
2	Baznicakungam
2	Baznicakungems
2	Baznicakungus
2	Baznicas
2	bedas
2	breßmiga
2	breßmiga¥
2	byßtas
2	ca¥ur
2	ce^niam
2	Ce^tis
2	celﬂana
2	celtes
2	cerraet
2	cetturts
2	Chrißto
2	cilwaecibas
2	cilwaekems
2	cilwaeki
2	cilweka¥
2	cilweki
2	cits
2	czettrems
2	da¥rra¥
2	dabbuiuﬂi
2	daegt
2	daelam
2	darbi
2	darbu
2	darra
2	darra¥
2	darri
2	darriußa
2	debbeßßis
2	denas
2	denißka¥
2	denus
2	deßmittus
2	Dewiﬂka¥
2	Dewiﬂkas
2	Dewiﬂku
2	dewwe
2	dewwinie
2	dewwits
2	do^da
2	do^du
2	do^ma
2	draugi
2	draugus
2	dußmiba
2	dußmiba¥
2	dußßeﬂana¥
2	dywwipadeßmittus
2	dziwa
2	dziwems
2	dziwoiußa
2	dziwot
2	e^s
2	eiemts
2	eka¥rot
2	eka^rot
2	enaidneku
2	enaidnekus
2	ES
2	eßßem
2	eßsi
2	ga¥lwagreki
2	ga¥n
2	gabbolinu
2	gaddi
2	gaddu
2	galwagraeku
2	Garra
2	go^ds
2	gods
2	graecneku
2	graekois
2	Graekuwaidaﬂana
2	grecnekam
2	gribbam
2	gribbes
2	gruta¥
2	grutak
2	grutas
2	grutems
2	grutu
2	ia¥
2	iaemis
2	Ik
2	ikwens
2	ikwenu
2	ißßaccit
2	ißßakkamas
2	It
2	Jeremias
