V‚rdformu skaits:	2207
V‚rdlietojumu skaits:	7494


283	vnd
173	ir
122	to
112	ne
104	tas
98	no
97	ekﬂan
96	ta
82	ka
82	mums
78	kas
67	par
60	bus
60	ko
58	a¥r
57	dews
55	dewu
48	dewa
47	bu^s
47	te
46	tems
45	ar
45	ka¥
44	bet
42	mes
42	teuw
40	te^
36	es
35	tad
35	to^s
34	tu
33	pe
31	kattri
31	war
30	ieb
28	ßeuw
27	caur
27	und
26	a¥ißto
26	paec
26	prekﬂan
26	wyßßems
25	maes
25	winﬂ
24	tam
22	debbeßsis
22	waiag
21	cek
21	lydz
20	pretty
20	tauwu
19	helles
19	ley
18	e^t
18	graekus
18	ia
18	ta¥
18	wena
18	wens
17	chrißtus
17	ludzam
17	sakraments
17	vz
17	1
17	2
16	darrit
16	ja
16	man
16	wyßsi
16	wyßßu
16	3
15	bes
15	kad
15	kur
15	labbu
15	tapaec
15	tauwa
14	bu^t
14	but
14	garru
14	graeku
14	mu^ßu
14	nedz
14	ßauwu
14	swaetu
14	sweti
14	wenu
14	winia
13	amen
13	dewa¥
13	helle
13	kattra
13	neneku
13	nu
13	ßauwems
13	ßirdi
13	4
12	debbeßßu
12	gan
12	kungs
11	dziwoﬂana
11	gallu
11	greki
11	pec
11	taewu
11	tay
11	tos
11	tur
10	ab
10	aißto
10	cilwaeks
10	darbems
10	dwaeßel
10	gaddus
10	graekems
10	greku
10	jesus
10	krußtu
10	maria
10	paßßaules
10	wairak
10	wardu
10	warram
10	yz
10	5
9	by
9	daels
9	debbeßsi
9	do^d
9	go^du
9	grekems
9	jesv
9	kattru
9	krißtiba
9	me^ßa
9	me^ßas
9	mo^kas
9	tik
9	turraet
9	wael
9	wena¥
9	z&aeleßtiba¥
9	zemmes
8	baznica
8	gribbi
8	ka¥ttri
8	kapaec
8	katters
8	muz&am
8	nawe
8	ßauwas
8	ßauwus
8	ﬂo
8	ßpaeku
8	ta¥s
8	trys
8	winiam
8	wyßßa
8	wyßßus
8	zyme
8	6
8	7
7	a¥ridzan
7	a¥tkal
7	aukﬂan
7	ce^ßt
7	drizak
7	dziwoﬂanas
7	kadu
7	mokas
7	mu^z&iga
7	s
7	ﬂa
7	ßaccidami
7	ßakkam
7	ﬂas
7	tauws
7	tukßtoﬂus
7	turret
7	tuwaku
7	vgguni
7	wyrßu
7	wyßßas
6	baußlus
6	baznicakungu
6	ce^ﬂ
6	chrißti
6	chrißtum
6	cik
6	debbeßßo
6	dewam
6	dweßelles
6	katholiﬂka
6	labbak
6	liaunu
6	mileßirdiba¥
6	milot
6	notek
6	o^
6	o^tru
6	peßti
6	ßakka
6	ßakka¥
6	ﬂems
6	ßudzaet
6	swaeta
6	ßwaetu
6	sweta
6	ta^s
6	taewa
6	taews
6	tek
6	top
6	waelnu
6	zemme
6	zinnat
5	baznicakungs
5	byuﬂi
5	ce^tis
5	cilwaekam
5	daelu
5	darriuﬂi
5	do^t
5	dryz
5	dziwoﬂana¥
5	ekam
5	eßakums
5	gabbols
5	kadas
5	kapec
5	kattrus
5	krißtitam
5	kungu
5	la¥bbu
5	lab
5	labba
5	lugﬂana
5	ma^ta
5	miliba¥
5	mo^kems
5	mußa
5	muz&igas
5	muz&ige
5	newena
5	o
5	perßona
5	pirmais
5	preciba
5	preciba¥
5	sakramentu
5	ßapes
5	tapec
5	tauwa¥
5	tews
5	tikkuﬂ
5	to^pu
5	turrens
5	tyccu
5	wa^rds
5	wyrs
5	wyßßur
5	yt
4	algu
4	baußles
4	bya
4	ce^nit
4	chrißte
4	cilwaeku
4	cittems
4	citti
4	cittu
4	czettri
4	dabbuis
4	dabbuit
4	darram
4	debbeßßa
4	dot
4	dweßel
4	dziwo
4	engelems
4	eßmu
4	gals
4	garrs
4	iau
4	ilgi
4	ka^du
4	kada
4	kam
4	kattrems
4	klaias
4	klaußit
4	krißtibas
4	labbi
4	lauliba¥
4	le^tems
4	lela¥
4	maiza
4	meßas
4	mirt
4	muz&iga
4	na^cis
4	newar
4	nokauwt
4	o^ters
4	pameßt
4	paﬂas
4	paßßaul
4	paﬂu
4	pats
4	pattes
4	pekts
4	pilna
4	pirma
4	ro^ku
4	ruppiu
4	ßaccit
4	ßauwa
4	ßirdis
4	ﬂoden
4	ßodiba
4	ßtunda
4	ßwaeta
4	ßwaetas
4	swetu
4	ta¥ppis
4	tappis
4	teﬂam
4	turri
4	turru
4	tyccaet
4	tyccibas
4	vggunims
4	vziemt
4	wards
4	we^n
4	winias
4	winiu
4	wyßßuwalditaiu
4	z&aelot
4	z&eleßtiba¥
3	a¥ppakﬂan
3	aede
3	aridzan
3	baggats
3	baznica¥
3	bernus
3	caetturts
3	cains
3	cenit
3	cilwekam
3	cilweks
3	cilweku
3	cittada
3	da¥rbi
3	dabbu
3	darbus
3	darryis
3	daudz
3	dena
3	deweti
3	dewi
3	do^ts
3	dod
3	dußmiba¥
3	dwaeßelles
3	dziwus
3	enaka
3	engeli
3	engels
3	eßtippraﬂana
3	eßwaetiﬂana
3	ewedde
3	galdu
3	graecnekems
3	graeki
3	graekims
3	graeks
3	grekot
3	grekus
3	grib
3	gruta
3	iemt
3	ikwenam
3	ikwens
3	ilgu
3	io
3	ißtens
3	job
3	judas
3	ka¥da
3	ka¥pec
3	ka¥s
3	ka^da
3	kalpu
3	kattras
3	krißti
3	krißtits
3	kurﬂ
3	labbems
3	labbus
3	laulibas
3	layku
3	leti
3	lu^gt
3	ludzu
3	lugt
3	ma¥ta
3	maeru
3	maize
3	mata
3	milibas
3	mu^ßas
3	mu^ßus
3	mu^z&am
3	mu^z&igas
3	mu^z&ige
3	mu^z&igems
3	mus
3	mußas
3	nabbagam
3	nabbagems
3	newaid
3	newens
3	nomirruﬂus
3	noticcis
3	o^tra
3	pa
3	pallek
3	pametta
3	parada
3	paradu
3	paßßaula¥
3	paßßaulas
3	paßtarra
3	paterems
3	paterus
3	pawaelaetu
3	pazinnis
3	peder
3	pemin
3	peßtitais
3	pra^ts
3	pra^tu
3	raug
3	reize
3	ﬂe
3	septinie
3	ßeptits
3	ßeßts
3	ßkan
3	ßodiba¥
3	ßodibas
3	ßodit
3	summenata
3	swaetais
3	ßwaeti
3	ßwaetit
3	ßwaetits
3	swetems
3	ta^ds
3	taggad
3	taggadin
3	tamaer
3	tamer
3	taps
3	te^ms
3	te^ﬂam
3	topu
3	treﬂas
3	tukßtoﬂkart
3	tuwaka
3	tycciba
3	tycciba¥
3	vdeni
3	vziemis
3	waelnam
3	waelni
3	waina
3	wardems
3	wen
3	wenam
3	wenas
3	wenkart
3	wyßßunotul
3	z&aeleßtiba
3	z&eleßtiba¥s
3	zinni
3	8
2	a¥bbi
2	a¥ccims
2	a¥lgu
2	a¥ßsins
2	a¥ßtots
2	a¥tbildes
2	abgada
2	abo^lu
2	aeließwaidiﬂana
2	aeliu
2	aena
2	allazin
2	appakﬂa
2	appakﬂan
2	attraddis
2	atzißt
2	baerns
2	baernu
2	baggatiba
2	baußlems
2	baußlu
2	baznicakungam
2	baznicakungems
2	baznicakungus
2	baznicas
2	bedas
2	breßmiga
2	breßmiga¥
2	byßtas
2	ca¥ur
2	ce^niam
2	celﬂana
2	celtes
2	cerraet
2	cerriba
2	cetturts
2	chrißto
2	cilwaecibas
2	cilwaekems
2	cilwaeki
2	cilweka¥
2	cilweki
2	cits
2	cittus
2	czettrems
2	da¥rra¥
2	dabbuiuﬂi
2	daegt
2	daelam
2	darbi
2	darbu
2	darra
2	darra¥
2	darri
2	darriußa
2	debbeßßis
2	denas
2	denißka¥
2	denus
2	deßmittus
2	dewiﬂka¥
2	dewiﬂkas
2	dewiﬂku
2	dewwe
2	dewwinie
2	dewwits
2	do^da
2	do^du
2	do^ma
2	draugi
2	draugus
2	dußmiba
2	dußßeﬂana¥
2	dywwi
2	dywwipadeßmittus
2	dziwa
2	dziwems
2	dziwoiußa
2	dziwot
2	e^s
2	eiemts
2	eka¥rot
2	eka^rot
2	ekﬂa¥n
2	enaidneku
2	enaidnekus
2	eßßem
2	eßsi
2	ga¥lwagreki
2	ga¥n
2	gabbolinu
2	gaddi
2	gaddu
2	galwagraeku
2	garra
2	go^ds
2	gods
2	graecneku
2	graekois
2	graekuwaidaﬂana
2	grecnekam
2	gribbam
2	gribbes
2	gruta¥
2	grutak
2	grutas
2	grutems
2	grutu
2	ia¥
2	iaemis
2	ik
2	ikwenu
2	ißßaccit
2	ißßakkamas
2	it
2	jeremias
2	jesum
2	jumprauw
2	jumprauwas
2	ka¥du
2	ka^pis
2	kada¥
2	kamaer
2	kardinaﬂanas
2	kariga
2	kattra¥
2	kaut
2	kliut
2	ko^ku
2	kreißa
2	krißtita
2	krißtita¥
2	krißtitas
2	kru^tems
2	krußta
2	krußtas
2	kungam
2	labba¥
2	labbe
2	laetak
2	lagadiba¥
2	lauliba
2	lauzis
2	layka
2	le^k
2	le^laka
2	le^laka¥
2	le^lu
2	le^tas
2	leciba
2	lela
2	leta¥
2	leta¥s
2	letems
2	liaudems
2	likdami
2	likt
2	lopems
2	lugﬂena
2	lydza
2	lydzeni
2	lydzu
2	maca
2	maggona
2	manna
2	manna¥
2	mannas
2	mannu
2	mariae
2	meßa
2	mileßirdiba¥s
2	mileßirdigi
2	milo
2	milo^t
2	mirronems
2	mißsi
2	mocenas
2	mu^ßam
2	mu^z&ibas
2	mußu
2	muz&ibas
