V‚rdformu skaits:	6348
V‚rdlietojumu skaits:	32203


1635	vnd
918	to
578	tas
560	ir
481	Vnd
440	no
436	es
422	ne
350	ßaccia
336	winﬂ
310	JESVS
297	tems
284	te
276	te^
273	ka
264	ekﬂan
264	vz
241	man
241	pe
237	a¥r
236	Bet
214	bya
211	iu^s
210	ka¥
205	tu
182	bet
181	iums
178	ta
176	par
168	ßaccia¥
167	kas
167	ßeuw
149	kad
146	To
145	eßmu
145	tad
141	tam
141	teuw
136	te^ms
135	to^s
131	Tad
123	S
122	ko
121	Swaetu
118	layku
117	TO
107	a¥ißto
107	katters
104	aprakßt
102	winia
98	wens
97	Es
97	winiam
95	kattri
95	winiu
93	by
90	ta¥
88	Ewangel
81	wenu
80	bu^s
80	paec
80	tur
74	ßauwu
71	Aißto
71	Kungs
69	ßauwems
68	nu
67	uz
66	ta¥s
60	ßakka
58	JESVM
54	gabbola
53	ia
53	lydz
52	prekﬂan
52	ßtarpa
51	eßßeti
51	wyßsi
50	Kad
50	ßakka¥
50	wena
50	zemme
49	ar
49	gab
49	wyßßu
48	bya¥
48	mums
47	kur
47	ßaccyis
47	ßauwa
46	tauwu
45	ieb
45	kattra
45	ta^s
45	we^ns
44	Ja
44	yz
42	Dewu
42	Ne
42	winia¥
41	maes
41	Taewu
40	Taews
39	a¥ridzan
39	wyrßu
38	Joannes
38	mannu
38	ﬂis
37	caur
36	Jerußalem
36	kattru
35	a¥tbildaeia
35	iau
35	mans
35	na^ca
35	ﬂo
34	daels
34	ka¥s
34	ley
34	zemmes
33	wini^u
32	a¥tkal
32	bu^t
32	Dewa
32	Tas
31	liaudis
31	ßauwas
31	we^nu
30	a¥ukﬂan
30	cilwaeku
30	ius
30	ka¥d
30	manna
30	ßaccidams
30	tay
29	gribbi
29	Rauge
28	cilwaeks
28	dzimdenaia
28	gaia
28	iaeme
28	maceklems
28	raedzaeia
28	rauge
28	wairak
27	JESV
27	liaudems
27	taps
27	winio
26	a¥tka¥l
26	Maria
26	ßauwus
26	tapaec
25	aridzan
25	bus
25	darra
25	dewwe
25	Ewangelium
25	macekli
25	Pilatus
25	taptu
25	wardu
24	byis
24	citti
24	nedz
24	neneku
24	Pattes
24	tauws
24	wael
23	a¥tbildaeia¥
23	e^t
23	pa¥r
23	Ta
23	Tu
22	aißto
22	kungs
22	na^ce
22	newens
22	paßßaules
22	Peters
22	pilli
22	pretty
22	tappis
22	war
21	daudzi
21	Ju^s
21	Lukas
21	Simon
21	tappa
21	tauwa
21	wyßßems
21	yzgaia
20	kurrens
20	nogaia
20	paﬂu
20	ro^kas
20	ﬂa
20	ßewa
20	ßutyis
20	walßtiba
19	ludzu
19	pec
19	wa^rdu
19	zinnam
18	a¥ccis
18	Chrißtus
18	daewaets
18	dels
18	Jo^di
18	kaias
18	ma¥ceklems
18	mannas
18	paßßaul
