V‚rdformu skaits:	4592
V‚rdlietojumu skaits:	17743


437	vnd
320	mums
245	to
236	ir
224	Vnd
213	no
181	par
170	es
163	teuw
157	tu
150	tas
137	ne
135	Dews
134	a¥r
127	ekﬂan
127	O
123	man
111	ar
103	Dewa
102	Ar
95	ka
93	maes
85	ekﬂ
79	bus
79	Ka
78	pe
77	o^
72	debbeßßu
72	Tas
69	tam
68	No
67	Alleluia
67	JESV
62	Par
60	but
60	ta
58	kas
58	tauwu
57	tauwa
57	tems
57	vz
56	Dewu
55	bes
55	Ekﬂan
54	krußtu
54	te
54	wyßßems
53	meßa
53	ßeuw
52	ßauwu
52	wyßßu
51	caur
49	To
48	Tu
47	Amen
47	Maria
46	muz&am
45	Ley
44	by
44	Caur
44	grib
43	Kas
42	debbes
42	wens
41	dwaeßel
41	Kad
41	mußu
40	Dewam
40	tur
39	Ta
38	Kungs
38	paec
37	daelu
37	war
36	ka¥
36	wyßsi
35	ko
35	lydz
34	Chrißtus
34	dod
34	Vz
33	ßlawa
32	graekems
32	winia
31	Ne
30	JESVM
30	JESVS
30	Jumprauw
30	kungs
29	Dod
29	gallu
29	ley
29	nawe
28	daels
28	nu
28	wena
28	wenu
28	z&aeleßtiba
28	z&aeligs
27	nawes
27	Pe
27	wyßßa
26	Chrißtum
26	Dewa¥
26	godu
26	ßauwa
24	Chrißte
24	Helles
23	Chrißti
23	cilwaeks
23	koku
23	moku
23	ßpaeku
23	Swaetu
22	Bet
22	lab
22	ßirdi
22	Te
21	Garru
21	graeku
21	miliba
21	mußa
21	paßßaul
20	Gods
20	graekus
20	Nu
20	pedzimmis
20	peßtitais
20	Swaets
20	tad
20	Teuw
19	cetis
19	manna
19	ßak
19	ßirdis
19	ta¥
19	Taewam
19	walßtiba
18	nedz
18	pratu
18	prekﬂan
18	Ta¥
18	Tad
18	winﬂ
17	baernings
17	dziwot
17	Es
17	klat
17	lelu
17	Lydz
17	Paec
17	tauwems
17	tik
17	warren
17	wyrßu
17	wyßßas
16	ceﬂan
16	iums
16	Ko
16	liot
16	muz&iga
16	paßßaules
16	ßkißta
16	ßwaeta
16	ßwaetigs
16	tay
16	Tur
16	waelnu
15	aukﬂan
15	debbeßßo
15	gan
15	graeki
15	Ka¥
15	Maes
15	ßird
15	ﬂo
15	Taewu
15	Winia
15	wyßßus
14	Daelam
14	Engelems
14	grutu
14	Jr
14	kad
14	Katters
14	Kattra
14	kliu
14	lela
14	letas
14	Nedz
14	pattes
14	preciba
14	ßirds
14	Tam
14	tauwa¥
14	wen
14	winiam
14	yz
13	All
13	bya
13	caeles
13	Eia
13	Engels
13	helles
13	meru
13	milais
13	Mums
13	paßßauls
13	ßapa
13	Swaeta
13	Swaetam
13	Taews
13	Tauwa
13	Tems
13	tos
13	wardu
13	waygu
13	Wena
13	zemmes
12	Bethlehem
12	Ekﬂ
12	Engeli
12	Engelu
12	Garram
12	grut
12	iau
12	Ja
12	JEßu
12	layku
12	raedzaet
12	ﬂa
12	Sauwu
12	ﬂoden
12	ta¥da
12	tauws
12	top
12	wenas
12	Wens
11	baedems
11	baerns
11	dar
11	Do^d
11	dziwoﬂan
11	eßmu
11	Gars
11	Jeßu
11	Jumprauwa
11	Kaenings
11	kattri
11	Kur
11	labbu
11	mannu
11	mans
11	Paßßaules
11	pedzimts
11	Prekﬂan
11	preku
11	ßaccia
11	ﬂas
11	tapt
11	tauwas
11	to^s
11	Triadiba
11	Tycciba
11	yt
11	z&aeleßtiba¥
11	zemme
10	a¥ukﬂan
10	baernems
10	do^d
10	go^du
10	Jumprauws
10	kungu
10	laycig
10	precaias
10	prekﬂ
10	ﬂae
10	ßtunda
10	ßtunda¥
10	ßtundu
10	Swaetems
10	ta¥s
10	Taewa
10	Tapaec
10	tikkuﬂ
9	a¥ßsini
9	aßsin
9	Bes
9	Chrißt
9	Chrißto
9	darga
9	dwaeßelles
9	dzeda
9	dzedat
9	gauz&
9	gulli
9	kraeßlu
9	lela¥
9	ludzam
9	ma¥ta
9	mate
9	mes
9	miliba¥
9	mokas
9	muz&igu
9	nakti
9	precates
9	pretty
9	ßaccia¥
9	ßauc
9	ßauwems
9	ßlawa¥
9	ßwaetu
9	tap
9	Tauws
9	wael
9	walßt
9	wena¥
9	Wyßßa
8	a¥tkal
8	aßsins
8	Aißto
8	bu^s
8	But
8	darryis
8	draudz
8	dußmiba
8	dziwoﬂana
8	gods
8	ius
8	JEßus
8	kla¥t
8	klaepi
8	kur
8	lelas
8	liaudems
8	maele
8	Man
8	Manna
8	mannas
8	mannems
8	Maria¥
8	mata
8	milie
8	mußas
8	muz&iga¥
8	muz&ige
8	nabbagems
8	nabbags
8	newar
8	pats
8	patteiciba
8	Peßtitais
8	Raug
8	ßapas
8	ßauwa¥
8	teuwim
8	Trys
8	Wyßsi
7	a¥ccis
7	a¥ßsin
7	allaz&in
7	aßsini
7	Abz&aelo
7	baedas
7	barriba
7	ceﬂana
7	CHrißtus
7	Daels
7	darra
7	darrit
7	debbeßßa
7	dena
7	dzedam
7	enaidneku
7	et
7	Grib
7	grutas
7	Helle
7	ieb
7	ilgi
7	Kaeningi
7	koks
7	krißtiti
7	laid
7	Laymigs
7	liaunu
7	ludz
7	ma¥te
7	Mans
7	MARJA
7	me^ßa
7	meßu
7	miligs
7	milo
7	mo^kas
7	mokems
7	Mußu
7	mußus
7	nabbaga
7	neßt
7	Prekﬂ
7	Radditais
7	Sauwa
7	ßtawaet
7	talie
7	taps
7	teﬂam
7	twikßt
7	vgguni
7	warres
7	Wenu
7	winia¥
7	Winﬂ
7	wyru
6	a&r
6	abz&aeloias
6	baerninie
6	brinoias
6	cilwaeka
6	cilwaeku
6	darga¥
6	dargems
6	dargu
6	debbeßsi
6	dweßel
6	dziwoﬂana¥
6	Ekam
6	graecnekems
6	Jerußalem
6	JEßum
6	Jt
6	Jumprauwas
6	ka¥da
6	kada
6	Kam
6	kattras
6	kaun
6	krußt
6	krußta
6	labbi
6	layks
6	liaun
6	ma¥tes
6	Mariae
6	meßas
6	mileßirdigs
6	milibas
6	mirt
6	mu^ßu
6	muz&iba
6	muz&igam
6	muz&igs
6	neneku
6	newaid
6	Newens
6	nikna
6	nomirt
6	paﬂu
6	pedzims
6	peßti
6	preciba¥
6	radditais
6	ßakkam
6	Sarga
6	Saul
6	ßauwus
6	ßillita
6	ßkaißta
6	ßodiba¥
6	ßwaeta¥
6	ßwaetems
6	tamaer
6	tappis
6	tauwus
6	Tik
6	Tos
6	vggun
6	vzcaeles
6	wairak
6	wairs
6	waldi
6	wards
6	warraetu
6	Wena¥
6	wenigam
6	WEns
6	winiu
6	wyrok
6	Wyßßu
