V‚rdformu skaits:	4200
V‚rdlietojumu skaits:	17743


437	vnd
335	mums
294	to
282	no
250	ir
244	par
225	und
223	tas
213	ar
205	tu
187	es
185	ekﬂan
184	teuw
174	ka
168	ne
136	dews
134	a¥r
131	man
127	o
108	maes
107	pe
103	dewa
102	ta
101	kas
98	ekﬂ
97	caur
83	bus
83	tam
77	o^
77	te
74	debbeßßu
74	ley
70	kungs
70	tauwa
70	tems
68	but
67	alleluia
67	jesv
64	bes
64	dod
62	tauwu
60	wens
58	wyßßems
58	wyßßu
57	tur
57	vz
56	dewu
56	kad
55	paec
54	krußtu
53	meßa
53	ßeuw
52	grib
52	lydz
52	ßauwu
51	ka¥
51	ko
49	muz&am
48	maria
48	mußu
48	nu
47	amen
47	winia
46	by
45	wyßsi
44	debbes
42	dwaeßel
41	chrißtus
41	dewam
41	wena
40	daelu
38	tad
37	helles
37	ta¥
37	war
36	wenu
36	wyßßa
35	daels
34	uz
33	ßlawa
32	graekems
32	nedz
31	jesus
30	jesum
30	jumprauw
30	nawe
29	gallu
29	gods
29	prekﬂan
28	manna
28	peßtitais
28	z&aeleßtiba
28	z&aeligs
27	godu
27	nawes
27	paßßaules
26	chrißtum
26	dewa¥
26	ßauwa
25	chrißte
25	cilwaeks
25	mußa
25	paßßaul
25	winﬂ
24	bet
24	miliba
23	chrißti
23	jeßu
23	koku
23	moku
23	ßpaeku
23	swaetu
23	tik
22	lab
22	ßirdi
21	do^d
21	garru
21	graeku
21	tauws
21	wyrßu
20	graekus
20	pedzimmis
20	swaets
20	tay
19	cetis
19	kur
19	liot
19	ßak
19	ßirdis
19	taewam
19	tos
19	walßtiba
19	warren
19	wyßßas
18	katters
18	mans
18	pratu
17	baernings
17	dziwot
17	kattra
17	klat
17	kliu
17	lelu
17	muz&iga
17	prekﬂ
17	tauwems
17	wyßßus
16	ceﬂan
16	daelam
16	dar
16	gan
16	iums
16	pattes
16	ßkißta
16	ßwaeta
16	ßwaetigs
16	taews
16	taewu
16	tauwa¥
16	waelnu
15	aukﬂan
15	debbeßßo
15	eia
15	graeki
15	grut
15	kattri
15	ßird
15	ﬂo
15	tycciba
15	wen
15	wena¥
15	winiam
14	bya
14	engelems
14	grutu
14	kungu
14	lela
14	letas
14	meru
14	paßßauls
14	preciba
14	pretty
14	ßirds
14	ta¥da
14	to^s
14	yz
14	zemme
13	all
13	caeles
13	engels
13	gars
13	milais
13	precates
13	radditais
13	ßapa
13	swaeta
13	swaetam
13	tap
13	tauwas
13	wardu
13	waygu
13	zemmes
12	aßsins
12	bethlehem
12	engeli
12	engelu
12	eßmu
12	garram
12	iau
12	ja
12	jeßus
12	kaenings
12	layku
12	ludz
12	mannu
12	raedzaet
12	ﬂa
12	sauwu
12	ﬂoden
12	top
12	trys
12	wenas
11	baedems
11	baerns
11	dwaeßelles
11	dzedat
11	dziwoﬂan
11	go^du
11	jumprauwa
11	kam
11	labbu
11	laymigs
11	muz&ige
11	neneku
11	pedzimts
11	preku
11	raug
11	ßaccia
11	ﬂas
11	ta¥s
11	taewa
11	tapaec
11	tapt
11	tauwus
11	tikkuﬂ
11	triadiba
11	wael
11	yt
11	z&aeleßtiba¥
10	a¥ukﬂan
10	baernems
10	darga
10	jumprauws
10	laycig
10	lela¥
10	ludzam
10	ma¥ta
10	newens
10	pilna
10	precaias
10	ﬂae
10	ßtunda
10	ßtunda¥
10	ßtundu
10	swaetems
10	winia¥
9	a¥ßsini
9	abz&aelo
9	aßsin
9	chrißt
9	chrißto
9	dzeda
9	dziwo
9	gauz&
9	gulli
9	helle
9	jeßum
9	kattras
9	kraeßlu
9	laid
9	liaudems
9	mannas
9	mata
9	mate
9	mes
9	miliba¥
9	milo
9	mokas
9	mußas
9	muz&igu
9	nakti
9	newaid
9	newar
9	pa¥r
9	ßaccia¥
9	ßauc
9	ßauwems
9	ßlawa¥
9	ßwaetu
9	walßt
8	a¥tkal
8	aißto
8	allaz&in
8	baedas
8	bu^s
8	darryis
8	draudz
8	dußmiba
8	dzedam
8	dziwoﬂana
8	ekam
8	ißtens
8	ius
8	ka¥da
8	kattrus
8	kla¥t
8	klaepi
8	lelas
8	maele
8	mannems
8	maria¥
8	milie
8	muz&iga¥
8	nabbagems
8	nabbags
8	nenek
8	pallidz
8	pats
8	patteiciba
8	pirmak
8	ßapas
8	ßauwa¥
8	tamaer
8	tauwi
8	teuwim
7	a¥ccis
7	a¥ßsin
7	abz&aeloias
7	aßsini
7	barriba
7	ceﬂana
7	cilwaeku
7	darra
7	darrit
7	debbeßßa
7	debbeßsi
7	dena
7	enaidneku
7	et
7	gribbi
7	grutas
7	ieb
7	ilgi
7	it
7	kaeninga
7	kaeningi
7	kaeningu
7	kattru
7	koks
7	krißtiti
7	liaunu
7	ma¥te
7	marja
7	me^ßa
7	meßu
7	miligs
7	mo^kas
7	mokems
7	mußus
7	nabbaga
7	neßt
7	nikna
7	peßti
7	raudat
7	sauwa
7	ßtawaet
7	sumnata
7	sumnats
7	talie
7	taps
7	teﬂam
7	twikßt
7	vgguni
7	wairak
7	warres
7	wyru
6	a&r
6	atkal
6	baerninie
6	brinoias
6	cilwaeka
6	darga¥
6	dargems
6	dargu
6	doma
6	dweßel
6	dziwoﬂana¥
6	eprecatais
6	go^ds
6	graecnekems
6	jerußalem
6	jumprauwas
6	kada
6	kaun
6	krußt
6	krußta
6	labbi
6	layks
6	liaun
6	ma¥tes
6	maenes
6	manna¥
6	mariae
6	meßas
6	mileßirdigs
6	milibas
6	mirt
6	mu^ßu
6	mus
6	mußi
6	muz&iba
6	muz&igam
6	muz&igs
6	nomirt
6	noßt
6	paﬂu
6	pedzims
6	pilnu
6	preciba¥
6	rokas
6	ßakkam
6	sarga
6	saul
6	ßauwus
6	ßillita
6	ßkaißta
6	ßodiba¥
6	ßwaeta¥
6	ßwaetems
6	tappis
6	te^
6	turru
6	tyc
6	vggun
6	vzcaeles
6	wairs
6	waldi
6	wards
6	warraetu
6	wenigam
6	winiu
6	wyddu
6	wyrok
6	z&aelo
6	zaelt
5	a¥ridzan
5	a¥tes
5	ach
5	aetik
5	aukßtu
5	baerningus
5	baggats
5	barriba¥
5	bu^tam
5	celliems
5	cetumu
5	cits
5	darbems
5	dargs
5	daudzi
5	dewißka
5	dewwe
5	do^t
5	dodam
5	dot
5	draudziba
5	droﬂ
5	dryz
5	dzen
5	dziwos
5	gabriels
5	gaddus
5	gayßums
5	godenata
5	graecnekus
5	grez
5	gruta
5	gult
5	ia
5	iaeme
5	iaunu
5	jus
5	kada¥
5	kaiams
5	kamaer
5	kattra¥
5	kaunu
5	kliut
5	leta
5	lik
5	ma^ta
5	milotais
