V‚rdformu skaits:	16861
V‚rdlietojumu skaits:	30836


3842	es
213	ar
209	d
209	no
200	nae
183	ko
88	par
84	man
82	kas
78	to
70	darru
61	uz
59	bes
56	top
54	dar
52	ekﬂ
40	kam
39	to^p
39	zemme
38	bez
38	us
37	ßew
36	ir
36	pus
36	tas
36	tur
36	zemmes
33	pretty
33	ta
32	ne
31	prekﬂ
30	zyme
29	ka
29	koks
29	ßeuw
26	apkart
26	layks
26	zem
25	kur
24	akmins
24	appakﬂ
24	domu
23	lydz
22	noßt
22	pae
22	weta
21	grammata
21	pe
21	zale
20	caur
20	darry
20	eßme
20	nauda
20	paec
19	daudz
19	gan
19	turru
19	und
18	cylwaeks
18	darritais
18	do^mu
18	draebe
18	emu
18	kart
18	lab
18	vz
18	wen
18	wens
18	zyrgs
17	a¥r
17	kopa
16	le^ta
16	pec
15	atkal
15	dena
15	labs
15	leku
15	nams
15	runna
15	war
15	wyrs
15	wyßßu
14	darbs
14	koku
14	pratu
14	tris
14	uden
14	udens
14	waec
14	wets
14	wyrßu
13	e^mu
13	eßmu
13	laela
13	layku
13	lek
13	naud
13	oter
13	otru
13	pats
13	pretti
13	pulks
13	tapt
13	turp
13	warru
12	deßmit
12	e^t
12	kopan
12	matti
12	putnis
12	ßittu
12	vs
12	wael
12	wyrßneks
12	zyrgu
11	appakﬂan
11	daewa
11	eﬂana
11	galwa
11	gudrs
11	jauns
11	kungu
11	labbu
11	lio^t
11	nozegums
11	paprekﬂ
11	pylnu
11	ﬂurp
11	to^pu
11	topu
11	waeﬂ
11	wardu
11	yt
10	ade
10	appalﬂ
10	de^na
10	graeks
10	is
10	kad
10	kada
10	kungs
10	kunßt
10	maz
10	mettu
10	rupﬂ
10	styprs
10	tauks
10	tos
10	tykkuﬂ
10	waels
10	wena
10	zyde
9	accims
9	augla
9	balts
9	baznic
9	celiu
9	celﬂ
9	cittur
9	dabbu
9	darrit
9	diwe
9	dom
9	draebes
9	dryz
9	dzelze
9	gaddigs
9	gals
9	graeku
9	gramata
9	gruts
9	ilg
9	jau
9	jem
9	kraßne
9	kraßns
9	labba
9	laeta
9	le^ls
9	lyks
9	miligs
9	poßty
9	prekﬂan
9	puißis
9	puﬂan
9	ßaerga
9	ßauwu
9	ßewa
9	te^s
9	te^ßa
9	vnd
9	wallo^da
9	yr
9	zynnams
8	bal
8	cetuma
8	cittu
8	cylweks
8	daels
8	daudzena
8	droﬂ
8	es¥
8	godigs
8	kaeninga
8	kario
8	ko^ks
8	l
8	laens
8	laet
8	le^ku
8	ley
8	luko
8	maenes
8	mykßts
8	otr
8	padeßmit
8	pattes
8	pilnu
8	pratigs
8	prats
8	ßaule
8	ßlawa
8	taews
8	tauts
8	traks
8	turretais
8	ugguns
8	walloda
8	warde
8	wetu
8	wyru
8	wyßße
8	zelte
7	cuka
7	darrits
7	daru
7	darzis
7	draugs
7	gabbols
7	gada
7	gallu
7	glabbo
7	gods
7	grammat
7	ka¥m
7	kajas
7	kambers
7	kauls
7	ko^pa
7	krußtu
7	kunga
7	laulybas
7	laywas
7	le^la
7	leta
7	lydze
7	malla
7	mate
7	mettas
7	nags
7	no^ßt
7	peder
7	pirma
7	rittins
7	roku
7	ßakku
7	ßape
7	ßaul
7	ßpaelae
7	ßtawe
7	teﬂam
7	turret
7	tyk
7	waiag
7	warwa
7	wayroma
7	wißße
7	wißta
7	wyze
7	zalﬂ
7	zeme
7	zemneka
7	zyrgus
6	a
6	acce
6	akies
6	als
6	apnikﬂana
6	aßßins
6	aßton
6	augligs
6	augums
6	aukßt
6	baerns
6	balxna
6	bargs
6	barryba
6	bittes
6	braucu
6	caetr
6	cellie
6	cilwaeks
6	darbu
6	dod
6	draudza
6	dziwe
6	ekﬂan
6	galwe
6	gribbu
6	guddre
6	gulta
6	iem
6	jauks
6	jaunu
6	kade
6	kalps
6	kareßtyba
6	kauns
6	klat
6	kocins
6	kok
6	kruma
6	kutrs
6	lade
6	laulats
6	laywa
6	lela
6	lo^cy
6	ludzu
6	ma¥n
6	maciba
6	maeddus
6	maeru
6	maita
6	mutta
6	muttus
6	naeßkißts
6	nicina
6	nu
6	otram
6	pa
6	pa¥r
6	parßtawe
6	pautes
6	pawaru
6	pe^re
6	pi
6	praekﬂan
6	praetty
6	pylns
6	rakßtita
6	rauda
6	raug
6	reize
6	ﬂae
6	ßaeta
6	sarkans
6	ßawu
6	ßimt
6	ßmalk
6	ßtabs
6	ßtaiga
6	ßulla
6	ßwarki
6	tayßy
6	tyrums
6	uppes
6	vdens
6	walßtyba
6	warda
6	warwe
6	wayrak
6	wyle
6	wyltneks
6	wyns
6	zemneks
6	zyn
6	zywu
5	abdomaﬂana
5	abdomigs
5	accems
5	ammads
5	apmello
5	aran
5	atmakßa
5	auglu
5	aukﬂan
5	auts
5	baeda
5	baggats
5	baltu
5	bezuma
5	bilder
5	bode
5	brukie
5	bu^t
5	cene
5	dallia
5	darri
5	dawans
5	dazze
5	den
5	derras
5	doma
5	doﬂana
5	draudziba
5	drebe
5	dumpi
5	dzen
5	dzeßma
5	dziwo
5	dziwoﬂen
5	erocis
5	eßaku
5	gaddu
5	gailis
5	galla
5	gans
5	gattauw
5	godig
5	godu
5	grutiba
5	gruzu
5	jauna
5	jeb
5	jura
5	kaie
5	kalpoﬂana
5	kalwis
5	karigs
5	kariu
5	karßt
5	karßtums
5	kaßßa
5	kauwias
5	knakﬂana
5	krums
5	laels
5	laenigs
5	laißks
5	laupa
5	lauzu
5	le^k
5	leela
5	leian
5	linni
5	liot
5	lo^de
5	lo^ps
5	lykt
5	lykums
5	maelns
5	maenaes
5	malka
5	malle
5	mattus
5	meßt
5	mette
5	mykßt
5	nakti
5	naude
5	nocyrtu
5	nowelku
5	o
5	oliwe
5	paddomu
5	paeder
5	paedigaks
5	paerkuns
5	paßtars
5	paßtawigs
5	pelek
5	pewilﬂana
5	pra^ts
5	raedzigs
5	raedzu
5	rams
5	rattins
5	rauwu
5	reiz
5	rokems
5	runnas
5	saermulis
