V‚rdformu skaits:	6130
V‚rdlietojumu skaits:	32437


1105	tho
1091	vnde
732	gir
507	to
487	tas
487	Vnde
475	thas
470	exkan
426	Beth
407	nhe
373	the
334	py
328	ﬂatcy
299	es
297	Ka
277	ka
275	no
273	by
272	yums
263	vnd
259	yuus
253	ar
237	vs
223	wene
212	tha
189	man
187	Aißto
179	wens
172	tur
171	Dewe
169	nho
166	ﬂˆw
165	ta
156	w¸ßße
152	arridtczan
147	kad
145	vﬂ
144	tu
144	winge
141	thˆw
135	JEßus
134	peetcz
133	te
132	p‰r
129	tims
123	tham
122	thems
121	mhes
118	buus
117	kattre
114	ﬂouwe
112	Kattre
111	Tad
110	mums
109	Katters
97	Es
96	eßme
94	czour
92	Kad
92	tems
88	th‰s
88	Vnd
86	tad
85	nu
84	kas
83	ßtarpan
80	kha
78	Kunx
75	tappe
74	thˆs
72	Kunge
72	Tas
69	Thad
66	aran
65	tam
61	w‰rde
60	Nhe
59	Garre
59	ßcho
59	Thas
55	atkal
55	JEßu
55	manne
53	grib
53	thope
51	Dews
50	katters
49	eßßem
49	touwe
49	wena
48	prexkan
46	eßßet
46	Kas
46	ﬂack
46	thims
46	thur
46	tˆs
46	whel
45	auxkam
44	eßßeth
44	JEßum
44	Kha
44	Tapeetcz
43	Tha
42	labbe
42	par
41	doudtcze
41	Exkan
40	w¸rﬂon
40	yeb
39	beth
39	gaya
39	gaye
39	ko
39	Ta
38	pattim
37	Brale
37	Kattra
37	ﬂatcys
37	thad
37	Thews
36	yuuße
35	Czilwheke
35	Meﬂe
34	BEth
34	Dhels
34	Jerußalem
34	patte
33	adbildey
33	nake
33	thos
32	Jude
32	n‰tce
32	t‰s
32	war
31	Debbes
31	Thewe
30	czitte
30	laike
30	prettibe
30	Semme
29	Chrißtus
29	eßße
29	Ja
29	loune
29	ßweete
29	tapte
28	dar
28	dene
28	Dhele
28	Ko
28	ﬂacke
28	The
28	ys
27	n‰tcze
27	neeneke
27	tapt
27	VNde
27	yeme
26	Debbeßße
26	exan
26	ﬂouwes
26	taps
25	adbildeye
25	Chrißti
25	mans
25	muﬂe
25	Paßßoule
25	Pilatus
24	Czilwhex
24	lydtcz
24	myleßtibe
24	Namme
24	Rouge
23	Bouﬂle
23	muﬂige
23	redtczeye
22	aißto
22	bye
22	Dewam
22	loudems
22	loudes
22	tay
22	W‰rde
21	appeßkan
21	Czour
21	loudis
21	Mathe
21	Nawe
21	nee
21	redtczey
21	Roke
21	teßcham
21	walßtibe
21	w¸ßßems
20	buuth
20	eßßme
20	Gars
20	Kˆninx
20	licke
20	nedtcz
20	Peetcz
20	wen
19	Auxtebaßnitczekunge
19	duewe
19	khad
19	Maetcekle
19	neewens
19	preßchan
19	rouge
19	Tho
18	Abraham
18	Bherne
18	buewis
18	Chrißto
18	Chrißtum
18	edth
18	kalpe
18	neewene
18	Rougeth
18	Schis
18	Semmen
18	tomher
18	Vdenne
18	wairack
18	w¸ßßims
17	Galilea
17	Kungam
17	lethe
17	Maria
17	myle
17	patteße
17	ßtunde
16	apk‰rth
16	darrys
16	dode
16	Jeb
16	Jßrael
16	kattra
16	lidtcz
16	Petrus
16	tope
16	wenam
15	attradde
15	buute
15	czirde
15	darbe
15	darris
15	darryth
15	Juus
15	klathe
15	Kur
15	lele
15	ne
15	patcz
15	ﬂatcye
15	ßcheit
15	ﬂitte
15	ﬂouwims
15	ßthawe
15	titcz
15	tuwe
15	wete
15	yckwens
14	Engele
14	eßtu
14	k‰rth
14	kopan
14	kritte
14	krußtan
14	ledtczibe
14	ludtcze
14	Pille
14	ﬂeeleßtibe
14	ﬂin
14	taißnibe
14	Te
14	Thˆw
14	yem
13	Beerne
13	czirdeye
13	darrith
13	dˆuwis
13	kaßlabban
13	Kˆninge
13	laideth
13	noticke
13	notitczis
13	P‰r
13	Patteße
13	Prophetes
13	redtczeißche
13	ßchis
13	ßthawey
13	warreth
13	wayrs
13	wedde
13	winga
13	Wyre
12	Bherns
12	Bouﬂlis
12	czelle
12	darrye
12	dˆuwe
12	Khad
12	labs
12	lothe
12	Mhere
12	mylige
12	Nazareth
12	Paßßoules
12	Py
12	Semmes
12	ﬂwabbade
12	Sweete
12	treﬂey
12	wynge
11	czirdeißche
11	cziwo
11	Dene
11	Godibe
11	Johannes
11	Ledtczibe
11	manna
11	mannes
11	n‰tcys
11	No
11	notickt
11	otre
11	Otre
11	paßßoule
11	patz
11	ßchims
11	Simon
11	ﬂinnamme
11	tapeetcz
11	thopet
11	Wens
11	winges
11	w¸ßßes
10	Ar
10	Aßßenne
10	Auwes
10	bes
10	Czelle
10	dhewe
10	doth
10	Engels
10	ey
10	greekes
10	Kalpe
10	kappe
10	Mhes
10	Mutte
10	myleis
10	n‰tczys
10	neeka
10	paprexke
10	redtczeth
10	ßch‰s
10	Syme
10	Szodibe
10	tekams
10	Tu
10	Vnnde
10	wayrack
10	Whelns
9	auxam
9	Ackmenne
9	Balxne
9	bryde
9	darrißche
9	denan
9	denes
9	ehde
9	ehmo
9	Gans
9	gribbey
9	Kalps
9	kho
9	kur
9	leledene
9	Loudes
9	Maetceklims
9	Mans
9	maßße
9	Mayße
9	n‰ckt
9	Nu
9	paßßche
9	p¸lne
9	raxtytz
9	redtcz
9	ßweetcz
9	Taißnibe
9	Tham
9	Thewam
9	Thur
9	touwes
9	tudelin
9	Tuxnißße
9	vn~
9	Walßtibe
9	W‰rdtcz
9	wayage
9	w¸ddon
9	yuußes
8	Baßnice
8	czeeles
8	czirdey
8	cziwoßchenne
8	cziwoyam
8	gay
8	godibe
8	Greeke
8	Herodes
8	Jßgaye
8	kalne
8	kalpoßchenne
8	kl‰th
8	layx
8	lethes
8	lickte
8	luudtcze
8	mylibe
8	naetce
8	n‰tczis
8	O
8	paer
8	parradan
8	peczimmis
8	peczimptz
8	peedige
8	pep¸ldytcz
8	prathe
8	roke
8	ﬂatcyth
8	ßcha
8	Sewe
8	ﬂinnam
8	ﬂinneth
8	ﬂouwems
8	Speeke
8	ßtaigaye
8	Stunde
8	than
8	thay
8	Titczibe
8	touwa
8	warre
8	wiltige
8	W¸ßße
8	Wyne
8	Wyrs
8	yo
8	youne
7	allaßin
7	AJßto
7	Baßnitcze
7	buut
7	czerre
7	Czittam
7	czittes
7	darreth
7	Dauid
7	dawane
7	denims
7	dewe
7	doeuwe
7	dothe
7	Durwe
7	Engelims
7	gaißme
7	Gir
7	Gode
7	Großßche
7	Jckwens
7	Jure
7	KAd
7	klußße
7	Krußtan
7	krußte
7	labbes
7	leke
7	Loudems
7	Maetceklis
7	Meißter
7	mhere
7	muﬂam
7	mußße
7	nakußßche
7	Nho
7	nogaye
7	noßth
7	noteke
7	notickas
7	pagane
7	palleck
7	papreßche
7	paﬂißte
7	pe
7	Petrum
7	pirmake
7	precibe
7	p¸lns
7	Raxte
7	raxtitcz
7	redtczeeßeth
7	Rokas
7	ßche
7	ßtawey
7	ßtaweye
7	ßzatcy
7	Szirde
7	Tam
7	tan
7	Tekams
7	treﬂ
7	treﬂeye
7	treﬂeys
7	Tur
7	vggunne
7	Vs
7	Wallode
7	wayge
7	wingu
7	w¸ßßa
7	yuußims
6	apkaarth
6	attrode
6	augles
6	Arridtczan
6	Atcze
6	Atczes
6	Bethlehem
6	buiwis
6	czerribe
6	cziwibe
6	darre
6	Dawane
6	dreebes
6	e
6	Eßtu
6	eth
6	Exan
6	gadde
6	Gaißme
6	Goodtcz
6	gribbeye
6	Joßeph
6	Js
6	Judde
6	kalps
6	Kattram
6	kayas
6	khas
6	Kho
6	kurrenes
6	lab
6	lela
6	loudims
6	lydtcze
6	Lydtczibe
6	lyxmibe
6	maﬂe
6	Meﬂa
6	MYlige
6	Nawes
6	neewena
6	neewenam
6	neßße
6	pa
6	patteitcze
6	pattims
6	peﬂatcißchenne
6	Pharißeer
6	Prophetcz
6	Prophete
6	p¸lnige
6	Radde
6	raxte
6	redtczeeth
6	Sale
6	ﬂatczy
6	ﬂinnath
6	ﬂoutce
6	ßtaiga
6	ßweetes
6	ßzˆw
6	tappis
6	THa
6	tickußßche
6	titczeth
6	treßßchan
6	wallode
6	wenas
6	weno
6	Winge
6	w¸ßßade
6	w¸ßßas
6	ya
6	youtaye
6	yow
5	allaﬂin
5	attrome
5	ayßledtcze
5	Barribe
5	bheda
5	bhedims
5	breedtcze
5	broudtcze
5	Brunye
5	buuthe
5	czelees
5	Czerribe
5	czetczen
5	Czilwhekims
5	czitta
5	cziwoye
5	darbims
5	darrita
5	daßßchade
5	dena
5	deßmette
5	dhewey
5	dota
5	doudcze
5	ehßßme
5	exka~
5	Galileam
5	Galwe
5	Galwenex
5	ganne
5	greßhes
5	gulley
5	Joutaye
