Vârdformu skaits:	4335
Vârdlietojumu skaits:	16710


813	un
389	kad
280	ir
248	uz
232	nu
195	Un
181	§acyja
174	na
173	jo
165	JEZUS
147	und
143	ar
143	byja
132	Und
120	jums
116	es
114	ik§zan
109	tu
103	winiu
101	winim
95	kotrys
94	kas
92	Ewang
92	tis
90	S
88	Bet
88	gobol`a^
88	l`ayku
86	byus
84	bet
82	TU
75	kay
72	ne
70	Diwa
69	winiam
65	ay§to
65	por
64	tod
62	e§§i
62	tiew
60	win§z
59	kotry
58	a§mu
56	Kungs
56	pi
55	ik§z
55	mani
53	ju
47	ku
47	winia
46	liidz
45	pa§acyja
44	ap
43	wy§§u
41	mums
41	wins
40	pidzymdynowa
38	jam
38	§ze
37	Diws
37	maò
37	tay
35	byutu
35	JEZU
34	ti
34	wini
33	ni
33	§acyidams
33	tim
33	Tod
32	Ay§to
32	kotra
32	manis
32	§oku
32	§owim
31	Matteu§za
30	kotru
30	§owu
30	tu`
29	caur
29	Kunga
29	L`uka§za
29	§torp
29	tur
28	daudz
28	munu
27	atgoja
27	tiewi
26	ju`s
26	jus
26	to
26	worda
25	Jonia
25	ju`§§u
25	muna
25	myu§u
25	Ta`ws
24	e§§it
24	lauþu
24	towa
24	wiers
24	êemes
23	del
23	Diwu
23	in
23	Sacyja
23	tiey
23	Tis
23	way
22	Cyl`waks
22	Daba§§u
22	Jo
22	pa
22	pec
21	goja
21	muns
21	Ta`wu
20	Es
20	Mocieklim
20	Ta`wa
20	win
19	it
19	jau
19	lauds
19	wayrok
19	winius
18	Jeruzalem
18	Kungu
18	Pa§aula
18	winu
18	words
17	atbildadams
17	Cyl`waka
17	Da`l`s
17	kojas
17	l`ay
17	pati§z
17	tos
17	wordu
16	diwi
16	ey
16	ik
16	Kas
16	laudim
16	mi§as
16	munas
16	nu`
16	po§zu
16	§iewis
16	towu
16	wy§§a
16	wy§§as
15	Dal`s
15	dinas
15	mes
15	nugoja
15	runowa
15	§iewi
15	§tojos
15	Tiew
15	topa
15	wy§§
14	cyti
14	ka
14	kl`ot
14	ko
14	kotras
14	kur
14	manim
14	otkon
14	pret
14	tagad
14	to`wu
14	wy§§i
13	aba
13	arydzan
13	byut
13	Debe§§is
13	mu`na
13	§acyidami
13	§irdies
13	§owas
13	utra^
13	wajag
12	ãelis
12	Da`ba§§u
12	de^we
12	grybieja
12	igoja
12	ju`
12	Kad
12	liidzibu
12	Mociekli
12	Motie
12	po§za
12	pots
12	pyrmok
12	tam
12	towas
12	wy§§im
11	atgois
11	Da`l`u
11	Engiels
11	MARYA
11	na`wa
11	pakal
11	Sze
11	tad
11	tiewim
11	tik
11	tyuleò
11	wal§tibas
10	aãú
10	diwidasmyta^
10	Galileas
10	grakim
10	kotram
10	kotri
10	lel`u
10	Pa§auli
10	Pa§auls
10	Pati§z
10	Piters
10	§acyis
10	§iewim
10	§oka
10	§owa
10	Swa`tu
10	top
10	topec
10	tyc
10	waycowa
10	wina
10	wy§§us
9	atit
9	aycynowa
9	Amen
9	breynowos
9	ãela
9	dina
9	Diwam
9	Gora
9	imu
9	Judu
9	Kungam
9	l`ab
9	litas
9	mi§tu
9	munus
9	myuþam
9	Profetu
9	redêeja
9	§iedieja
9	so`wu
9	§tundie
9	Swa`ta
9	Swati
9	§zo
9	to`wa
9	to`was
9	Tuma§z
9	wal§tiba
9	winiay
9	wordus
8	Atbildieja
8	cytus
8	Da`l`a
8	dareyt
8	Dowida
8	Izraela
8	koley
8	kurs
8	kurynies
8	l`ayka
8	l`obu
8	Moãieklim
8	mozu
8	pyrmaja^
8	redêe§it
8	ru`kas
8	§iwits
8	§owus
8	Tad
8	tom
8	Tu
8	tuk§zne§i
8	Way
8	wel
8	winias
8	wu§zkas
8	êemi
7	akminia
7	atbildieja
7	atroda
7	ayz
7	breydi
7	ãeli
7	Chry§ta
7	Chry§tus
7	Dal`a
7	daryis
7	dinu
7	du`d
7	dud
7	dwe§eli
7	gay§mi
7	Gors
7	gu`du
7	i§oka
7	jis
7	Joni
7	Joòs
7	kotrus
7	kotrym
7	mi§ta
7	Moãiekli
7	myrunim
7	myuþeygu
7	nabyus
7	nawa
7	nedz
7	net
7	parak§tiits
7	paziey§t
7	pi§acyja
7	Profets
7	§ie§zpacmyta^
7	§tundi
7	Swata
7	toptu
7	tows
7	tu`s
7	tycu
7	wita
7	witas
7	witu
7	wyda
7	þeligs
6	a`d
6	a`tgoja
6	a`tit
6	atpakal
6	augli
6	Baznieycas
6	Bethleem
6	bol`§u
6	Cyl`wakam
6	Cyl`waku
6	cyta
6	cyts
6	dora
6	drebies
6	du`t
6	dzeyws
6	Faryzeu§zym
6	gay§me
6	go`ja
6	godu
6	gons
6	graku
6	grybu
6	Herods
6	igois
6	iraudêeja
6	i§todiuma
6	iz
6	jos
6	ju`§§
6	kol`na
6	ku`ks
6	l`aykam
6	l`obay
6	lel`a
6	lel`oks
6	MARYU
6	mirs
6	nakti
6	naway
6	Nazareth
6	nu`tika
6	nu`tiks
6	pa§acyis
6	Pa§acyja
6	pazyna
6	pidzimis
6	porjis
6	pretim
