Vârdformu skaits:	10167
Vârdlietojumu skaits:	15788
	
	
200	ne
134	winsch
98	Tas
82	to
81	ir
80	tas
79	ar
78	es
61	ka
60	no
59	man
54	Es
54	in
53	ta
52	tu
44	pee
44	tad
39	buhs
39	Tee
38	te
37	tew
35	ko
35	Ta
35	tee
33	pa
32	ka`
32	No
31	kad
30	tahs
30	uhs
27	Kad
27	par
26	bet
26	eet
26	kas
26	Ne
25	tik
24	wiòòu
23	gan
23	jau
23	jeb
23	labbi
21	kam
21	newa
21	Tu
19	Is
19	manni
19	pehz
19	weens
19	weenu
19	wehl
17	Ee
17	Kas
17	kur
17	Pa
17	Semme
17	Úirgs
17	warr
16	Deews
16	diwi
16	Pee
16	tam
15	is
15	jaw
15	jo
15	nahk
15	Sa
15	Sirgs
15	ween
15	wiòòam
14	bittes
14	esmu
14	irr
14	Ko
14	labba
14	SA
14	tohs
14	Uhs
14	us
14	Winsch
13	dauds
13	dohd
13	gann
13	tahds
13	tikkai
12	deews
12	ja
12	wiòòa
12	winnam
11	1
11	ais
11	Allus
11	AU
11	deewa
11	drehbes
11	itt
11	juhs
11	nu
11	Pahr
11	pahr
11	preeksch
11	RA
11	Reds
11	SE
11	Si
11	Úirds
11	tohp
11	WA
11	wiòsch
10	abber
10	At
10	behrns
10	behrnu
10	bij
10	buhtu
10	E
10	Kam
10	kohks
10	pats
10	runnaht
10	Te
10	tur
10	Zaur
10	Zilwehks
9	Ap
9	deenas
9	dsihwo
9	eúmu
9	gribb
9	Ka
9	mas
9	PA
9	PU
9	Sahle
9	Saííis
9	Sirgu
9	ta`
9	Tahs
9	WE
9	Wi
9	wiòòi
9	Z
8	Ahs
8	bett
8	bija
8	GA
8	leetus
8	MA
8	mannis
8	ME
8	mums
8	PE
8	Rohkas
8	Sahles
8	sazziht
8	wai
7	Ai
7	Ais
7	Ap=
7	aug
7	deena
7	drahnas
7	esúi
7	KA
7	Kaut
7	LA
7	labbu
7	lai
7	laiks
7	Mahte
7	mannas
7	RE
7	Rohka
7	Rohku
7	Rudsu
7	runna
7	sagt
7	úawu
7	Sirni
7	SKA
7	stahw
7	Tam
7	teem
7	weena
7	winnu
7	ZE
6	a
6	ahs
6	allus
6	arri
6	behrneem
6	Bittes
6	Deewa
6	dsiht
6	Gann
6	gull
6	Kahrt
6	Lai
6	leeta
6	lehti
6	likt
6	Maise
6	Mehs
6	Meita
6	mest
6	mett
6	Mi
6	paschu
6	prett
6	RU
6	sakka
6	sche
6	scho
6	Semmes
6	úist
6	tappa
6	Tehwa
6	Ti
6	Uhdens
6	wairak
6	zaur
5	2
5	A
5	Aplam
5	at
5	At=
5	Behrns
5	Behrnu
5	dabbu
5	darriht
5	doht
5	ee
5	gribbeja
5	is=
5	kahdu
5	Kristus
5	KU
5	Kungs
5	Kur
5	labbam
5	labbas
5	labbiba
5	labbs
5	LE
5	leela
5	leels
5	lihds
5	LU
5	Mais
5	manna
5	mannu
5	Nelaime
5	Nu
5	ohtru
5	patti
5	PLA
5	Saglis
5	Úaule
5	sawu
5	Úeets
5	Úehrga
5	sinna
5	úist{ }
5	SLA
5	Sohbi
5	STA
5	SU
5	TA
5	tahdai
5	Tahds
5	tai
5	Tehws
5	tekk
5	Tew
5	tewis
5	To
5	truhkt
5	Tur
5	turreht
5	u
5	un
5	wahriht
5	war
5	warru
5	weenas
5	wihrs
5	wiss
5	Wista
5	wista
5	Zeïïa
4	ai
4	Ais=
4	AL
4	AP
4	ap
4	apkahrt
4	appaksch
4	Ar
4	BA
4	BE
4	behrni
4	bes
4	daschu
4	DE
4	dsels
4	DSi
4	dsihres
4	ehst
4	gahja
4	galwa
4	Galwu
4	Gohda
4	Gohdu
4	Gohws
4	Grehkus
4	gribbu
4	GU
4	gulleht
4	I
4	istapt
4	Ja
4	Jauns
4	kahda
4	kahdas
4	Kahja
4	Kalwa
4	klahjahs
4	Kohks
4	kult
4	lahzis
4	laiku
4	Leels
4	leelu
4	Li
4	Lihds
4	Lihst
4	LO
4	Man
4	Manni
4	mannim
4	Miúa
4	mutte
4	na
4	nahkt
4	Nams
4	Nasis
4	nei
4	ohtrs
4	paleek
4	pauts
4	pilns
4	projam
4	reds
4	redseht
4	Rehmens
4	Ri
4	RO
4	Úahls
4	SCHAU
4	Úeenu
4	Úirdi
4	Úirni
4	SO
4	stobrs
4	Úugga
4	Suns
4	tawa
4	TE
4	Teeúa
4	tewim
4	tihk
4	Tik
4	truhkst
4	TU
4	turr
4	Uhdeni
4	Wai
4	wakkar
4	Weeta
4	wehjsch
4	Wehsch
4	west
4	wirúu
4	wirt
4	wisúi
4	zelt
4	Zeppure
4	Zi
4	Zuhku
3	4
3	Addata
3	Ahboli
3	Ahbols
3	Ahdas
3	Ahrste
3	ahs=
3	aisgahja
3	Aisjemt
3	ap=
3	aplam
3	Appiòòi
3	Appiòòu
3	AR
3	arrig
3	art
3	AS
3	AT
3	atkal
3	atschagarni
3	Augsts
3	augt
3	aust
3	Azzis
3	Ba
3	Baddu
3	bahrdu
3	Bakstamais
3	Balloschi
3	Baltums
3	Bandas
3	Barriba
3	Bars
3	bars
3	behrnus
3	bijaht
3	blaudahs
3	Breescha
3	brihscham
3	buht
3	Bundulis
3	DA
3	darbs
3	darbu
3	Deena
3	deewam
3	deewu
3	deht
3	derr
3	desmits
3	dewe
3	Di
3	dihgst
3	dischani
3	DO
3	Dohbles
3	dohschu
3	drihds
3	DSE
3	dsihwoht
3	dsirnawas
3	Eeksch
3	eekscha^
3	ees
3	eestidsis
3	Ehka
3	Ehku
3	ei
3	Elles
3	essi
3	Gabbals
3	Gaddu
3	gallu
3	Gan
3	Ginta
3	Gohds
3	gribbi
3	i
3	ilgi
3	isdohdahs
3	it
3	jauns
3	JE
3	jemt
3	Jesus
3	Jo
3	Judras
3	jums
3	Kahrs
3	kahrt
3	Kalps
3	kamehr
3	kaut
3	KE
3	klausiht
3	Krahwaht
3	Kungam
3	labs
3	laiki
3	lassiht
3	lauschu
3	Leddus
3	leddus
3	leeks
3	Leeneht
3	leetas
3	leeti
3	Leetnis
3	leetu
3	leez
3	lezzinaht
3	Lihks
3	Likt
3	luhgt
3	Mahrjas
3	Maises
3	maitaht
3	mans
3	Matti
3	matti
3	Meddainsch
3	Meega
3	Meeschi
3	Meeturs
3	Mehnes
3	mehr
3	mehs
3	Meitu
3	Mescha
3	mettahs
3	mihksts
3	miht
3	mirst
3	mirt
3	MU
3	muhso
3	muhsu
3	mutt
3	Muttes
3	Nabbagu
3	nahks
3	Nahwes
3	neeka
3	neewa
3	Newa
3	newarr
3	NO
3	noeet
3	ohtram
3	padarriht
3	Pahtahri
3	pakkal
3	Paleeks
3	Pamehglis
3	Pats
3	peenu
3	Pehrkons
3	Pi
3	pirkstu
3	Pirts
3	PLU
3	pus
3	Puschu
3	puschu
3	Pusúe
3	Raggum
3	Ratti
3	Reeksti
3	reibst
3	Reis
3	Rihks
3	s
3	Úa
3	úa
3	Úaknes
3	Úalds
3	Úarkans
3	Úaulite
3	sawas
3	schauj
3	Úchaut
3	schi
3	schim
3	SCHKi
3	Úeens
3	Úeewas
3	Úehru
3	sinnu
3	Úirgu
3	Skahbenes
3	SKU
3	skund
3	Úmarscha
3	Úohds
3	SPA
3	Spalla
3	Staht
3	staiga
3	staigaht
3	Starpan
3	Stihgas
3	strahdaht
3	Strohps
3	Úuòòs
3	Úuns
3	Úwelt
3	SWi
3	taggad
3	tahda
3	Tahdai
3	tahdu
3	tahïu
3	tahm
3	Tahma
3	tapehz
3	Tauki
3	taws
3	Teem
3	trauúls
3	twaiku
3	U
3	ugguni
3	Ugguns
3	uhsgahja
3	Uppe
3	Us
3	Wadmalas
3	Wahks
3	walgu
3	Waººa
3	warreja
3	warri
3	Weens
3	weeta
3	Wehjsch
3	Wihkúne
3	Wihrs
3	Wilks
3	wiïïu
3	wilna
3	winna
3	wiòòas
3	winni
3	wiús
3	wisúa
3	wisúas
3	wissi
3	wisúu
3	wissur
3	wissus
3	wistas
3	Zehlens
3	Zeïïu
3	Zillwehks
3	Zittu
3	ZU
2	5
2	AB
2	Abbi
2	abbi
2	addatas
2	Agri
2	agri
2	Ahda
2	Ahdu
2	Ahïa
2	Ahmals
2	ahra
2	ahra^
2	Ahsitis
2	ais=
2	aisdoht
2	aiseet
2	aisgulleht
2	aisjemt
2	aismidsis
