Vârdformu skaits:	254
Vârdlietojumu skaits:	409


14	und
11	to
9	gir
8	ar
8	no
7	mehß
6	Ack
6	gribbam
6	nhe
6	ta
5	Deews
5	Ka
5	mums
5	warr
5	winjam
4	tahs
4	tas
4	wings
3	Ar
3	buhß
3	ka
3	Kad
3	Kas
3	par
3	pij
3	preezigu
3	úchodeen
3	tad
3	To
2	Bruht
2	Bruhtu
2	buhtu
2	dewis
2	Draud§iba
2	Dreling
2	eeckúch
2	ghann
2	Ghodu
2	Jumprawu
2	jums
2	Jums
2	Kah§as
2	kas
2	labb
2	laimiga
2	Mahzitais
2	Meeru
2	neds
2	nu
2	Nu
2	pallieds
2	pallied§eht
2	Preeku
2	úcho
2	Úirdes
2	Ta
2	tam
2	Tas
2	tock
2	Turr
2	uhß
2	Und
1	alla§chin
1	apraxtita
1	arrid§an
1	attúuhtita
1	Amen
1	Ammats
1	Anna
1	ARNOLD
1	Auxte=Ghodigu
1	Auxte=Zeeniga
1	Barribu
1	Baßnitz=Kungs
1	Baßnitzas=Kungha
1	Behdas
1	beickt
1	beß
1	Blohdu
1	Braliò§ch
1	Breeßmas
1	buht
1	dabb
1	darr
1	darriet
1	Deena
1	Deenu
1	Deewa
1	Deewabijataiu
1	Deewu
1	dohd
1	dohdu
1	dohmi
1	doht
1	Draud§inja
1	d§eedaht
1	D§eeßmas
1	Dwehßel
1	Eli§abeth
1	Es
1	Fohrmann
1	FOHRMAN
1	Georg
1	Ghaddu
1	Ghalwu
1	Ghaúpa§chu
1	Ghodibas=Deenu
1	ghodigas
1	ghodigi
1	ghodigu
1	Ghramato=§pedaiu
1	gribb
1	gruht
1	Hinrich
1	ißkaißiet
1	ißmahzita
1	itt
1	J
1	Jahòe=Baßnitzas
1	jemmat
1	Johann
1	juhßu
1	K
1	kahda
1	Kah§as=Deenu{Kah§as=}
1	Kam
1	kattreem
1	kattru
1	kaunu
1	klaht
1	ko
1	Ko
1	Kroni
1	Kungha
1	Kungham
1	kurr
1	labback
1	labbs
1	labbu
1	Laimiga
1	Laimu
1	Latwi§ka
1	Lauliba
1	launs
1	launu
1	Ïautinji
1	leeku
1	Leeta
1	ïoht
1	luhkt
1	M
1	Maa§§ing
1	mahza
1	Mahzibu
1	Mahzitaia
1	Matth
1	Mehneßes
1	Mehß
1	Mielais
1	Mielä§tib
1	mieliga
1	Mieliga
1	mieligu
1	Mieligu
1	Muhßa
1	Mun§ter=Kungha
1	nahkam
1	nahz
1	Nahz
1	Namma`
1	no=eet
1	Nöller
1	No§chahweht
1	no§kirr
1	no§taigha
1	noteeck
1	O
1	o^
1	patteeß
1	peekußis
1	Peeru
1	pehdigas
1	pilnigu
1	pirmo
1	Prahtiò§ch
1	Preddiko=Krehßlu
1	preezatees
1	Preeziga
1	preezigas
1	preezigi
1	preezigus
1	pretti
1	pretzeht
1	projam
1	py
1	Rahtes=Kungha{Rahtes=}
1	reds
1	red§eht
1	Riga
1	Úaimu
1	úawu
1	§chehliga
1	§chehligu
1	Semmes=Eel
1	Sirdes
1	Úirdi
1	Úirdsninja
1	Siwis
1	úmucka
1	úuhre
1	Úweedrus
1	úwehtas
1	úwehti
1	tads
1	tahdu
1	taißiet
1	tee
1	teickt
1	tetzeht
1	Thätit
1	Thäwu
1	tohß
1	truhkt
1	tu
1	tuhxtoúchu
1	turr
1	Uhß
1	Wahrda=Deenu
1	Wahrdinjus
1	Wahtz=Semme
1	waiag
1	Waigha
1	warram
1	weenu
1	Weeta`
1	wehleja
1	Wehle§chan
1	Weßelib
1	Wings
1	winjai
1	winjas
1	wißas
1	wißeem
1	wißi
1	wißmiligu
1	wi§úu
1	wi§§ur
1	wißu
1	zeena
1	Zeeniga
1	Zeenigu
1	Zeppetz
1	zittad
1	1690
