Vârdformu skaits:	501
Vârdlietojumu skaits:	791


18	irr
14	ne
12	M
11	B
10	ko
9	ka`
9	no
9	warr
8	buhs
8	kas
8	man
8	tu
7	Kas
7	Lai
6	Ka`
6	Kah§as
6	Zeek
5	ar
5	dohd
5	ka
5	pee
5	tew
5	tik
5	to
5	tur
5	un
5	Un
4	eet
4	Es
4	kaut
4	Ko
4	Martiò
4	neß
4	No
4	tas
4	Tew
4	us
3	Ak
3	bett
3	Bett
3	gann
3	ir
3	Jr
3	Ka
3	kam
3	Kur
3	leelas
3	Man
3	mehs
3	mums
3	Ne
3	par
3	úawu
3	§pihd
3	Tur
2	Ar
2	Bahrdes
2	bi
2	bijis
2	buht
2	daud§
2	Deenu
2	Deewam
2	Drehbu
2	d§ehrt
2	Galwu
2	gau§chi
2	gribb
2	jeb
2	Karrah§chas
2	labbahk
2	labbi
2	lihd§
2	luhgts
2	mannim
2	miht
2	Mutte
2	nahzi
2	pahr
2	pehz
2	Prahts
2	red§
2	Rohkas
2	§inn
2	tahs
2	Tahs
2	Tas
2	tawu
2	teem
2	Teïïu
2	tihk
2	Tik
2	To
2	trakki
2	Us
2	wairs
2	wehl
2	wiòòa
2	Woi
2	Zeppehtiò§ch
1	abbeem
1	ahra
1	ap
1	apd§eedam
1	apd§irrahs
1	apgehrbahs
1	apgehrbtees
1	apkahrt
1	aplam
1	atnahzis
1	atwehro^t
1	Abbeju
1	Ahle
1	Ahrúul
1	Ai§krahúna^
1	All'
1	Allus
1	A§tas
1	Auju
1	Awim
1	Aztiòòas
1	Azz
1	Azzi^s
1	Badda=Úaimneeks
1	bah§t
1	Balß
1	Balteka§e
1	Barribiòòas
1	Barribu
1	Bebber=Spalwiòòeem
1	Beckerinn
1	Behdiòòahm
1	bes
1	Bes
1	Bey
1	Bikkerneeku
1	Bi§es
1	Blohdiòòa^
1	Blohdu
1	Brahliht
1	Brakka=Leetiòòahm
1	braukt
1	brauzis
1	Brenz
1	Brenziò
1	Brenzuliò
1	Brihnums
1	Bruht
1	Bruhtei
1	Bruhtganiòòam
1	buht'
1	dahrga
1	Dahr§a
1	Darba^
1	darra
1	Da§chlabbai
1	Debbeúi^s
1	Deeniòòu
1	Deewa
1	Deewiò§ch
1	deúmits
1	Diepenbrock
1	diwi
1	Dohbas
1	dohdam
1	dohmaja
1	dohmos
1	doht
1	Drahnehm
1	Draugs
1	Drehbeem
1	Drehbiòòa
1	Drehbitiòòu
1	drih§
1	drih§t
1	Druwes
1	D§eeúmas
1	d§erri
1	d§iht
1	d§ihw'
1	d§ihwojo^t
1	d§ird
1	Dumpis
1	ee=eijoht
1	eek§ch
1	eek§cha`
1	Eera§cheem
1	Eezeeniht
1	Ehd
1	ei
1	Ei
1	Eim'
1	ELJSABETH
1	ES
1	Gadeem
1	gah§t
1	Gaiúa
1	Galda^
1	Gaïïas
1	Galwas=Matto^s
1	Gann
1	garras
1	Georg
1	glu§chi
1	Gohda=D§ee§ma
1	Gohdam
1	gohdigu
1	Gohdu
1	gree§
1	gree§ees
1	gree§tees
1	Grehkeem
1	gribbeis
1	gribbu
1	Grikkis
1	ikweenam
1	iskaiúihts
1	isúazzijs
1	itt
1	Ja
1	Jahke
1	jaukas
1	jauki
1	jaunajs
1	jaunam
1	jauns
1	jaw
1	jawelk
1	Jehru
1	Jep
1	Jo
1	JOHANNES
1	Joh§ta
1	Joh§tiò§ch
1	Jtt
1	Jumprawahm
1	Jumprawahs
1	Jumprawas
1	Jumprawu
1	jums
1	Junkuris
1	kad
1	Kad
1	kahpt
1	kahrtim
1	Kah§as=Wallohda
1	Kaimiòòeem
1	kaita
1	Kaííedanz
1	Kaííis
1	Kam
1	Katúchiht
1	Kauliòòo^s
