Vârdformu skaits:	427
Vârdlietojumu skaits:	720


18	irr
16	ne
15	ka`
14	kas
13	ko
11	m
11	man
11	no
10	b
9	tu
9	un
9	warr
8	tew
7	buhs
7	ka
7	tik
7	tur
6	ar
6	kah§as
6	lai
6	tas
6	to
6	us
6	zeek
5	bett
5	dohd
5	pee
4	eet
4	es
4	gann
4	kam
4	kaut
4	kur
4	martiò
4	neß
4	par
4	tahs
3	ak
3	ir
3	leelas
3	mehs
3	mums
3	úawu
3	§pihd
3	woi
2	bahrdes
2	bes
2	bi
2	bijis
2	buht
2	daud§
2	deenu
2	deewam
2	ei
2	galwu
2	gau§chi
2	itt
2	jeb
2	labbahk
2	labbi
2	lihd§
2	luhgts
2	mannim
2	miht
2	mutte
2	nahzi
2	pahr
2	pehz
2	rohkas
2	§inn
2	ta
2	tee
2	teem
2	teïïu
2	tihk
2	trakki
2	wairs
2	wehl
2	wiòòa
2	zeppehtiò§ch
1	abbeem
1	abbeju
1	ahra
1	ai§krahúna^
1	allus
1	ap
1	apd§eedam
1	apd§irrahs
1	apgehrbahs
1	apgehrbtees
1	aplam
1	a§tas
1	atnahzis
1	atwehro^t
1	auju
1	azz
1	azzi^s
1	badda=úaimneeks
1	bah§t
1	balß
1	balteka§e
1	barribiòòas
1	barribu
1	beckerinn
1	bey
1	bikkerneeku
1	bi§es
1	blohdiòòa^
1	blohdu
1	brahliht
1	brakka=leetiòòahm
1	braukt
1	brauzis
1	brenz
1	brenziò
1	brenzuliò
1	brihnums
1	bruht
1	bruhtei
1	bruhtganiòòam
1	dahrga
1	dahr§a
1	darba^
1	darra
1	da§chlabbai
1	debbeúi^s
1	deeniòòu
1	deewiò§ch
1	deúmits
1	diepenbrock
1	diwi
1	dohbas
1	dohdam
1	dohmaja
1	dohmos
1	doht
1	drahnehm
1	draugs
1	drehbeem
1	drehbiòòa
1	drehbitiòòu
1	drehbu
1	drih§
1	drih§t
1	druwes
1	d§eeúmas
1	d§ehrt
1	d§erri
1	d§iht
1	d§ihwojo^t
1	d§ird
1	dumpis
1	ee=eijoht
1	eek§cha`
1	eera§cheem
1	eezeeniht
1	ehd
1	elisabeth
1	gadeem
1	gah§t
1	gaiúa
1	galda^
1	gaïïas
1	galwas=matto^s
1	garras
1	georg
1	glu§chi
1	gohda=d§ee§ma
1	gohdam
1	gohdigu
1	gohdu
1	gree§
1	gree§tees
1	grehkeem
1	gribb
1	gribbeis
1	gribbu
1	grikkis
1	ikweenam
1	iskaiúihts
1	jahke
1	jaukas
1	jauki
1	jaunajs
1	jaunam
1	jauns
1	jaw
1	jawelk
1	jehru
1	jep
1	jo
1	johannes
1	joh§ta
1	joh§tiò§ch
1	jumprawahm
1	jumprawu
1	jums
1	junkuris
1	kad
1	kahpt
1	kah§as=wallohda
1	kaimiòòeem
1	kaita
1	kaííedanz
1	kaííis
1	karrah§chas
