Vârdformu skaits:	5468
Vârdlietojumu skaits:	28796


1194	un
701	irr
597	to
475	ne
360	ka
357	no
345	kas
336	ta
325	tas
267	1
261	eekúch
250	buhs
226	ar
221	2
218	tahs
185	DEewa
173	tee
172	mehs
168	teem
167	3
165	bet
156	pee
156	tad
155	mums
151	DEews
142	Wiò§ch
140	es
140	wiòòa
138	zaur
135	us
129	Kas
122	juhs
119	Es
118	ka`
115	ko
113	4
111	5
110	par
109	tu
104	man
103	pehz
102	jeb
101	úawu
100	jo
99	Kri§tus
99	tohs
96	tew
86	Tas
85	KUngs
84	D§
83	6
82	Kad
82	pahr
82	tam
81	tohp
78	DEewu
77	Dahw
77	jums
77	muhúu
74	Grehkeem
66	tawu
66	weenu
66	Zilweks
66	8
65	arrid§an
64	neds
63	kad
62	muhs
62	Ne
62	weens
61	preekúch
59	prett
58	KUnga
58	Mums
56	10
55	9
54	úew
53	eúúam
53	mann
52	DEewam
52	wiúúu
51	Jahn
51	Ta
51	wiòòu
51	wiò§ch
51	19
50	Un
50	12
50	15
49	Moh§
49	Úirds
49	Tu
49	Wahrdu
49	7
47	Ko
46	Grehki
46	wiúúeem
45	darra
45	KUngu
45	17
43	darriht
43	eúmu
43	eúúat
43	13
43	16
43	20
42	Grehkus
42	Meeúas
42	ta`
41	nu
41	Reem
41	14
41	18
40	paúchu
40	wiúúas
40	22
39	ja
39	Tehws
39	11
38	dohd
38	Kor
38	Tew
37	Grehku
37	JE§us
37	Ka`
37	21
36	Gr
36	Matt
36	weena
35	mannu
34	arri
34	Garru
34	Ja
33	a
33	b
33	Bauúli
33	Bet
33	juhúu
32	Leetas
32	úazzija
32	tawa
32	ween
32	Wiòòu
32	23
31	bes
31	lihd§
31	nahk
31	Tehwa
31	Tizzibas
31	warr
31	Zilwekeem
30	gribbu
30	ir
30	Kri§tu
30	mannim
30	tai
30	Zilweku
29	Gars
29	24
28	daud§
28	eúúi
28	muh§chigi
28	úawas
27	darrijs
27	lai
27	wiúúi
26	buhtu
26	KRi§tus
26	labbi
26	Wiòòa
26	25
25	atkaï
25	dehï
25	gann
25	Garra
25	Jo
25	úakka
25	úcho
25	Semmes
25	wiús
25	26
24	d§ihwo
24	paleek
23	Juhs
23	kam
23	Ïaunu
23	Prahtu
23	Úakki
23	Sal
23	Tad
23	taws
23	Wahrds
22	Darbeem
22	Ebr
22	Schehla§tibu
22	Zaur
21	Debbeúu
21	Leetahm
21	manna
21	tawas
21	wairak
20	Behrni
20	buht
20	Ewe§
20	Grahm
20	grib
20	labbu
20	Mehs
20	muhúas
20	Nahwes
20	No
20	úawus
20	taps
20	Tee
20	tik
20	To
20	Wahrda
20	Wahrdeem
20	wiúúus
20	28
19	itt
19	Ka
19	úawa^
19	Schehla§tibas
19	tapehz
19	Tehwu
19	wehl
19	wiòòam
19	wiúúahm
19	Zilweka
18	Azzis
18	ikdeenas
18	Kapehz
18	luhd§am
18	mans
18	Meeúu
18	úawa
18	tawa^
18	Wiòòam
17	Debbes
17	Debbeúi^s
17	Dehla
17	Laika^
17	Ïaudis
17	Luk
17	Meeúa
17	paúchus
17	patt
17	peederr
17	Peht
17	Rohkas
17	úawam
17	Úwehta
17	úwehti
17	Úwehtu
17	tapt
17	tur
17	turreht
17	wirs
17	27
17	29
17	31
16	bij
16	bija
16	Dehlu
16	dewis
16	doht
16	d§ihwoht
16	luhgt
16	manni
16	Peedohúchanu
16	Prahts
16	pretti
16	úaweem
16	Úirdi
16	Tapehz
16	Wal§tiba
16	Zilwekam
16	33
15	Amen
15	Gohdibas
15	Katri
15	Nahwi
15	nomirris
15	Par
15	Paúaules
15	pats
15	Rohku
15	tizzu
15	Tuwaku
14	Ar
14	Aúúini
14	Bauúlus
14	Darb
14	Eekúch
14	kahdu
14	kalpoht
14	Kur
14	Luhgúchanas
14	manna^
14	mannas
14	mihïoht
14	úakku
14	§tahw
14	úwehtu
14	Taiúnibas
14	teeúcham
14	tizz
14	tomehr
14	Tuwakam
14	32
13	ak
13	appakúch
13	Aúúins
13	Barribu
13	bihtees
13	Deena^
13	eet
13	E§ai
13	JE§u
13	KRi§tu
13	lab
13	leelu
13	ohtru
13	§taiga
13	Tim
13	tizzeht
13	Wahrdi
13	wairs
13	Wal§tibu
13	wiòòo
12	Ap
12	c
12	Deenu
12	Dwehúele
12	Dwehúeles
12	ittin
12	labpraht
12	Leetu
12	Luhk
12	Mai§i
12	mannus
12	muh§chigu
12	Muhúu
12	Mutti
12	nahks
12	noteek
12	Paúaule
12	úcheem
12	tahm
12	tawam
12	Tuwaka
12	Uhdens
12	wiòòeem
11	arrig
11	Behrneem
11	d
11	Dehls
11	D§ihwoúchanas
11	D§ihwoúchanu
11	Dwehúeli
11	JESUS
11	Kungam
11	labbad
11	Lai
11	Luhgúchanu
11	Man
11	nahkt
11	raddijs
11	Úohdibu
11	tadehï
11	tappe
11	tawi
11	Wahrdus
11	walda
11	Warr
11	wiúúa
10	dohs
10	D§ihwibas
10	Gohds
10	gribbetu
10	ikweens
10	jepúchu
10	JESU
10	juhúas
10	kahds
10	Kri§tiba
10	labbas
10	labs
10	Ïaudim
10	luhd§
10	Meeúa^
10	mekle
10	muhúeem
10	padarra
10	papreekúchu
10	paúcha
10	patihk
10	runna
10	úchee
10	Schehla§tiba
10	úchinni^
10	úchis
10	Semmi
10	§tarp
10	Úwehtajs
10	úwehtas
10	Tam
10	Wal§tibas
10	Wiús
10	Zilweki
10	30
9	Ak
9	Arrig
9	Deena
9	dohta
9	d§ihwoju
9	D§ihwoúchana
9	Eekahroúchanahm
9	Elles
9	Eòìeïi
9	eúúeet
9	gaida
9	Gal
9	Jehk
9	Jer
9	klauúa
9	leek
9	Leezibu
9	Luhgúchana^
9	Mantu
9	Matth
9	Nahwe
9	Semme
9	Spehks
9	Spehku
9	§taigaht
9	tewi
9	weenam
9	wiúúai
9	zeek
9	Zeek
9	zittu
9	44
9	50
8	alla§chiò
8	augúcham
8	Atgreeúchanu
8	Azzim
8	Behdahm
8	Brahli
8	Darbi
8	Darbu
8	darrajt
8	Draud§ibu
8	d§ihwojam
8	eek§ch
8	eh§t
8	ih§tenu
8	it
8	Jkkatrs
8	Jrr
8	Jums
8	Ka^
8	Kri§tibas
8	kur
8	Labbu
8	Labbumu
8	leela
8	Leeta
8	Mahtes
8	mannis
8	muhúchigi
8	muhúus
8	neeka
8	neús
8	palihd§
8	parei§i
8	paúchas
8	Pateeúibas
8	úawahm
8	úchahs
8	úchi
8	§innu
8	Sir
8	Spehka
8	§tarpa^
8	tahdas
8	tahds
8	Taiúnibu
8	taweem
8	Tizzibu
8	turr
8	usmohdinahts
8	usturr
8	Waigu
8	Wella
8	welti
8	wiòòas
8	zeenigi
8	zeetis
8	34
7	atgree§tees
7	at§iht
7	Bauúleem
7	Bauúlibu
7	darrijúchi
7	Debbeúis
7	Deenas
7	Deewa
7	DEEWA
7	Deews
7	Deewu
7	d§ird
7	Eòìeli
7	Ewee§
7	Ezek
7	Gann
7	jelle
7	juh§u
7	kahda
7	Kahda
7	kahrdinahts
7	Kam
7	Kru§ta
7	Labbums
7	Ïauna
7	leelas
7	mahza
7	manneem
7	Muttes
7	pa
7	Padohmu
7	pakkaï
7	Paúaule^
7	Paúauli
7	paúcheem
7	preekúcha^
7	prohti
7	red§i
7	Úak
7	úazzijs
7	úche
7	úchíih§ti
7	Úeewu
7	§innat
7	§kaidri
7	§tipri
7	Úwehtibas
7	úwehtigi
7	tappis
7	Teem
7	tewim
7	tohpam
7	turrahs
7	turretees
7	uhs
7	Wahrda^
7	waijaga
7	Wainu
7	warram
7	warru
7	Weens
7	Wels
7	wiúúa^s
7	Zilwekus
7	37
6	Atgreeúchanas
6	Bauúlibas
6	bih§tahs
6	Darbus
6	darriti
6	Debbeúi
6	DEEWS
6	Derribu
6	deúmits
6	Duúmibas
6	eemantohs
6	eenihd
6	Ehúchanu
6	Eita
6	Elle^
6	Eòìeïeem
6	Eòìelis
6	Eúúeet
6	Gals
6	Ìihmi
6	Gohda
6	grehkojis
6	ikkatrs
6	iseet
6	jaw
6	klauúiht
6	Kri§tibu
6	kri§titi
6	Kru§ta^
6	Laid
6	ïaunu
6	Mantas
6	Mark
6	Meers
6	Meeúahm
6	mihlejs
6	miht
6	muh§cham
6	muh§chigas
6	muhúchigu
6	Namma
6	neììi
6	nizzina
6	nomirruúchi
6	nomohda^
6	No§eegumus
6	Paligu
6	palihd§eht
6	paúcham
6	pateeúi
6	Pateeúi
6	pateikt
6	peedohd
6	peeluhgt
6	Pe§tiúchanas
6	pirmu
6	Preekúcha^
6	Preeku
6	raddija
6	raddijis
6	raugi
6	§chehl
6	úcheit
6	úchodeen
6	Úeewa
6	§inna
6	Úirdi^
6	Úirdis
6	úwehta
6	Úwehta^
6	úwehts
6	Úwehts
6	úwehtus
6	Ta`
6	Tadehï
6	tahdu
6	Tahs
6	taiúnoti
6	tawus
6	Teeúas
6	tikkai
6	Tizziba
6	treúchu
6	trihs
6	Tur
6	tuwu
6	w
6	Wahrdam
6	Weena
6	Weeta^
6	Wiòúch
6	Wiúúas
6	zeeni
6	Zeïïu
6	zittadi
6	zittus
6	119
6	51
5	aizinajs
5	aprakts
5	atdoht
5	atòemm
5	atpe§tijs
5	Atjaunaúchanas
5	baggatigi
5	Behdas
5	Behrns
5	buhdams
5	Dabbas
5	dabbu
5	dabbuhs
5	dabbuht
5	Dahw§
5	darri
5	darrihs
5	darrijis
5	darru
5	Deena^s
5	deeniúchku
5	dewe
5	Dohmas
5	Dohmaúchanahm
5	d§emde
5	d§ihws
5	Eebr
5	Eekahroúchana
5	ehd
5	Gallu
5	Galwu
5	Garra^
5	gohdaht
5	Gohdu
5	grehko
5	grehkoht
5	ih§tenas
5	ih§tens
5	ilgi
5	isglahbt
5	isleets
5	jaunu
5	Jerem
5	Kahju
5	Kahribahm
5	klahjahs
5	Kohka
5	KUngam
5	Kungu
5	kuººa^
5	kuººo
5	labba
5	labbeem
5	Labbuma
5	laid
5	ïaunas
5	leeku
5	lizzis
5	Lohzekli
5	luhgúeet
5	mahzihts
5	Meeúai
5	Mihïais
5	Mihle§tiba
5	Mihle§tibu
5	Miººoòeem
5	muh§chiga
5	nahze
5	nahzis
5	Nakti^
5	Namma^
5	Nammu
5	òemm
5	noh§t
5	noma§gati
5	notiks
5	Nu
5	paúarga
5	Pateeúiba
5	Pateikúchanu
5	peed§immis
5	peeluhd§
5	peenahkahs
5	pilnigi
5	prohjam
5	rak§tihts
5	rei§i
5	Úahtaòa
5	úakki
5	Úapraúchana
5	úazziht
5	§chehligi
5	Úchis
5	úchohs
5	Seltu
5	úewim
5	§innadami
5	§innaht
5	§innam
5	úlaweht
5	Úohdibas
5	úohdiht
5	úuhtijs
5	taiúnis
5	Tehwam
5	Tehwi
5	Teizeet
5	Te§§
5	Tizzigeem
5	Tumúibas
5	Uhdeni
5	Wakkar=Ehdeni^
5	Waïïu
5	wehrtas
5	Wellam
5	Widdu^
5	zehlees
5	Zeïïeem
5	zettortu
5	Zik
5	104
5	35
5	36
5	39
5	43
5	53
5	55
4	aisleegt
4	aisturr
4	aizina
4	aprakti
4	arridúan
4	atrohmu
4	Abra&a&ma
4	Ahdams
4	Alga
4	Apúohliúchana
4	Apúohliúchanas
4	Augúchamzelúchanu
4	Azz
4	baggats
4	Bauúliba
4	Behdu
4	Behrnu=Mahzibas
4	bih§tamees
4	bih§tees
4	bijam
4	Brihdi
4	brihni§ki
4	buhúchu
4	dabbujam
