Vârdformu skaits:	5197
Vârdlietojumu skaits:	28793


1244	un
709	irr
617	to
537	ne
474	kas
411	tas
387	ta
379	ka
377	no
275	eekúch
267	1
259	es
252	buhs
240	ar
224	tahs
221	2
213	mums
199	deewa
198	bet
193	tee
193	wiò§ch
192	mehs
179	tad
175	teem
167	3
166	wiòòa
164	deews
162	ko
160	zaur
158	pee
158	tu
155	ka`
145	juhs
145	kad
139	us
134	tew
125	jo
125	kri§tus
125	par
115	man
113	4
111	5
107	pehz
104	jeb
101	úawu
101	tohs
92	kungs
92	tam
89	muhúu
85	deewu
85	jums
85	pahr
84	d§
83	wiòòu
83	6
82	tohp
76	dahw
74	grehkeem
73	ja
69	weens
66	tawu
66	weenu
66	zilweks
66	8
65	arrid§an
65	neds
62	muhs
61	kunga
61	preekúch
60	prett
56	10
55	úew
55	9
54	deewam
54	mann
54	wiúúu
53	eúúam
51	jahn
51	19
50	kungu
50	12
50	15
49	moh§
49	úirds
49	wahrdu
49	7
48	ta`
46	darra
46	grehki
46	nu
46	wiúúas
46	wiúúeem
45	17
43	darriht
43	eúmu
43	eúúat
43	kri§tu
43	13
43	16
43	20
42	grehkus
42	meeúas
42	warr
42	weena
41	dohd
41	reem
41	14
41	18
40	paúchu
40	tehws
40	22
39	je§us
39	11
38	kor
38	lai
38	mannu
37	grehku
37	wiòòam
37	21
36	gr
36	juhúu
36	matt
35	tapehz
35	tawa
35	wiús
34	arri
34	garru
33	a
33	b
33	bauúli
33	leetas
32	bes
32	eúúi
32	gann
32	úazzija
32	tizzibas
32	ween
32	23
31	daud§
31	lihd§
31	nahk
31	úwehtu
31	tehwa
31	zilwekeem
30	gribbu
30	ir
30	kam
30	mannim
30	tai
30	wiúúi
30	zilweku
29	gars
29	ïaunu
29	24
28	labbu
28	muh§chigi
28	úakki
28	úawas
27	buhtu
27	darrijs
27	úakka
26	labbi
26	25
25	atkaï
25	dehï
25	d§ihwo
25	garra
25	úcho
25	semmes
25	taws
25	26
24	paleek
23	manna
23	prahtu
23	sal
23	úwehta
23	tawas
23	tur
23	wahrds
22	ak
22	darbeem
22	ebr
22	kur
22	schehla§tibu
22	tik
22	wiúúus
21	debbeúu
21	leetahm
21	mans
21	muhúas
21	úawus
21	wairak
20	arrig
20	behrni
20	buht
20	ewe§
20	grahm
20	grib
20	itt
20	kapehz
20	nahwes
20	úawa^
20	taps
20	wahrda
20	wahrdeem
20	28
19	úawa
19	schehla§tibas
19	tehwu
19	wehl
19	wiúúahm
19	zilweka
18	azzis
18	ikdeenas
18	luhd§am
18	meeúu
18	úwehti
18	tawa^
18	zeek
17	bij
17	debbes
17	debbeúi^s
17	dehla
17	laika^
17	ïaudis
17	luk
17	meeúa
17	paúchus
17	patt
17	peederr
17	peht
17	rohkas
17	úawam
17	tadehï
17	tapt
17	teeúcham
17	turreht
17	wirs
17	27
17	29
17	31
16	amen
16	bija
16	dehlu
16	dewis
16	doht
16	d§ihwoht
16	ittin
16	kungam
16	luhgt
16	manni
16	pats
16	peedohúchanu
16	prahts
16	pretti
16	úaweem
16	úirdi
16	wal§tiba
16	zilwekam
16	33
15	eúúeet
15	gohdibas
15	kahdu
15	katri
15	mannas
15	nahwi
15	nomirris
15	paúaules
15	rohku
15	úchis
15	tizzu
15	tomehr
15	tuwaku
14	aúúini
14	bauúlus
14	darb
14	ikkatrs
14	kahda
14	kalpoht
14	luhgúchanas
14	manna^
14	mihïoht
14	úakku
14	§tahw
14	taiúnibas
14	tizz
14	tuwakam
14	wiòòo
14	32
13	ap
13	appakúch
13	aúúins
13	barribu
13	bihtees
13	deena^
13	eet
13	e§ai
13	je§u
13	lab
13	leelu
13	ohtru
13	preekúcha^
13	§taiga
13	tewi
13	tim
13	tizzeht
13	wahrdi
13	wairs
13	wal§tibu
13	wiúúa
12	c
12	deenu
12	dwehúele
12	dwehúeles
12	ikweens
12	ka^
12	labpraht
12	leetu
12	luhk
12	mai§i
12	mannus
12	muh§chigu
12	mutti
12	nahks
