Vârdformu skaits:	2102
Vârdlietojumu skaits:	9189


328	irr
259	ne
242	un
238	ka
210	to
179	es
179	ta
177	tas
144	kas
124	juhs
108	bet
108	no
95	tahs
93	Bet
88	eekúch
86	jums
82	teem
81	ja
76	Jo
76	tee
74	tad
69	buhs
68	mehs
64	arrid§an
64	Un
61	ar
61	Kri§tus
59	Deewa
54	par
52	eúmu
52	jeb
50	jo
50	ko
50	tohp
48	weens
47	tam
41	Kunga
41	man
41	pee
37	zaur
34	eúúat
33	Deews
33	eúúam
33	lai
32	Leetas
32	nu
32	tohs
32	wiúúi
30	juhúo
29	ka`
29	weena
28	ittin
27	pahr
27	weenu
26	kad
26	neds
26	wiòúch
25	pehz
24	buhtu
24	us
23	buht
23	Meeúa
22	Brahïi
22	daud§
21	JE§us
21	muhúo
21	Tad
21	tai
21	wiúúas
20	úawu
19	tu
18	dehï
18	lihd§
18	Meeúas
18	mums
18	paúchu
17	Paúaules
17	runna
17	Úeewa
17	tahm
16	ta`
16	warr
16	wiúúeem
15	bes
15	Deewam
15	Ja
15	Kungs
15	Pahwils
15	úakku
14	úew
14	wairak
14	wiúúu
14	zitti
13	Garru
13	Ne
13	úakka
13	úchahs
13	§innat
13	tomehr
13	Wihrs
13	wiòòa
13	1
12	Es
12	Ka
12	Kri§tu
12	pats
12	Wallodas
12	ween
12	wehl
11	appakúch
11	Garra
11	Garrs
11	labbu
11	Lohzekïi
11	Mihle§tiba
11	rak§tihts
11	úcho
10	buhdams
10	Draud§ibas
10	ehd
10	Leetahm
10	Ta
10	tapehz
10	tohpam
10	tur
10	weenam
9	Bauúlibas
9	Deewu
9	ir
9	itt
9	Jeb
9	mahza
9	Meeúu
9	neììi
9	ohtru
9	Prahta^
9	preekúch
9	§tarp
9	tappis
9	turr
9	Wihram
9	Zilweks
9	zittam
8	Dahwanas
8	darra
8	Guddribas
8	jepúchu
8	kahds
8	nahk
8	pa
8	peederr
8	Preezas=Mahzibu
8	Úeewai
8	Úeewas
8	Úeewu
8	Úirds
8	§tarpa^
8	Tapehz
8	taps
8	Tomehr
8	usmohdinahts
8	wiòòam
8	wiòòu
7	aizinahts
7	arrig
7	eet
7	Guddribu
7	ikweenam
7	kahda
7	Ko
7	Kungam
7	Kungu
7	Lauliba^
7	mannu
7	paleek
7	patt
7	peenahk
7	tahdi
7	Wihra
7	wiús
7	wiúúahm
7	zitta
7	zitts
6	Brahïeem
6	Brahlis
6	Darbs
6	darriht
6	da§chadas
6	eh§t
6	gahda
6	gribbu
6	ikkatram
6	Kas
6	labbaki
6	Lai
6	Mahza
6	Mahziba
6	manna
6	mans
6	Miººoòi
6	muhs
6	neneeka
6	No
6	paúcha
6	pirmajs
6	pretti
6	§inna
6	úweúcha^
6	tapatt
6	Tizziba
6	tohpeet
6	Waïïas
6	Walloda^
6	welti
6	wiòòo
6	Zilwekeem
5	BEt
5	bija
5	Dahwanahm
5	Darbu
5	dewis
5	Draud§ibahm
5	eúúoti
5	Galwu
5	gann
5	garriga
5	it
5	JE§u
5	Jrr
5	kri§titi
5	kur
5	lizzis
5	mann
5	Mauzibu
5	Mihle§tibas
5	Miººoòo
5	nahkt
5	Nahwe
5	noteek
5	Prahtu
5	runnaht
5	úawa^
5	úchi
5	úchim
5	Spehku
5	úweúchas
5	uspelnitu
5	Waïïa
5	warrat
5	warretu
5	wiúúa
5	wiúúa^s
5	wiúúaúchki
5	zitteem
5	6
4	aismigguúchi
4	atkal
4	Apu§tuls
4	Azz
4	Biííeri
4	darrajt
4	darrat
4	darrijis
4	darriti
4	Deena^
4	diwi
4	dohmu
4	dohta
4	d§eºº
4	d§ert
4	ehdeet
4	Elka=Deewo
4	eúúus
4	Galwa
4	Garra^
4	garrigahm
4	Ìeííiba
4	Ìeííibu
4	grehko
4	guddris
4	ikweens
4	jaw
4	Juddeem
4	Juhs
4	juhúu
4	kahdu
4	Kaunu
4	klaht
4	kohpa^
4	kri§tijis
4	Kru§ta^
4	Kur
4	kuººa^
4	kurúch
4	Leeta
4	Leeta^s
4	Lohzeklis
4	luhd§u
4	Meeúa^
4	Mehs
4	Miººoòeem
4	nahkúchu
4	nahktu
4	Nammu
4	newa
4	palikt
4	Paúaule
4	paúcham
4	paúchi
4	peederrahs
4	Prahts
4	preezajahs
4	red§ehts
4	úanahkat
4	Úaweenoúchana
4	úazziht
4	Schehla§tiba
4	Sinnaúchana
4	úluddinajam
4	Spehka
4	Úwehteem
4	úwehtu
4	Ta`
4	Tadehï
4	tahda^
4	Tapatt
4	tapt
4	Tas
4	trihs
4	usmohdinahti
4	ustaiúa
4	Ustaiúiúchanu
4	Wahrda
4	Wahrdeem
4	waijaga
4	Walloda
4	Waïïu
4	weenadu
4	weenas
4	wiòòas
4	Zilweka
4	zittadi
4	19
3	apúweizina
3	Algu
3	Apollus
3	Augúchamzelúchana
3	Augumu
3	Barribu
3	Bauúliba
3	Behrni
3	Behrno
3	Behrns
3	bij
3	bijat
3	Biííeris
3	Brahli
3	dabbiga
3	dabbu
3	dabbujis
3	dabbujs
3	Daïïa
3	darrihs
3	darru
3	dohdams
3	Draud§ibu
3	d§eººat
3	d§ihwoht
3	eedohdahs
3	eekúcha^
3	eemantohs
3	eezehlis
3	ehdam
3	Elka=Deewa
3	Eúúeet
3	eúúi
3	eúúu
3	Galda
3	garrigu
3	Gohdu
3	Greeíeºeem
3	Grehkeem
3	gribb
3	gribbetu
3	Guddriba
3	ikkatra
3	isred§ejis
3	is§tah§tiht
3	jelle
3	jep
3	Jttin
3	kahdam
3	Kahjahm
3	kahrtan
3	Kalpi
3	Kalpoúchanas
3	Kalps
3	kam
3	kïuh§t
3	kluúúu
3	Korinteºus
3	labban
3	labbi
3	Lohzekïeem
3	Mahzibas
3	Mai§e
3	manni
3	mannim
3	Mauzibas
3	meeúigi
3	mekle
3	mihle
3	mitteúees
3	muh§chigi
3	nahks
3	nahzis
3	neeka
3	neìì
3	Netaiúnibu
3	Netizzigeem
3	netizzigs
3	nezeenigi
3	nomirris
3	notiks
3	ohtram
3	ohtrs
3	padarra
3	Padohmu
3	Pahwiïa
3	paliktu
3	Parahdiúchana
3	parei§i
3	Paúaulei
3	Paúauli
3	paúcheem
3	Pateikúchanu
3	pateizu
3	patikt
3	peeklahjahs
3	Pehz
3	Pihúchleem
3	Pilniba
3	pilnigi
3	Prahtam
3	Preezas=Mahzibas
3	rak§tijis
3	Rauga
3	runnaju
3	úaprattigi
3	úawa
3	úazzitu
3	úchíeetahs
3	úchíeetu
3	§innama
3	§innamas
3	§innams
3	§iòòu
3	Úirdi^
3	úlehpt
3	úohdiht
3	§tarpa
3	Stepiòa
3	úwabbads
3	úwehts
3	tahdu
3	tappe
3	tappuúchi
3	taptu
3	teekams
3	teeúa
3	teeúahts
3	teizu
3	tik
3	tizzejúchi
3	turreht
3	uhs
3	UN
3	Wahrds
3	Wahrdu
3	Wahrdus
3	walko
3	Wal§tibu
3	Weena
3	weúúelu
3	Wihru
3	wiòòeem
3	wiúswairak
3	Zilwekam
3	Zilweki
3	Zilweko
3	Zilweku
3	zittas
3	zittu
3	11
3	12
3	7
2	aizinajs
2	alla§chiò
2	apòehmees
2	apúegta
2	apwilks
2	apwilkt
2	apzirpta
2	atúchíiººahs
2	at§ihts
2	at§tahdinaht
2	augúchamzehlees
2	aug§taku
2	aug§tas
2	Adams
2	Alga
2	Altari
2	Amen
2	Apollowa
2	Apu§tuïeem
2	Apu§tuli
2	Apu§tuïi
2	Apu§tuïus
2	Arrig
2	Aúúina
2	Aúúins
2	Atnahkúchanas
2	Atraitnehm
2	At§ihúchana^
2	Augïeem
2	Auús
2	baggati
2	Ba§une
2	Beedriba
2	Behdas
2	Bijaúchanas
2	Biííeºa
2	Brahïam
2	Brihdi
2	Buhúchanu
2	buhúeet
2	buhtut
2	dabbuhs
2	dabbujúchi
2	dahrgi
2	darbojahs
2	darrihts
2	darrijees
2	darriúi
2	da§chadi
2	Dau§iúchanu
2	Debbes
2	Deewi
2	Dehls
2	Deh§titais
2	deúmits
2	dohd
2	Dohmas
2	Draud§es
2	Draud§iba
2	Draud§ibai
2	d§eedaúchu
2	D§ellons
2	d§enneetees
2	d§ihwo
2	d§ihwu
2	D§irdeúchana
2	ee§tahdijis
2	ehdat
2	Ehku
2	Ehúchanas
