Vârdformu skaits:	2001
Vârdlietojumu skaits:	9182


333	irr
309	un
273	ne
251	ka
211	to
206	bet
191	es
189	ta
182	tas
150	kas
127	jo
127	juhs
114	no
97	tahs
96	ja
95	tad
89	eekúch
88	jums
84	teem
76	tee
72	mehs
69	buhs
64	arrid§an
61	ar
61	jeb
61	kri§tus
59	deewa
57	ko
55	par
52	eúmu
50	tohp
49	weens
48	tam
43	man
41	kunga
41	pee
39	lai
39	zaur
33	deews
33	eúúam
33	eúúat
33	wiúúi
32	juhúo
32	leetas
32	nu
32	tohs
32	weena
31	ittin
29	ka`
28	kad
28	pahr
28	pehz
27	neds
27	weenu
26	wiòúch
24	buhtu
24	us
23	buht
23	meeúa
23	tai
22	brahïi
22	daud§
21	je§us
21	muhúo
21	tomehr
21	wiúúas
20	ta`
20	tu
20	úawu
18	dehï
18	lihd§
18	meeúas
18	mums
18	paúchu
18	tapehz
17	paúaules
17	runna
17	tahm
17	úeewa
16	pahwils
16	warr
16	wiúúeem
15	bes
15	deewam
15	kungs
15	mahza
15	úakku
14	wairak
14	wiúúu
14	zitti
14	úchahs
14	úew
13	1
13	garru
13	wihrs
13	wiòòa
13	§innat
13	úakka
13	úcho
12	kri§tu
12	pats
12	tur
12	wallodas
12	ween
12	wehl
11	appakúch
11	garra
11	garrs
11	labbu
11	lohzekïi
11	mihle§tiba
11	rak§tihts
10	buhdams
10	draud§ibas
10	ehd
10	ir
10	itt
10	leetahm
10	tapatt
10	tohpam
10	weenam
9	arrig
9	bauúlibas
9	deewu
9	kahds
9	kur
9	meeúu
9	neììi
9	ohtru
9	prahta^
9	preekúch
9	tappis
9	turr
9	wihram
9	zilweks
9	zittam
9	§tarp
8	dahwanas
8	darra
8	guddribas
8	ikweenam
8	jepúchu
8	manna
8	nahk
8	pa
8	peederr
8	preezas=mahzibu
8	taps
8	usmohdinahts
8	wiòòam
8	wiòòu
8	wiús
8	§tarpa^
8	úeewai
8	úeewas
8	úeewu
8	úirds
7	aizinahts
7	eet
7	guddribu
7	ikkatram
7	kahda
7	kungam
7	kungu
7	lauliba^
7	mannu
7	paleek
7	patt
7	peenahk
7	tahdi
7	waïïas
7	wihra
7	wiúúahm
7	zitta
7	zitts
6	brahlis
6	brahïeem
6	darriht
6	da§chadas
6	eh§t
6	gahda
6	gribbu
6	ikweens
6	labbaki
6	mahziba
6	miººoòi
6	muhs
6	neneeka
6	paúcha
6	pirmajs
6	pretti
6	tizziba
6	tohpeet
6	walloda^
6	waïïa
6	welti
6	wiòòo
6	zilwekeem
6	zittadi
6	§inna
6	úweúcha^
5	19
5	6
5	bija
5	dahwanahm
5	darbs
5	darbu
5	dewis
5	draud§ibahm
5	eúúeet
5	eúúi
5	eúúoti
5	galwu
5	gann
5	garriga
5	guddris
5	it
5	je§u
5	kri§titi
5	kurúch
5	lizzis
5	mann
5	mans
5	mauzibu
5	mihle§tibas
5	miººoòo
5	nahkt
5	nahwe
5	noteek
5	prahtu
5	runnaht
5	spehku
5	tadehï
5	uspelnitu
5	warrat
5	warretu
5	wiúúa
5	wiúúa^s
5	wiúúaúchki
5	zitteem
5	úawa^
5	úchi
5	úchim
5	úweúchas
4	aismigguúchi
4	apu§tuls
4	atkal
4	azz
4	biííeri
4	darrajt
4	darrat
4	darrijis
4	darriti
4	deena^
4	diwi
4	dohmu
4	dohta
4	d§ert
4	d§eºº
4	ehdeet
4	elka=deewo
4	eúúus
4	galwa
4	garra^
4	garrigahm
4	grehko
4	ikkatra
4	jaw
4	juddeem
4	juhúu
4	kahdu
4	kaunu
4	klaht
4	kohpa^
4	kri§tijis
4	kru§ta^
4	kuººa^
4	leeta
4	leeta^s
4	lohzeklis
4	luhd§u
4	meeúa^
4	miººoòeem
4	nahktu
4	nahkúchu
4	nammu
4	netizzigeem
4	netizzigs
4	newa
4	neìì
4	palikt
4	paúaule
4	paúcham
4	paúchi
4	peederrahs
4	prahtam
4	prahts
4	preezajahs
4	rak§tu
4	red§ehts
4	runnaju
4	schehla§tiba
4	sinnaúchana
4	spehka
4	tahda^
4	tapt
4	trihs
4	usmohdinahti
4	ustaiúa
4	ustaiúiúchanu
4	wahrda
4	wahrdeem
4	waijaga
4	walloda
4	waïïu
4	weenadu
4	weenas
4	wiòòas
4	zilweka
4	ìeííiba
4	ìeííibu
4	úanahkat
4	úaweenoúchana
4	úazziht
4	úchis
4	úluddinajam
4	úwehteem
4	úwehtu
3	11
3	12
3	7
3	algu
3	apollus
3	apúweizina
3	augumu
3	augúchamzelúchana
3	barribu
3	bauúliba
3	behrni
3	behrno
3	behrns
3	bij
3	bijat
3	biííeris
3	brahli
3	dabbiga
3	dabbu
3	dabbujis
3	dabbujs
3	darrihs
3	darru
3	daïïa
3	dohdams
3	draud§ibu
3	d§eººat
3	d§ihwoht
3	eedohdahs
3	eekúcha^
3	eemantohs
3	eezehlis
3	ehdam
3	elka=deewa
3	eúúu
3	galda
3	garrigu
3	gohdu
3	greeíeºeem
3	grehkeem
3	gribb
3	gribbetu
3	guddriba
3	isred§ejis
3	is§tah§tiht
3	jelle
3	jep
3	kahdam
3	kahjahm
3	kahrtan
3	kalpi
3	kalpoúchanas
3	kalps
3	kam
3	kauna^
3	kluúúu
3	korinteºus
3	kïuh§t
3	labban
3	labbi
3	lohzekïeem
3	mahzibas
3	mai§e
3	manni
3	mannim
3	mauzibas
3	maììums
3	meeúigi
3	mekle
3	mihle
3	mitteúees
3	muh§chigi
3	nahks
3	nahzis
3	neeka
3	netaiúnibu
3	netizziga
3	nezeenigi
3	nomirris
3	notiks
3	ohtram
3	ohtrs
3	padarra
3	padohmu
3	pahwiïa
3	paliktu
3	papreekúch
3	parahdiúchana
3	parei§i
3	pateikúchanu
3	pateizu
3	patikt
3	paúaulei
3	paúauli
3	paúcheem
3	peeklahjahs
3	pihúchleem
3	pilniba
3	pilnigi
3	preezas=mahzibas
3	prohti
3	rak§tijis
3	rauga
3	stepiòa
3	tahdu
3	tappe
3	tappuúchi
3	taptu
3	teekams
3	teeúa
3	teeúahts
3	teeúajeet
3	teizu
