Vârdformu skaits:	936
Vârdlietojumu skaits:	2299


89	un
87	irr
54	kas
52	ka
47	ne
41	eekúch
40	to
35	ta
31	tahs
30	Deewa
29	teem
25	no
22	tas
21	Bet
19	buhs
18	tee
17	es
16	Tizzibas
15	ar
15	pee
14	Jo
14	Kri§tus
14	ja
14	tam
13	weens
12	JE§us
12	bet
12	lai
11	arrid§an
11	úew
10	Leetas
10	Un
10	labbu
10	par
10	paúchu
9	muhúo
9	preekúch
9	tahm
9	tew
9	tohp
8	ko
8	tohs
8	tu
8	weena
8	wiúúeem
7	neds
7	pehz
6	Deewu
6	Kas
6	Leetahm
6	Mahzibas
6	Pahwils
6	itt
6	jeb
6	jo
6	mehs
6	wairak
6	úawu
5	1
5	Kunga
5	Nammu
5	Schehla§tiba
5	buht
5	daud§
5	eúmu
5	labbi
5	mahza
5	uhs
5	us
5	warr
5	weenu
5	zaur
4	Atraitnes
4	Behrnus
4	Deews
4	Mihle§tibas
4	Ne
4	No
4	Ta`
4	Tizzibu
4	Wahrds
4	eet
4	ka`
4	kam
4	man
4	nahk
4	nu
4	pahr
4	parei§i
4	patt
4	pirmak
4	tad
4	turrahs
4	walda
4	weenam
4	wiúúas
4	zitti
4	Úeewahm
4	Úeewas
4	úawus
4	úchahs
3	3
3	8
3	Amen
3	Darbeem
3	D§ihwoúchanu
3	Gohda
3	Ka
3	Leezibu
3	Mahza
3	Mahzibu
3	Paligu
3	Par
3	Pateeúibas
3	Paúaule^
3	Tad
3	Tahs
3	Teem
3	Wihra
3	Zilwekeem
3	Zilweks
3	appakúch
3	bijuúi
3	d§ihwa
3	eúúam
3	grib
3	jaunakas
3	kad
3	labba
3	labbeem
3	labpraht
3	mahziht
3	muh§chigu
3	mums
3	nahkt
3	neneeka
3	pawehl
3	peenahkahs
3	prett
3	tapt
3	turreht
3	turri
3	waldiht
3	ween
3	wiús
3	wiúúa
3	wiúúahm
3	wiúúo
3	wiúúu
3	zittadi
3	§tarp
3	Úcho
3	Úeewa
3	Úirds
3	úakka
3	úargatees
3	úawa
2	11
2	12
2	15
2	4
2	6
2	Adams
2	Ak
2	Amata
2	Amatu
2	Apu§tuls
2	Atraitne
