Vârdformu skaits:	669
Vârdlietojumu skaits:	1480


63	un
50	irr
43	to
37	tahs
28	no
28	ta
26	ka
26	ne
24	kas
20	eekúch
17	tee
17	zaur
14	teem
14	us
13	Jo
13	Un
13	jums
11	Deewa
11	arrid§an
11	juhs
11	muhúu
10	Kunga
10	ar
10	tohs
9	Bet
9	JE§us
9	eúúam
9	ka`
9	kad
8	Kri§tus
8	mehs
8	tas
7	Leetas
7	buhs
7	itt
7	juhúu
7	pehz
7	wiòòu
6	bet
6	es
6	ko
6	weena
6	weenu
5	Debbeúis
5	Pe§titaja
5	jo
5	mums
5	pee
5	tohp
4	At§ihúchanas
4	At§ihúchanu
4	Deena
4	Mihïee
4	Pehteris
4	ja
4	kuººa^
4	pateeúi
4	tad
4	tam
4	wiòòa
4	wiòúch
4	úchahs
4	úcho
3	Apúohliúchanas
3	Kungs
3	Paúaules
3	Semme
3	Tadehï
3	Taiúnibas
3	Wahrdu
3	Zilweka
3	Zilweku
3	atkal
3	bija
3	nu
3	pakkaï
3	papreekúch
3	paúchu
3	tahm
3	tai
3	taiúnu
3	uhs
3	weens
3	wiúúas
3	§innadami
3	§uddihs
3	Úcho
3	Úohdibas
3	úawas
3	úawu
2	3
2	Algu
2	Atnahkúchanas
2	Azzis
2	Balúi
2	Darbeem
2	Deenu
2	Deews
2	Eekahroúchanahm
2	Eeúahkumi
2	Gaddi
2	Gohdibas
2	Grehkeem
2	Jsnihkúchanas
2	Jttin
2	Ka
2	Kalpoúchanas
2	Kar§tuma
2	Kas
2	Kungu
2	Laiko^s
2	Mahziba
2	Meeúas
2	Netaiúnibas
2	Pateeúibas
2	Pa§uúchanu
2	Praweeúchu
2	Tad
2	Tikkumu
2	Tizzibas
2	Uhdeni
2	Wahrds
2	Zaur
2	alla§chiò
2	atgree§tees
2	bij
2	bijuúchi
2	buht
2	buhtu
2	darbojeetees
2	daud§
2	d§ihwo
2	gaidat
2	isbehguúchi
2	ittin
2	kawejahs
2	lab
2	lai
2	mahza
2	man
2	mihïais
2	nahks
2	negantu
2	pahr
2	par
2	patt
2	paúchi
2	pirmi
2	preekúch
2	taggad
2	tapt
2	tik
2	tomehr
2	tuhk§toúchi
2	warr
2	wehra
2	zeek
2	§aimodami
2	§inna
2	§tiprinati
2	úaud§ejis
2	úchíeet
2	úwehta
1	1
1	10
1	12
1	14
1	19
1	2
1	9
1	Aiseeúchanu
1	Aizinaúchanu
1	Akkas
1	Alloúchanas
1	Amen
1	Apgahniúchanai
1	Apgahúchanu
1	Aprak§ta
1	Aptraipumi
1	Apu§tuls
1	Apu§tuïi
1	Apúlihzinaúchanu
1	Apúohla
1	Apúohliúchana
1	Atgahdaúchana
1	Atnahkúchanu
1	Bala&a&m
1	Balús
1	Bauúla
1	Behrni
1	Besdeewigu
1	Beskaunibahm
1	Besprahtibu
1	Bo§ora
1	Brahlis
1	Brahïi
1	Buhúchana^
1	Buhúchanu
1	Dabbas
1	Dabbudami
1	Dallibu
1	Darbi
1	Darboúchanu
1	Debbes
1	Deena^s
1	Deenas
1	Deewa=Wahrdu
1	Deewa=Úohdibai
1	Dehla
1	Dehls
1	Dubïo^s
1	Dwehúeles
1	Dwehúeli
1	D§ihre^s
1	D§ihwokli^
1	D§ihwokïa
1	D§ihwoúchanas
1	Eeeeúchana
1	Eekahroúchanu
1	Eeúahkuma
1	Elle^
1	Eòìeïi
1	Eòìeïus
1	Gaddibas
1	Gaddibu
1	Garra
1	Gohda^
1	Gohdibu
1	Gohds
1	Gohdu
1	Gomorru
1	Grahmata^s
1	Grahmatu
1	Grehku
1	Gribbeúchanu
1	Gudribas
1	Jsglahbúchanu
1	Jsred§eúchanu
1	Js§tah§tiúchanas
1	Kahrdinaúchanas
1	Kahribahm
1	Kahribu
1	Kalnu
1	Kalpi
1	Kalpoúchana^
1	Kalpoúchanu
1	Kalps
1	Kalpu
1	Kaweúchanu
1	Kur
1	Kurmju
1	Laika
1	Laika^
1	Lattu
1	Laulibas=Pahrkahpajas
1	Leeta^
1	Leetahm
1	Leezeet
1	Leezibu
1	Lehnprahtibu
1	Lohps
1	Mahza
1	Mahzibas
1	Mahzitajeem
1	Mahzitaji
1	Manta
1	Meera
1	Meers
1	Mehditajeem
1	Mihle§tibu
1	Mihlibas
1	Mihlibu
1	Mohziúchanu
1	Nakti^
1	Na§ta
1	Negauúibas
1	Negauúibu
1	Netaiúnus
1	No&a&úu
1	Nolikúchana
1	Nomaitaúchanas
1	Padebbeúes
1	Pahrkahpúchanas
1	Pahrleezinaúchana
1	Pahwils
1	Pawehleúchanu
1	Pazeeúchanas
1	Pazeeúchanu
1	Pa§uúchana
1	Pa§uúchanahm
1	Pa§uúchanas
1	Paúakkahm
1	Paúaule
1	Paúaule^
1	Paúauli
1	Pee=augajt
1	Peeminneúchanu
1	Peewilúchana^s
1	Peewilúchanu
1	Pelno^s
1	Pilsúatus
1	Prahts
1	Prahtu
1	Praweeta
1	Prawee§chu
1	Praweeúcheem
1	Praweeúchi
1	Preekúch=Sihmi
1	Raddibas
1	Rak§ta
1	Rak§tus
1	Rihta=Swaig§ne
1	Ruhkúchanu
1	Saglis
1	Schehla§tiba
1	Schehla§tibas
1	Semmi
1	Sinnadams
1	Siòòu
1	Sohdomu
1	Spehka
1	Spehka^
1	Spehks
1	Stipruma
1	Swehri
1	Ta`
1	Taiúniba
1	Tapehz
1	Tas
1	Teeúu
1	Tehwa
1	Tehwi
1	Tikkuma
1	Tizzibu
1	Tumúiba
1	Tumúibas
1	UN
1	Ugguni
1	Uhdens=Pluhdeem
1	Uhdeòa
1	Usluhkotaji
1	Wahrdeem
1	Wahrdus
1	Wainas
1	Wal§tibu
1	Warra^
1	Weenu
1	Weeta^
1	Weeúuli
1	Wehmekli
1	Wirúneezibas
1	Zelúch
1	Zeïïa
1	Zeïïam
1	Zeïïu
1	Zilweki
1	Zilweks
1	Zuhka
1	ahtri
1	ahtru
1	aiskawejis
1	aisleegdami
1	aismigguúchi
1	aismirúis
1	aizinajis
1	akls
1	apgahniti
1	apgrehkojuúchees
1	apgruhtinahts
1	atgahdatees
1	atgahdinaht
1	atgreeúchanu
1	atpirzis
1	atra§ti
1	at§tahdami
1	at§tahs
1	aug§titeizamas
1	au§t
1	a§totu
1	bagatigi
1	baggatigi
1	behgdami
1	bes
1	besbalúigs
1	besdeewigi
1	besdeewigu
1	besprahtigi
1	beswainigi
1	bijam
1	bijatajus
1	brahligas
1	brahligu
1	buhdami
1	dabbigi
1	dabbujam
1	dabbujat
1	dabbujis
1	dabbujuúchi
1	dahrgas
1	dahrgu
1	dahwanajis
1	dahwanatas
1	darboúchohs
1	darrat
1	darridami
1	darriht
1	darrihts
1	darriti
1	darriúees
1	deeniúchku
1	deewi§kigas
1	deewiúkigs
1	degdami
1	dewis
1	dewuúchi
1	dohta
1	drebb
1	drihs
1	drohúchi
1	d§ennahs
1	d§ihti
1	d§ihúees
1	d§innuúchees
1	d§irdedams
1	d§irdejuúchi
1	eedohts
1	eepihti
1	eeraddinatu
1	eerihj
1	eeweddihs
