Vârdformu skaits:	651
Vârdlietojumu skaits:	1480


77	un
50	irr
43	to
37	tahs
28	ka
28	no
28	ta
26	kas
26	ne
20	eekúch
19	zaur
18	jo
17	tee
15	bet
14	teem
14	us
13	jums
11	arrid§an
11	deewa
11	juhs
11	muhúu
10	ar
10	kunga
10	tohs
9	eúúam
9	je§us
9	ka`
9	kad
9	tas
8	kri§tus
8	mehs
7	buhs
7	itt
7	juhúu
7	leetas
7	pehz
7	weenu
7	wiòòu
7	úcho
6	es
6	ko
6	tad
6	weena
5	debbeúis
5	mums
5	pee
5	pe§titaja
5	tohp
4	at§ihúchanas
4	at§ihúchanu
4	deena
4	ittin
4	ja
4	kuººa^
4	mihïee
4	pateeúi
4	pehteris
4	tam
4	wiòòa
4	wiòúch
4	úchahs
3	apúohliúchanas
3	atkal
3	bija
3	kungs
3	mahza
3	nu
3	pakkaï
3	papreekúch
3	paúaules
3	paúchu
3	semme
3	tadehï
3	tahm
3	tai
3	taiúnibas
3	taiúnu
3	uhs
3	wahrdu
3	weens
3	wiúúas
3	zilweka
3	zilweku
3	§innadami
3	§uddihs
3	úawas
3	úawu
3	úohdibas
2	3
2	algu
2	alla§chiò
2	atgree§tees
2	atnahkúchanas
2	azzis
2	balúi
2	besdeewigu
2	bij
2	bijuúchi
2	buht
2	buhtu
2	darbeem
2	darbojeetees
2	daud§
2	deenu
2	deews
2	d§ihwo
2	eekahroúchanahm
2	eeúahkumi
2	gaddi
2	gaidat
2	gohdibas
2	grehkeem
2	isbehguúchi
2	isnihkúchanas
2	kalpoúchanas
2	kar§tuma
2	kawejahs
2	kungu
2	kur
2	lab
2	lai
2	laiko^s
2	mahziba
2	man
2	meeúas
2	mihïais
2	nahks
2	negantu
2	netaiúnibas
2	pahr
2	par
2	pateeúibas
2	patt
2	pa§uúchanu
2	paúchi
2	pirmi
2	praweeúchu
2	preekúch
2	ta`
2	taggad
2	tapt
2	tik
2	tikkumu
2	tizzibas
2	tomehr
2	tuhk§toúchi
2	uhdeni
2	wahrds
2	warr
2	wehra
2	zeek
2	§aimodami
2	§inna
2	§tiprinati
2	úaud§ejis
2	úchee
2	úchis
2	úchíeet
2	úwehta
1	1
1	10
1	12
1	14
1	19
1	2
1	9
1	ahtri
1	ahtru
1	aiseeúchanu
1	aiskawejis
1	aisleegdami
1	aismigguúchi
1	aismirúis
1	aizinajis
1	aizinaúchanu
1	akkas
1	akls
1	alloúchanas
1	amen
1	apgahniti
1	apgahniúchanai
1	apgahúchanu
1	apgrehkojuúchees
1	apgruhtinahts
1	aprak§ta
1	aptraipumi
1	apu§tuls
1	apu§tuïi
1	apúlihzinaúchanu
1	apúohla
1	apúohliúchana
1	atgahdatees
1	atgahdaúchana
1	atgahdinaht
1	atgreeúchanu
1	atnahkúchanu
1	atpirzis
1	atra§ti
1	at§tahdami
1	at§tahs
1	aug§titeizamas
1	au§t
1	a§totu
1	bagatigi
1	baggatigi
1	bala&a&m
1	balús
1	bauúla
1	behgdami
1	behrni
1	bes
1	besbalúigs
1	besdeewigi
1	beskaunibahm
1	besprahtibu
1	besprahtigi
1	beswainigi
1	bijam
1	bijatajus
1	bo§ora
1	brahligas
1	brahligu
1	brahlis
1	brahïi
1	buhdami
1	buhúchana^
1	buhúchanu
1	dabbas
1	dabbigi
1	dabbudami
1	dabbujam
1	dabbujat
1	dabbujis
1	dabbujuúchi
1	dahrgas
1	dahrgu
1	dahwanajis
1	dahwanatas
1	dallibu
1	darbi
1	darboúchanu
1	darboúchohs
1	darrat
1	darridami
1	darriht
1	darrihts
1	darriti
1	darriúees
1	debbes
1	deena^s
1	deenas
1	deeniúchku
1	deewa=wahrdu
1	deewa=úohdibai
1	deewi§kigas
1	deewiúkigs
1	degdami
1	dehla
1	dehls
1	dewis
1	dewuúchi
1	dohta
1	drebb
1	drihs
1	drohúchi
1	dubïo^s
1	dwehúeles
1	dwehúeli
1	d§ennahs
1	d§ihre^s
1	d§ihti
1	d§ihwokli^
1	d§ihwokïa
1	d§ihwoúchanas
1	d§ihúees
1	d§innuúchees
1	d§irdedams
1	d§irdejuúchi
1	eedohts
1	eeeeúchana
1	eekahroúchanu
1	eepihti
1	eeraddinatu
1	eerihj
1	eeweddihs
1	eezehlis
1	eezeltus
1	eeúahkuma
1	elle^
1	eòìeïi
1	eòìeïus
1	eúmu
1	eúúat
1	eúúus
1	gaddibas
1	gaddibu
1	gaidam
1	gan
1	garra
1	gohda^
1	gohdibu
1	gohds
1	gohdu
1	gomorru
1	grahmata^s
1	grahmatu
1	grehku
1	gribbedams
1	gribbeúchanu
1	gruhti
1	gudribas
1	guh§titi
1	ih§tena
1	ikdeenas
1	ikweenam
1	ilgi
1	isbehgs
1	isglahbúchanu
1	isguddrotahm
1	iskrihtat
1	iskuh§t
1	iskuúúihs
1	ismahziti
1	ispuúchkoteem
1	israhwis
1	israut
1	isred§eúchanu
1	is§tah§tiúchanas
1	is§uddihs
1	jaunas
1	jaunu
1	jaw
1	jepúchu
1	kadehï
1	kahdam
1	kahrdinaúchanas
1	kahribahm
1	kahribu
1	kahrigi
1	kahrtigi
1	kalnu
1	kalpi
1	kalpoúchana^
1	kalpoúchanu
1	kalps
1	kalpu
1	kam
1	kawe
1	kaweúchanu
1	klaht
1	klahtbuhdamas
1	klupúeet
1	krahpdami
1	krahpj
1	kuhtrus
1	kurmju
1	kuººa
1	kuººa^s
1	kuººam
1	labbaki
1	labbeem
1	labbi
1	labs
1	laika
1	laika^
1	lattu
1	laulibas=pahrkahpajas
1	leelakas
1	leelaki
1	leelas
1	leeta^
1	leetahm
1	leezeet
1	leezibu
1	lehnprahtibu
1	lehnprahtigs
1	lepnus
1	lihd§
1	likdams
1	lohps
1	mahjoda~s
1	mahzibas
1	mahzitajeem
1	mahzitaji
1	maitata
1	maldijuúchees
1	manna
1	mannu
1	mans
1	manta
1	meera
1	meers
1	mehditajeem
1	mehr
1	mehtatas
1	me§dami
1	mihle§tibu
1	mihlibas
1	mihlibu
1	mihïoja
1	mittejahs
1	mitteúchohs
1	mohzijis
1	mohziúchanu
1	muhs
1	muh§chigi
1	muh§chigo^s
1	muh§chigu
1	muhúas
1	nakti^
1	na§ta
1	neaugligus
1	neds
1	negauúibas
1	negauúibu
1	nekahdu
1	netaiúneem
1	netaiúnus
1	ne§dams
1	ne§tipprinatas
1	neúchíih§tahm
1	neúchíih§tu
1	neús
1	niknakas
1	nizzina
1	no&a&úu
1	nodewis
1	nogah§is
1	nokauti
1	nolahdeti
1	nolikti
1	nolikúchana
1	nomaitaúchanas
1	noteekam
1	notikke
1	notikkuúi
1	notiks
1	notizzis
1	nowe§ti
1	noúohdijis
1	ohtru
1	pa
1	padebbeúes
1	paglabbojis
1	pahrgroh§a
1	pahrkahpúchanas
1	pahrleezinaúchana
1	pahrwahrehts
1	pahwils
1	paleek
1	papreekúchaju
1	patgalwigi
1	paturreht
1	paturreta
1	paturreti
1	pawehleúchanu
1	pazeeúchanas
1	pazeeúchanu
1	pa§iht
1	pa§innuúchi
1	pa§tahwedami
1	pa§taras
