Vârdformu skaits:	440
Vârdlietojumu skaits:	1035


41	un
32	ka
22	jums
22	ta
21	ne
21	to
20	irr
18	tas
17	juhs
17	muhúo
17	tahs
16	no
15	kas
14	eekúch
14	mehs
13	Kri§tus
13	Kunga
13	ar
13	pee
11	JE§us
10	Deewa
10	Deews
10	Un
9	zaur
8	Bet
8	mums
8	teem
7	Brahïi
7	ko
7	par
7	tohp
6	Kungs
6	juhúo
5	arrid§an
5	bet
5	wiúúeem
4	Jo
4	eúúam
4	gribbetu
4	itt
4	jeb
4	jo
4	ka`
4	lai
4	neds
4	preekúch
4	tee
4	tohs
3	Deewam
3	Grahmatu
3	Ka
3	Tizzibas
3	Wahrdu
3	alla§chiò
3	buhs
3	darrihts
3	es
3	ja
3	juhúu
3	labbu
3	muh§chigu
3	pawehïam
3	paúchu
3	pehz
3	tadehï
3	tai
3	tapt
3	tohpat
3	weenu
3	wiúúadu
3	§innams
3	§trahdadami
2	1
2	4
2	6
2	Ar
2	Atnahkúchanas
2	Behdahm
2	Darbu
2	Deena^
2	Deewu
2	Garru
2	Grahmatas
2	Kas
2	Mahzibas
2	Mai§i
2	Meeru
2	Mihle§tibu
2	Netaiúnibas
2	No
2	Pahwils
2	Par
2	Pateeúibas
2	Schehla§tiba
2	Schehla§tibas
2	Spehku
2	Ta
2	Tehwa
2	Teúúalonikeºus
2	Tizziba
2	Wahrds
2	Wal§tibas
2	aiskawe
2	bes
2	doht
2	d§ihtees
2	eepreezina
2	ir
2	kad
2	luhd§am
2	nomaitahs
2	nu
2	pagohdinahts
2	pakkaï
2	pateikt
2	pats
2	paúchi
2	peenahkahs
2	ta`
2	tam
2	turrajt
2	uhs
2	us
2	wiòúch
2	wiúúu
2	§innat
2	§taiga
2	§tarpa^
2	§trahdaht
2	Úirdis
2	úawas
1	11
1	12
1	13
1	14
1	16
1	2
1	3
1	Aizinaúchanas
1	Amen
1	Apalloúchanu
1	Apúweizinaúchana
1	Atkahpúchana
1	Atnahkúchana
1	Atnahkúchanu
1	Atreebúchanu
1	Atweegloúchanu
1	Behdahs
1	Behdinatajeem
1	Besbauúligajs
1	Brahli
1	Brahïa
1	Brahïeem
1	Brihnumeem
1	Darboúchanas
1	Debbeúu
1	Deena
1	Deewa=Namma^
1	Dehls
1	Draud§ibahm
1	Draud§ibai
1	Draud§ibas
1	D§ihwoúchanu
1	Eenaidneeku
1	Eenaidneekus
1	Eepreezinaúchanu
1	Eeúahkuma
1	Enìeïeem
1	Garra
1	Gohda=Ïaudis
1	Gohdiba^
1	Gohdibas
1	Grehko
1	JE§u
1	JOprojam
1	Jsrahdiúchanu
1	Kad
1	Kalpoúchana
1	Kri§tu
1	Kungu
1	Kuººa
1	Lai
1	Laika^
1	Leetas
1	Leezibai
1	Leeúmahm
1	Lehnibas
1	Lihd§
1	MUms
1	Mahzitajeem
1	Makúas
1	Meera
1	Meers
1	Mehs
1	Meleem
1	Mihle§tiba
1	Muttes
1	Nakti^
1	Ne
1	Neds
1	Neggi
1	Neklauúigus
1	Netaiúnibu
1	Noúlehpums
1	PAhwils
1	Pabeid§
1	Pahwila
1	Parahdiúchanas
1	Parahdiúchanu
1	Pateeúibai
1	Pateikúchanas
1	Patikúchana
1	Pazeeúchanas
1	Pazeeúchanu
1	Pa§trahdaúchanu
1	Pa§uúchanas
1	Peekuúchanas
1	Peewilúchanu
1	Prahta
1	Prahta`
1	Prahtu
1	Praweeúcho=Mahziba
1	Preekúcha=Sihmi
1	Preezas=Mahzibai
1	Preezas=Mahzibas
1	Preezas=Mahzibu
1	Pretti=Kri§tus
1	Rohku
1	Sihme
1	Sihmehm
1	Silwans
1	Spehka
1	Ta`
1	Tad
1	Tas
1	Tehws
1	Teúúalonikeºo
1	Tikkuúchi
1	Timotejus
1	Tizzibu
1	Tizzigeem
1	To
1	Tohs
1	UN
1	Ugguns
1	Uhs
1	Wahrda
1	Wahrdam
1	Waiga
1	Waijaúchanahm
1	Waïïas
1	Weena
1	Wehle
1	Zerribu
1	Zilwekeem
1	Zilweks
1	aizinajis
1	allaúchiò
1	apkaunahts
1	ap§tipprina
1	ap§tipprinahs
1	arri
1	atgahdajeetees
1	atmakúahs
1	atmakúaht
1	atpe§titi
1	at§tahtees
1	atòemtam
1	aug
1	augama
1	behdinati
1	bijam
1	bijuúi
1	brihnigs
1	buhdams
1	buhtu
1	buhtum
1	dabbujis
1	darrat
1	darridami
1	darriht
1	darriúeet
1	dehï
1	dewis
1	dohdam
1	d§ihdami
1	d§irdam
1	ehd
1	ehduúchi
1	eh§t
1	eúmu
1	eúúohts
1	eúúoti
1	gohdahts
1	gribb
1	gruhti
1	ihpaúchi
1	ikkatra
1	ikkatras
1	ikweena
