Vârdformu skaits:	417
Vârdlietojumu skaits:	1035


52	un
35	ka
24	ta
22	jums
22	ne
22	to
20	irr
19	tas
18	no
17	juhs
17	kas
17	muhúo
17	tahs
15	ar
15	mehs
14	eekúch
13	bet
13	kri§tus
13	kunga
13	pee
11	je§us
10	deewa
10	deews
9	mums
9	par
9	zaur
8	jo
8	teem
7	brahïi
7	ko
7	tohp
6	juhúo
6	kungs
5	arrid§an
5	lai
5	neds
5	tohs
5	wiúúeem
4	eúúam
4	gribbetu
4	itt
4	jeb
4	ka`
4	preekúch
4	tee
3	alla§chiò
3	buhs
3	darrihts
3	deewam
3	es
3	grahmatu
3	ja
3	juhúu
3	kad
3	labbu
3	muh§chigu
3	pahwils
3	paúchu
3	pawehïam
3	pehz
3	§innams
3	§trahdadami
3	ta`
3	tadehï
3	tai
3	tapt
3	tizzibas
3	tohpat
3	uhs
3	wahrdu
3	weenu
3	wiúúadu
2	aiskawe
2	atnahkúchanas
2	behdahm
2	bes
2	darbu
2	deena^
2	deewu
2	doht
2	d§ihtees
2	eepreezina
2	garru
2	grahmatas
2	ir
2	luhd§am
2	mahzibas
2	mai§i
2	meeru
2	mihle§tibu
2	netaiúnibas
2	nomaitahs
2	nu
2	pagohdinahts
2	pakkaï
2	paúchi
2	pateeúibas
2	pateikt
2	pats
2	peenahkahs
2	úawas
2	schehla§tiba
2	schehla§tibas
2	§innat
2	úirdis
2	spehku
2	§taiga
2	§tarpa^
2	§trahdaht
2	tad
2	tam
2	tehwa
2	teúúalonikeºus
2	tizziba
2	turrajt
2	us
2	wahrds
2	wal§tibas
2	wiòúch
2	wiúúu
2	1
2	4
2	6
1	aizinajis
1	aizinaúchanas
1	allaúchiò
1	amen
1	apalloúchanu
1	apkaunahts
1	ap§tipprina
1	ap§tipprinahs
1	apúweizinaúchana
1	arri
1	atgahdajeetees
1	atkahpúchana
1	atmakúahs
1	atmakúaht
1	atnahkúchana
1	atnahkúchanu
1	atòemtam
1	atpe§titi
1	atreebúchanu
1	at§tahtees
1	atweegloúchanu
1	aug
1	augama
1	behdahs
1	behdinatajeem
1	behdinati
1	besbauúligajs
1	bijam
1	bijuúi
1	brahïa
1	brahïeem
1	brahli
1	brihnigs
1	brihnumeem
1	buhdams
1	buhtu
1	buhtum
1	dabbujis
1	darboúchanas
1	darrat
1	darridami
1	darriht
1	darriúeet
1	debbeúu
1	deena
1	deewa=namma^
1	dehï
1	dehls
1	dewis
1	dohdam
1	draud§ibahm
1	draud§ibai
1	draud§ibas
1	d§ihdami
1	d§ihwoúchanu
1	d§irdam
1	eenaidneeku
1	eenaidneekus
1	eepreezinaúchanu
1	eeúahkuma
1	ehd
1	ehduúchi
1	eh§t
1	enìeïeem
1	eúmu
1	eúúohts
1	eúúoti
1	garra
1	gohda=ïaudis
1	gohdahts
1	gohdiba^
1	gohdibas
1	grehko
1	gribb
1	gruhti
1	ihpaúchi
1	ikkatra
1	ikkatras
1	ikweena
1	isdeldehs
1	isd§iht
1	israhdiúchanu
1	isred§ejis
1	isúunnijeet
1	istruhzinati
1	iswehlejis
1	ittin
1	jaw
1	je§u
1	joprojam
1	juhúeem
1	kalpoúchana
1	kam
1	kaúchu
1	klaht
1	kïuhs
1	kri§tu
1	kungu
1	kuººa
1	kuººam
1	kuººu
1	ku§tahs
1	labb
1	labba
1	laika^
1	ïauna
1	ïauneem
1	leelijamees
1	leeúmahm
1	leetas
1	leezibai
1	lehnibas
1	lihd§
1	luhd§eet
1	luhgt
1	mahzitajeem
1	mahzitas
1	makúas
1	mannu
1	meera
1	meers
1	mehtati
1	meleem
1	mettahs
1	mihlejis
1	mihle§tiba
1	mihïoti
1	muhs
1	muhúu
1	muttes
1	nahk
1	nahks
1	nahkuúi
1	nakti^
1	neeka
1	neggi
1	neklauúigus
1	nepateeúu
1	netaiúnibu
1	netikli
1	netiklii`
1	neweens
1	noúlehpums
1	ohtru
1	paaug§tinajahs
1	pabeid§
1	pahr
1	pahwila
1	paklauúigi
1	paklauúigs
1	pakuhdinajeet
1	paneúúat
1	papreekúchu
1	parahdiúchanas
1	parahdiúchanu
1	parahdiúees
1	parei§i
1	paúargahs
1	paúchus
1	pa§ih§t
1	pa§kubbinajam
1	pa§tahweet
1	pa§tahwigi
1	pa§trahdaúchanu
1	pa§udduúchi
1	pa§uúchanas
1	pateeúibai
1	pateikúchanas
1	pateiz
1	patikúchana
1	patt
1	paturreht
1	pawehl
1	pawehlejúchi
1	pazeeúchanas
1	pazeeúchanu
1	peederrahs
1	peekuh§teet
1	peekuúchanas
1	peeòehmuúchi
1	peepildiht
1	peetizzigs
1	peewiïï
1	peewilúchanu
1	prahta
1	prahta`
1	prahtu
1	praweeúcho=mahziba
