Vârdformu skaits:	709
Vârdlietojumu skaits:	1638


70	un
51	irr
47	to
36	kas
30	tas
28	no
27	eekúch
25	es
25	ka
25	ne
25	tahs
24	bet
19	jo
17	pee
16	ar
16	ta
14	kri§tus
13	arrid§an
13	deewa
13	je§us
13	tu
11	buhs
11	man
10	eúmu
10	kungs
10	tad
9	lai
9	pehz
9	tam
9	tee
9	weens
8	ja
8	ko
8	nu
8	tew
8	zaur
7	par
7	teem
6	kunga
6	mann
6	mehs
6	úcho
6	tohp
6	tohs
5	dehï
5	eúúi
5	itt
5	ka`
5	leetas
5	mannim
5	pahwils
5	pateeúibas
5	preekúch
5	pretti
5	úew
5	wahrdu
5	warr
5	wiúúeem
5	wiúúi
4	labbu
4	lihd§
4	mihle§tibas
4	tizzibu
4	us
4	wairak
4	ween
4	wiòòa
3	bes
3	buht
3	darbeem
3	daud§
3	deena^
3	eekahroúchanahm
3	eúúam
3	garru
3	jeb
3	kad
3	kahdas
3	kam
3	ïauna
3	ïaunu
3	lihd§i
3	mahza
3	mahzibas
3	muhúo
3	mums
3	nahkt
3	pahr
3	paúchu
3	preeku
3	preezas=mahzibu
3	úawas
3	§inni
3	tai
3	taiúnibas
3	tawas
3	tizzibas
3	uhs
3	wahrdo
3	wahrds
3	wiòòo
3	wiòúch
3	zilweki
3	zittus
3	1
2	amen
2	apúweizina
2	apu§tuls
2	at§ihúchanas
2	at§tahjis
2	auúis
2	bijis
2	breeúmigi
2	dahwanu
2	darba
2	darbu
2	darri
2	debbes
2	deews
2	derr
2	derrigs
2	dohd
2	dohs
2	d§ennees
2	gohdu
2	kungam
2	kuººeem
2	laiks
2	mahziht
2	mahzijees
2	mannahm
2	mannas
2	mannu
2	mihle
2	muhs
2	muh§chigi
2	òemm
2	pamahziúchanas
2	parei§i
2	paúcheem
2	pa§pihdeúchanu
2	patt
2	pazeetigam
2	pee=augs
2	peeminnu
2	pirmak
2	prahta
2	rihki
2	úataiúihts
2	úawu
2	schehla§tiba
2	schehla§tibas
2	schehla§tibu
2	schehlojahs
2	úchíih§tas
2	§innadams
2	úirds
2	spehka
2	§pehzigs
2	§tarp
2	steid§ees
2	§tipri
2	úwehtu
2	tanni^
2	tawu
2	tewim
2	timotejum
2	tohpi
2	tohpu
2	tomehr
2	turri
2	wal§tibas
2	weenu
2	wezzakeem
2	wiús
2	wiúúa
2	wiúúas
2	zeeúchu
2	zerreju
2	zitti
2	15
2	16
2	6
2	8
1	ahdas
1	ahtri
1	aisbildinaúchanas
1	aisleed§
1	aisleed§am
1	aisleegs
1	aisleegt
1	aizinajs
1	aizinaúchanu
1	aíilu
1	alla§chiò
1	amata
1	amatu
1	antiokia^
1	apallojuúchees
1	apdraude
1	apkaunohts
1	apkautas
1	apleezinadams
1	apleezinaju
1	apòemúchanai
1	apòemúchanu
1	ap§chehloúchana
1	ap§chehloúchanu
1	apúohliúchanu
1	arri
1	arrig
1	a§ias
1	a§ijas
1	aúúaras
1	atgahdadamees
1	atgahdajohs
1	atgahdina
1	atgreeúchanu
1	atgree§uúchees
1	atkal
1	atmakúa
1	atmett
1	atraddis
1	atraiúiúchanas
1	atra§t
1	atraujees
1	at§pird§inajs
1	at§tahj
1	at§tahjuúchi
1	augïus
1	augúchamzelúchanu
1	bahrúchanas
1	bahrtees
1	bailibas
1	baººahs
1	behd§
1	behgt
1	besdeewibu
1	besdeewigahm
1	beswiltigu
1	bijigi`
1	brahïi
1	dabbigas
1	dabbu
1	dahwida
1	dalliht
1	dalmaziu
1	darbodamees
1	darbojees
1	darriht
1	darrijis
1	da§chadahm
1	da§cho
1	debbeúkigas
1	deena^s
1	deenai
1	deenas
1	deewa=bijaúchanu
1	deewam
1	deewu
1	dehlam
1	dehls
1	demas
1	derrejis
1	derrigam
1	derrigi
1	derrigu
1	dewis
1	dibbens
1	doht
1	dohta
1	draud§es
1	d§emdina
1	d§ihwibas
1	d§ihwibu
1	d§ihwoht
1	d§ihwoúchanas
1	d§ihwoúim
1	d§ihwus
1	d§immuma
1	d§irdejis
1	d§irdejs
1	d§irdetu
1	eedabbuht
1	eedohts
1	eewiïïahs
1	eezelts
1	ehdis
1	era§tus
1	ermogenes
1	eúúus
1	eubulus
1	eunikas
1	ewe§a^
