Vârdformu skaits:	177
Vârdlietojumu skaits:	300


11	un
9	es
8	irr
6	ka
6	kas
6	ne
6	no
6	tas
6	tohs
6	tu
5	ar
5	bet
5	pahr
4	tahs
4	teem
4	tew
4	to
3	darra
3	ko
3	leezibu
3	mehs
3	mihïajs
3	pateeúibas
3	tad
3	tam
3	tee
2	apúweizina
2	darri
2	deewa
2	draud§ibas
2	eúmu
2	eúúi
2	ittin
2	jo
2	ka`
2	kad
2	klahjahs
2	labbi
2	man
2	mutti
2	pateeúiba^
2	pee
2	peeòemm
2	preekúch
2	prett
2	wahrdeem
2	wiòúch
1	12
1	3
1	9
1	aiskawe
1	aisúuhtijis
1	apleezinaja
1	arrid§an
1	aug§takajs
1	behrnus
1	bij
1	blakku
1	brahïeem
1	brahïi
1	brahïus
1	buhdams
1	buht
1	darba=beedri
1	darbu
1	darriht
1	darrijis
1	daud§
1	deewu
1	demeteri
1	demeteºam
1	deotreweúa
1	dewuúchi
1	diotrewes
1	dohdam
1	dohta
1	draud§ibai
1	draugi
1	draugus
1	drih§
1	dwehúelei
1	d§ennees
1	d§ir§chu
1	eekúch
1	eúúam
1	eúúu
1	gahju
1	gaja~
1	gribb
1	gribbu
1	ir
1	isgahjuúchi
1	ismett
1	itt
1	jahnis
1	jarak§ta
1	juhs
1	lab
1	labb
1	labs
1	lai
1	leelaks
1	leetahm
1	leeziba
1	lepnibu
1	mannus
1	meers
1	meeru
1	mekle
1	mihleju
1	mihle§tibas
1	mihïajam
1	muhs
1	muhúu
1	mums
1	mu~s
1	nahkúchu
1	nahze
1	neds
1	neneeka
1	nu
1	pa
1	pagaòeem
1	pakkaï
1	pateeúibu
1	pateeúu
1	pats
1	paúchas
1	peeminneúchu
1	peenahkahs
1	peezizzigi
1	peeòemt
1	plukúchíedams
1	preeks
1	preezajahs
1	preezajees
1	rak§tiht
1	rak§tijis
1	red§eht
1	red§ejis
1	runnaúim
1	schehlojahs
1	tadehï
1	tahdus
1	tai
1	tawai
1	tawas
1	tawu
1	teeúcham
1	teiz
1	tewim
1	tohp
1	tohpam
1	wahrdu
1	wehleju
1	wezzajs
1	weúúels
1	wiòòa
1	wiòòu
1	wiúúahm
1	wiúúeem
1	zeenigs
1	zerreju
1	§innat
1	§taiga
1	§taigajam
1	§taigaji
1	§tarp
1	ïaun
1	ïaunam
1	ïauneem
1	ïohti
1	òemdami
1	úcheem
1	úcho
1	úpalwu
1	úweúchineekeem
