Vârdformu skaits:	4474
Vârdlietojumu skaits:	22299


1135	un
664	to
499	Un
446	no
403	tee
367	ka
358	teem
346	tas
287	irr
267	kas
261	ne
248	ar
215	ta
214	us
208	pee
202	wiòúch
196	Bet
184	es
168	tahs
166	wiòòu
151	kad
146	bij
145	úazzija
136	tohs
132	ko
122	bija
116	mehs
112	uhs
105	juhs
94	Deewa
94	tur
93	arrid§an
93	eekúch
90	Pahwils
89	tappe
85	zaur
79	Wahrdu
77	wiòòa
76	weenu
74	weens
73	Tad
73	tu
70	nu
69	tam
68	tew
65	Deews
65	eúúam
64	eúmu
64	pahr
63	jums
63	tad
62	preekúch
61	jo
58	úcho
56	mums
54	daud§
54	man
53	Jo
51	nahze
51	pehz
51	pretti
49	Kunga
49	bet
49	tohp
48	wiúúi
47	JE§us
46	Deewu
46	par
45	Kungs
44	wiúúu
43	Pehteris
42	Pahwilu
40	wiúúeem
38	Wihri
38	buhs
38	ta`
37	Deena^
37	zitti
36	úawu
35	úazzidams
33	weena
33	wiòòam
33	Ïaudim
31	Deenas
31	eúúat
30	Semmes
30	neds
29	Ïaudis
28	Kri§tus
28	kahdu
27	Brahïi
27	Jeru§aleme^
26	JE§u
26	lihd§
25	Juddeem
25	d§irdeja
25	gahje
25	tik
24	itt
24	paúchu
24	§tarp
24	Úchis
23	Juddi
23	Pagaòeem
23	Zeetuma^
23	eúúi
23	ja
23	jeb
23	kam
23	ohtra^
23	tahm
23	wiúúas
23	úew
22	Jeru§alemi
22	Leetas
22	Tapehz
22	UN
22	labb
22	notikke
22	úchis
21	Rohkas
21	mann
21	muhúu
21	prett
21	tanni^
21	úawa^
20	Garru
20	Namma^
20	Wihru
20	darrijis
20	notikkahs
20	runnaja
20	tai
20	tizzeja
20	òehme
20	úazzidami
19	1
19	Es
19	Garra
19	Rohku
19	nahkuúchi
19	pats
19	pawehleja
19	tapt
19	ween
18	Brahïeem
18	Deewam
18	Gars
18	buhtu
18	papreekúch
18	red§eja
18	§tahweja
18	úcheem
17	Balúi
17	Kad
17	Kas
17	dehï
17	gribbeja
17	juhúu
17	wairak
16	atkal
16	wiòòo
16	úawas
15	Juddu
15	Kungu
15	Pahwila
15	Pehteri
15	Sauls
15	Teeúu
15	Zeïïu
15	dewe
15	diwi
15	ir
15	klaht
15	kur
15	luhd§e
15	nahzis
15	red§i
15	tapehz
15	tawu
15	wiúúus
15	zehlahs
15	úazzijis
15	úchahs
14	Debbes
14	Jahnis
14	Ka
14	Nakti^
14	Tas
14	Tee
14	Zilwekeem
14	atbildeja
14	atradde
14	isgahje
14	manni
14	mannu
14	muhs
14	nahzam
14	pa
14	runnaht
13	Apu§tuïeem
13	Barnabus
13	Draud§es
13	Juhs
13	Mo§us
13	Nammu
13	Pilsúata
13	Rohkahm
13	Wahrda
13	Wihrs
13	Wihrus
13	darrija
13	kohpa^
13	leela
13	likke
13	paúchi
13	paúluddinaja
13	red§edams
13	wedde
13	úakka
12	Agrippa
12	Kahjahm
12	Laiku
12	Pilsúata^
12	Wahrds
12	Wahrdus
12	Zilweks
12	arrig
12	darriht
12	eet
12	ittin
12	mannim
12	red§ejis
12	taps
12	teeúcham
12	§innams
12	§tarpa^
12	Íehniòúch
12	Ïau§chu
12	Úwehtu
12	úuhtija
11	Barnabu
11	Bauúlibas
11	Deena^s
11	Draud§e
11	Leezibu
11	Wahrdeem
11	ap
11	apkahrt
11	aug§tu
11	d§irdejuúchi
11	eegahje
11	gribbetu
11	labbu
11	leelu
11	taptu
11	tudaliò
11	úchee
11	úchi
10	Ahwer§ts
10	Bauúlibu
10	Deenahm
10	Jeru§alemes
10	Ko
10	Kri§tu
10	Mahzekïi
10	Miººoòeem
10	Pahwilam
10	Pulks
10	Sihmes
10	Tehweem
10	Zellees
10	Zilweku
10	bes
10	d§irdeht
10	eúúohts
10	gann
10	lai
10	manna
10	nokaut
10	notizzis
10	palikke
10	warretu
10	wehl
10	we§t
10	wiús
10	Úirds
10	Úwehta
10	úaweem
10	úchohs
9	22
9	Antiokiu
9	Brahïus
9	Deewa=Namma^
9	Eòìelis
9	Juddo
9	Mahzekïeem
9	Mehs
9	Mutti
9	Prahtu
9	Praweetu
9	Preeku
9	Preezas=Wahrdu
9	Tehwi
9	We§tus
9	augúcham
9	brehze
9	darra
9	gribbedams
9	juhúo
9	kri§titi
9	lihd§i
9	neneeka
9	nogahje
9	palikt
9	rak§tihts
9	runnajis
9	turreht
9	turrenes
9	túchetrdeúmits
9	weenprahtigi
9	zeek
9	§innaht
9	Íei§eri
9	Úcho
9	úakkam
9	úwehtu
8	10
8	Akmiòeem
8	Apu§tuïi
8	Aug§ts=Pree§teris
8	A§ijas
8	Brihnumus
8	Dahwida
8	Drehbes
8	Egipteºu
8	Erodus
8	Eòìeli
8	Grehkeem
8	Jahòa
8	Karneels
8	Laiwu
8	Leetu
8	Meeru
8	Parahdiúchanu
8	Pilsúatu
8	Praweeúchu
8	Schehla§tibu
8	Semme^
8	Teeúas
8	Tizzibas
8	Wezzajee
8	Wihlips
8	arri
8	buhdams
8	doht
8	drohúchi
8	d§ihwo
8	d§ihwoja
8	d§irdedami
8	eij
8	ikdeenas
8	kri§tihts
8	nokawuúchi
8	pakkaï
8	pawehlejis
8	paúcha^
8	runnajam
8	tappuúchi
8	trim
8	tuwu
8	wiòòeem
8	wiòòi
8	§innu
8	úuhtijis
8	úwehta
7	23
7	3
7	Ananijas
7	Barribu
7	Ba§niza^
7	Behrneem
7	Damaúku
7	Debbeúu
7	Draud§ibas
7	Gaddus
7	Gaiúma
7	Ja
7	J§ra&e&ïa
7	Kapteine
7	Ke§ariju
7	Kungam
7	Leezineeki
7	Padohmu
7	Pagaòi
7	Pawahrdu
7	Semmi
7	Sihlu
7	Tadehï
7	Tehwu
7	Tizzibu
7	Weeta^
7	Wihreem
7	Wirúneeki
7	aisbildinajahs
7	atpakkaï
7	buht
7	dehwe
7	d§irdejis
7	gahjuúchi
7	gree§ahs
7	grib
7	ihs
7	is
7	iseet
7	kahda
7	kluúúu
7	kritte
7	kïu&a&
7	mahzija
7	mette
7	palaide
7	patikke
7	pazehle
7	pilns
7	pirms
7	red§eht
7	runnahts
7	taggad
7	tanni^s
7	tappis
7	tewim
7	tohpu
7	trihs
7	waija
7	wairojahs
7	weenam
7	weúúelu
7	widdu
7	wiúúa
7	zittu
7	§innat
7	Úihmans
7	Úwehts
7	úcha
6	12
6	14
6	19
6	4
6	Bals
6	Dahwanu
6	Darbu
6	Deenai
6	Deenu
6	Dehls
6	Draud§ibu
6	Durwim
6	Dwehúeles
6	Gaddeem
6	Garrs
6	Jehkabs
6	Kambar=Junkurs
6	Kaººa=Wihreem
6	Mahzekïus
6	Namma
6	Nams
6	Pehteºam
6	Praweeúchi
6	Saulu
6	Spehku
6	Tomehr
6	Trohkúni
6	Tukúneúi^
6	Walloda^
6	Waïïu
6	Wezzajeem
6	Wihlippu
6	Zeetuma
6	Zilweka
6	apúuhd§ehts
6	ataizinaja
6	atradduúchi
6	bijam
6	dabbujis
6	dabbujuúchi
6	darridams
6	dewis
6	dohd
6	jaw
6	kadehï
6	kahds
6	kohpa
6	mahza
6	muhúo
6	nahkt
6	paúchus
6	peederrahs
6	peenahk
6	preekúcha^
6	preezajahs
6	tadehï
6	tawas
6	taws
6	tewi
6	usklauúija
6	usmohdinajis
6	waijaga
6	wairs
6	waizaja
6	warram
6	zitteem
6	zittus
6	Úazzidami
6	Úeewas
6	Úirdi
6	Úohda=Krehúlu
6	úai§tihts
6	úchai
6	úehdeja
6	úewim
5	13
5	26
5	5
5	9
5	Antiokia^
5	Apu§tuïu
5	Augúcham=Zelúchanas
5	Azzim
5	BEt
5	Ba§nizas
5	Brahli
5	Darbus
5	Dehlu
5	Draud§i
5	Dumpi
5	Durwis
