Vârdformu skaits:	4315
Vârdlietojumu skaits:	22299


1656	un
669	to
451	no
417	tee
381	ka
360	tas
358	teem
287	irr
284	kas
266	ne
250	bet
248	ar
217	ta
214	us
209	pee
203	es
203	wiòúch
169	tahs
168	kad
166	wiòòu
148	úazzija
146	bij
142	ko
141	tohs
137	tad
125	mehs
122	bija
118	juhs
114	jo
112	uhs
97	eekúch
96	tur
94	deewa
93	arrid§an
90	pahwils
89	tappe
86	zaur
79	wahrdu
77	tu
77	weenu
77	wiòòa
74	weens
72	tam
72	tew
71	nu
67	pahr
67	úcho
65	deews
65	eúúam
64	eúmu
63	jums
63	preekúch
57	mums
56	pehz
55	daud§
55	man
52	pretti
51	nahze
51	tohp
49	kunga
48	par
48	wiúúi
47	je§us
46	deewu
46	úchis
45	kungs
44	wiúúu
43	pehteris
42	pahwilu
40	úazzidams
40	ta`
40	wihri
40	wiúúeem
39	zitti
38	buhs
37	deena^
37	tapehz
36	úawu
33	ïaudim
33	neds
33	weena
33	wiòòam
32	eúúat
31	deenas
30	ja
30	kahdu
30	semmes
29	ïaudis
28	kam
28	kri§tus
27	brahïi
27	jeru§aleme^
27	lihd§
26	je§u
26	úazzidami
26	tik
25	d§irdeja
25	eúúi
25	gahje
25	itt
25	juddeem
24	jeb
24	ohtra^
24	paúchu
24	§tarp
24	zeetuma^
23	juddi
23	leetas
23	pagaòeem
23	úew
23	tahm
23	wiúúas
22	jeru§alemi
22	labb
22	notikke
21	mann
21	muhúu
21	prett
21	rohkas
21	úawa^
21	úwehtu
21	tai
21	tanni^
20	darrijis
20	garru
20	namma^
20	òehme
20	notikkahs
20	pawehleja
20	red§i
20	runnaja
20	tizzeja
20	wihru
19	garra
19	nahkuúchi
19	pats
19	rohku
19	tapt
19	ween
19	1
18	brahïeem
18	buhtu
18	deewam
18	gars
18	ir
18	juhúu
18	papreekúch
18	red§eja
18	úcheem
18	§tahweja
18	úwehta
17	balúi
17	dehï
17	gribbeja
17	wairak
16	atkal
16	kur
16	luhd§e
16	úawas
16	wiòòo
15	dewe
15	diwi
15	juddu
15	klaht
15	kungu
15	nahzis
15	pahwila
15	pehteri
15	sauls
15	úazzijis
15	úchahs
15	úchee
15	tawu
15	teeúu
15	wiúúus
15	zehlahs
15	zeïïu
14	arrig
14	atbildeja
14	atradde
14	debbes
14	isgahje
14	jahnis
14	kohpa^
14	leela
14	manni
14	mannu
14	muhs
14	nahzam
14	nakti^
14	pa
14	runnaht
14	úakka
14	zellees
14	zilwekeem
13	agrippa
13	apu§tuïeem
13	barnabus
13	darrija
13	draud§es
13	eet
13	likke
13	mo§us
13	nammu
13	paúchi
13	paúluddinaja
13	pilsúata
13	red§edams
13	rohkahm
13	úchi
13	tadehï
13	teeúcham
13	wahrda
13	wedde
13	wihrs
13	wihrus
12	aug§tu
12	darriht
12	ittin
12	kahjahm
12	íehniòúch
12	lai
12	laiku
12	ïau§chu
12	mannim
12	pilsúata^
12	red§ejis
12	§innams
12	§tarpa^
12	úuhtija
12	úwehts
12	taps
12	wahrds
12	wahrdus
12	wiús
12	zilweks
11	ap
11	apkahrt
11	barnabu
11	bauúlibas
11	deena^s
11	draud§e
11	d§irdejuúchi
11	eegahje
11	gribbetu
11	labbu
11	leelu
11	leezibu
11	úchohs
11	taptu
11	tomehr
11	tudaliò
11	wahrdeem
10	ahwer§ts
10	bauúlibu
10	bes
10	darra
10	deenahm
10	d§irdeht
10	eij
10	eúúohts
10	gann
10	jeru§alemes
10	kri§titi
10	kri§tu
10	mahza
10	mahzekïi
10	manna
10	miººoòeem
10	nokaut
10	notizzis
10	pahwilam
10	palikke
10	pulks
10	úaweem
10	sihmes
10	úirds
10	tehweem
10	warretu
10	wehl
10	we§t
10	zilweku
9	antiokiu
9	augúcham
9	aug§ts=pree§teris
9	brahïus
9	brehze
9	deewa=namma^
9	d§ihwo
9	eòìelis
9	gribbedams
9	juddo
9	juhúo
9	íei§eri
9	lihd§i
9	mahzekïeem
9	mutti
9	neneeka
9	nogahje
9	palikt
9	prahtu
9	praweetu
9	preeku
9	preezas=wahrdu
9	rak§tihts
9	runnajis
9	úakkam
9	§innaht
9	tehwi
9	túchetrdeúmits
9	turreht
9	turrenes
9	weenprahtigi
9	we§tus
9	zeek
9	22
8	akmiòeem
8	apu§tuïi
8	arri
8	a§ijas
8	brihnumus
8	buhdams
8	dahwida
8	doht
8	drehbes
8	drohúchi
8	d§ihwoja
8	d§irdedami
8	egipteºu
8	eòìeli
8	erodus
8	grehkeem
8	ikdeenas
8	jahòa
8	karneels
8	kri§tihts
8	laiwu
8	ïaunu
8	leetu
8	meeru
8	nokawuúchi
8	pakkaï
8	parahdiúchanu
8	paúcha^
8	pawehlejis
8	pilsúatu
8	praweeúchu
8	runnajam
8	schehla§tibu
8	semme^
8	§innu
8	úuhtijis
8	tappuúchi
8	teeúas
8	tizzibas
8	trim
8	tuwu
8	weeta^
8	wezzajee
8	wihlips
8	wiòòeem
8	wiòòi
8	10
7	aisbildinajahs
7	ananijas
7	atpakkaï
7	barribu
7	ba§niza^
7	behrneem
7	buht
7	damaúku
7	debbeúu
7	dehwe
7	draud§ibas
7	d§irdejis
7	gaddus
7	gahjuúchi
7	gaiúma
7	gree§ahs
7	grib
7	ihs
7	is
7	iseet
7	i§ra&e&ïa
7	kadehï
7	kahda
7	kapteine
7	ke§ariju
7	kïu&a&
7	kluúúu
7	kritte
7	kungam
7	leezineeki
7	mahzija
7	mette
7	nahk
7	neììi
7	padohmu
7	pagaòi
7	palaide
7	patikke
7	pawahrdu
7	pazehle
7	pilns
7	pirms
7	red§eht
7	runnahts
7	úcha
7	semmi
7	sihlu
7	úihmans
7	§innat
7	taggad
7	tanni^s
7	tappis
7	tawas
7	teekams
7	tehwu
7	tewim
7	tizzibu
7	tizzigi
7	tohpu
7	trihs
7	waija
7	wairojahs
7	weenam
7	weetu
7	weúúelu
7	widdu
7	wihreem
7	wirúneeki
7	wiúúa
7	zittu
7	23
7	3
6	apúuhd§ehts
6	ataizinaja
6	atradduúchi
6	bals
6	bijam
6	dabbujis
6	dabbujuúchi
6	dahwanu
6	darbu
6	darridams
6	deenai
6	deenu
6	dehls
6	dewis
6	dohd
6	draud§ibu
6	durwim
6	dwehúeles
6	gaddeem
6	garrs
6	jaw
6	jehkabs
6	kahds
6	kambar=junkurs
6	kaººa=wihreem
6	kohpa
6	kuººa^
6	kuººeem
6	laid
6	mahzekïus
6	muhúo
6	nahkt
6	namma
6	nams
6	paúchus
6	peederrahs
6	peenahk
6	pehteºam
6	praweeúchi
6	preekúcha^
6	preezajahs
6	úai§tihts
6	saulu
6	úchai
6	úchim
6	úeewas
6	úehdeja
6	úewim
6	úirdi
6	úohda=krehúlu
6	spehku
6	taws
6	tewi
6	trohkúni
6	tukúneúi^
6	usklauúija
6	usmohdinajis
6	waijaga
6	wairs
6	waizaja
6	walloda^
6	waïïu
6	warram
6	warru
6	wezzajeem
6	wihlippu
6	zeetuma
6	zilweka
6	zitteem
6	zittus
6	12
6	14
6	19
6	4
5	ak
5	antiokia^
5	apòehmahs
5	apu§tuïu
5	atgree§ahs
5	atraddis
5	at§tahje
5	augúcham=zelúchanas
5	aug§tas
5	azzim
5	ba§nizas
5	biju
5	brahli
5	dabbu
5	darbus
5	darrijahs
5	dehlu
5	draud§i
5	d§ihwoht
5	dumpi
5	durwis
5	eeúahze
5	eúúoúchi
5	ewe§u
5	garram
5	grahmatu
5	gribbam
5	ikweens
5	isweddis
5	juhºa^
5	juhºu
5	kahda^
5	kahdas
5	kalpoht
5	kri§tibu
5	labba
5	laika^
5	laiks
5	laiwa^
5	leetahm
5	makedoniju
5	makúu
5	malla^
5	nakts
5	neeka
5	òehmis
5	òemt
5	nomirre
5	nonahze
5	noteek
5	notiks
5	nozehlamees
