Vârdformu skaits:	2466
Vârdlietojumu skaits:	11389


836	un
342	to
302	Un
279	irr
258	tas
241	kas
235	ta
181	no
165	tahs
142	es
135	tee
135	us
120	ar
112	ka
112	teem
108	ne
96	wiòòa
91	bija
77	weens
76	weenu
73	tohs
65	tappe
60	Deewa
59	tam
51	Semmes
48	red§eju
48	tu
47	bij
46	ka`
42	preekúch
42	tur
42	wiòòo
41	it
40	jo
40	wiòúch
37	ko
36	eúúi
36	pee
34	eekúch
33	tahm
33	wiòòas
32	kam
32	tohp
31	Eòìelis
31	buhs
29	tew
28	neds
28	pahr
28	weena
28	úawu
25	d§irdeju
25	úakka
24	kad
24	wiòòu
22	Semmi
22	leela
22	zaur
21	eúmu
21	úazzija
20	Deews
20	Gohda=Krehúlu
20	tad
20	tuhk§toúchi
20	úehdeja
19	Es
19	Eòìeli
19	deúmits
19	d§ihwo
19	lihd§
19	man
19	wirs
19	úakkam
18	Balúi
18	Debbeúi^
18	Kungs
18	Swehru
18	UN
18	Warra
18	tai
18	wairs
17	1
17	Jehra
17	No
17	leelu
17	pehz
17	úawahm
17	úawas
16	Balkúni
16	Debbes
16	mann
15	Gohda=Krehúla
15	taps
15	tawu
15	wiúúi
15	§tippru
14	Debbeúu
14	Jo
14	Wahrdu
14	arrid§an
14	muh§cham
14	wiòòam
13	Deewu
13	JE§us
13	Jahnis
13	Kas
13	Wahrds
13	Zilts
13	ap§ehgeleti
13	dehï
13	laid
13	nahze
12	Bet
12	Darbus
12	D§ihwibas
12	Kri§tus
12	Leetas
12	Muttes
12	Waj
12	daud§
12	diwi
12	dohta
12	d§ird
12	ja
12	jums
12	red§i
12	Úwehto
12	úaweem
12	úazzidami
12	úazzidams
11	Diwpadeúmits
11	Swehra
11	Teeúa
11	Ugguns
11	jeb
11	leels
11	raugi
11	red§ejis
11	treúcha
11	úeh§ch
10	2
10	Amen
10	Deewam
10	Grahmatu
10	Jehrs
10	Praweeúcho
10	Tas
10	Wahrdi
10	bet
10	dohúchu
10	par
10	rak§ti
10	wiúúas
10	§tahweja
10	Ïaudis
9	Duúmibas
9	Eòìeïeem
9	Eòìeïi
9	Galwas
9	Grahmata^
9	Meeúas
9	Mohzibas
9	Pilsúats
9	Puhíis
9	Rohka^
9	Sirgs
9	brehze
9	darra
9	kritte
9	kur
9	mette
9	muh§chigi
9	peeluhd§e
9	tawus
9	uhs
9	wiòòai
9	zittu
8	9
8	Auúis
8	Bildi
8	Deena^
8	Eòìeïa
8	Garrs
8	Gohdu
8	Jahòam
8	Juhºu
8	Nahwe
8	Pilsúata
8	Raggi
8	Rohkas
8	Semme
8	Swehrs
8	Ugguni
8	diwdeúmits
8	diwpadeúmits
8	eúúam
8	is
8	itt
8	ittin
8	juhs
8	mannu
8	notikke
8	pakkaï
8	teekams
8	trihs
8	turr
8	túchettreem
8	uswarr
8	wehl
8	wiúúu
8	Úaule
8	Úchee
8	úcheem
8	úeptiò
8	úeptiòòas
8	úeptiòòi
7	3
7	Besdibbeòa
7	Draud§ibahm
7	Galwahm
7	Grehkeem
7	Juhºa^
7	Juhºas
7	Kam
7	Lohpeem
7	Mauzibas
7	Mauzibu
7	Peerehm
7	Pehrkoòi
7	Pehz
7	Sehgeli
7	Selta
7	Ta
7	Tad
7	Wahrtis
7	Wihna
7	dahrgu
7	dohts
7	islehje
7	jaunu
7	mannim
7	nahk
7	rak§tihts
7	runnaja
7	tappuúchi
7	warr
7	ween
7	widdu
7	zitts
7	§innu
7	§tahwam
7	Íehniòòi
7	úawa^
7	úeptiòas
7	úeptiòi
6	7
6	Azzis
6	Aúúini
6	Aúúins
6	Babilon
6	Balkúne
6	Balúis
6	Darbeem
6	Debbeúi
6	Deenas
6	Drehbehm
6	Drehbes
6	Duhmi
6	Grahmatas
6	Kahjahm
6	Kauúu
6	Mahzibas
6	Mehríi
6	Mohzibahm
6	Pilsúatu
6	Red§i
6	Spehku
6	Ta`
6	Tee
6	Wahrda
6	Warru
6	Wezzajeem
6	Zilweki
6	Zilweko
6	ba§uneja
6	biju
6	dewis
6	drih§
6	eekúcha
6	lai
6	leelas
6	manna
6	muhs
6	nahks
6	ohtrs
6	taptu
6	treúchais
6	treúchu
6	túchettri
6	usraiúija
6	weenam
6	Ïaudim
6	Úeewa
5	11
5	12
5	5
5	8
5	Akmiòeem
5	Altaºa
5	Behdas
5	Draud§ehm
5	Draud§es
5	D§eeúmu
5	Eòìeïus
5	Garri
5	Ja
5	Leezibas
5	Leezibu
5	Nahzi
5	Nakti^
5	Stunda^
5	Swaig§nes
5	Swehram
5	Uhdeòo
5	Wahrdus
5	Zilweka
5	Zirpi
5	atdarriht
5	atra§ts
5	baltahm
5	darriht
5	dewe
5	dohtas
5	eh§t
5	iseet
5	lihd§i
5	me§ts
5	muh§chige
5	muhúo
5	muhúu
5	nahku
5	nahkuúi
5	nahkúchu
5	noh§t
5	nokauti
5	nokauts
5	nu
5	pirma
5	preekúcha
5	puúúes
5	tapehz
5	tappis
5	tapt
5	tawas
5	tik
5	wirúu
5	wiúúa
5	wiúúapkahrt
5	§elta
5	Íehniòòo
5	Úatans
5	Úeewu
5	Úohdiba
5	úchahs
5	úeptiòahm
5	úeptiòeem
5	úew
5	úimts
5	úwehts
4	13
4	A
4	Alleluja
4	Atúlehgas
4	Azzim
4	Bals
4	Durwis
4	Dwehúeles
4	Eeúahkums
4	Eòìeïo
4	Gaddus
4	Garra^
4	Gohds
4	Jehram
4	Kahjas
4	Kalpeem
4	Kohka
4	Kunga
4	Laiks
4	Lohpi
4	Mehnes
4	Mutte^
4	Nahwei
4	Ne
4	O
4	Padebbeúi
4	Paúaules
4	Prezzineeki
4	Pulks
4	Raggeem
4	Semme^
4	Sibbeòi
4	Sohbins
4	Tam
4	Tautahm
4	Teeúu
4	Uhdeni
4	Wahrdeem
4	Wahrtim
4	Wallodahm
4	Waïïa
4	Weens
4	Wels
4	Wezzajee
4	Ziltim
4	Zilwekus
4	ahra
4	apìehrbti
4	apìehrbts
4	baggats
4	dahrgeem
4	darrijis
4	d§innuúchi
4	d§irdejis
4	eekúcha^
4	eet
4	ir
4	isgahje
4	kaººoht
4	lihd§as
4	luhko
4	manni
4	nahzi
4	nokahpam
4	nomirris
4	notizzis
4	pabeigti
4	pateeúi
4	patt
4	paúchu
4	peeluhd§
4	peeluhgs
4	peeluhguúchi
4	peetizzigs
4	pirmais
4	rak§titi
4	red§ehs
4	tewim
4	tuhk§toúchus
4	túchetri
4	túchettrus
4	uskahpj
4	warreja
4	weena^
4	wiòòeem
4	wiúúeem
4	wiúúo
4	zeenigs
4	zettorts
4	Íehniòúch
4	Úataòa
4	Úeewai
4	Úehru
4	Úlawa
4	Úlawu
4	Úwehts
4	úchee
4	úchinni^
4	úeptiòus
4	úeúch
3	10
3	18
3	6
3	Akkas
3	Audeklu
3	Aúúinim
3	Bahr§ibas
3	Balkúnes
3	Bauúlus
3	Brahïo
3	Brihdi
3	Bruòòas
3	Dahwida
3	Deena^s
3	Deewa=Namma
3	Deewa=Nammu
3	Deewa=Nams
3	Dehls
3	Duhmeem
3	Duúmibu
3	D§ihwoúchanas
3	Elle
3	Eòìeïam
3	Gaddi
3	Gals
3	Galwu
3	Gars
3	Gohdiba
3	Grahmata
3	Grahmatiòòu
3	Guddriba
3	Ja§pis
3	Kalni
3	Kalnu
3	Kalpi
3	Kalpus
3	Kauúus
3	Krehúlu
3	Krohni
3	Kruúúa
3	Laika^
3	Leeziba
3	Leezineeks
3	Lohps
3	Lohpu
3	Lohpus
3	Mahzibu
3	Matti
3	Maukas
3	Mehneúchus
3	Mirruúchus
3	Nahwes
3	Nakts
3	Pagaòo
3	Pazeeúchana
3	Pehdigais
3	Pehrlehm
3	Pe§tiúchana
3	Pilsúatam
3	Prahts
3	Prahtu
3	Praweeúcho=Mahzibas
3	Puhía
3	Puhíi
3	Purpuri
3	Rak§ti
3	Saníi^
3	Sardus
3	Sehgeïeem
3	Sehgeïus
3	Seltu
3	Sem~es
3	Sihmes
3	Sirgo
3	Sohbinu
3	Spehka
3	Spehks
3	Stah§tiúchana
3	Tahs
3	Tapehz
3	Teeúcham
3	Tehwa
3	Tizzibu
3	Trihúeúchana
3	Tukúnibu
3	Uhdens
3	Uppe
3	Uppi
3	Waigs
3	Waigu
3	Waina
3	Wal§tiba
3	Weeta
3	Zeetuma^
3	Zilwekeem
3	apgahnihts
3	appakúch
3	aptumúchota
3	apìehrbta
3	atgahdajees
3	atgree§ees
3	atkal
3	atra§ta
3	atwehrtas
3	auk§ts
3	aús
3	baggati
3	balts
3	behd§e
3	bes
3	buhtu
3	dabbujuúchi
3	darri
3	dohtu
3	d§eedaja
3	d§ihwa
3	d§ihws
3	d§irdeta
3	gahje
3	gan
3	gannihs
3	ilgi
3	isees
3	jaunas
3	kahda
3	kar§ts
3	krittuúi
3	kuººa^
3	kuººo
3	lab
3	labba^
3	labbas
3	labbu
3	leeli
3	manna^
3	mannas
3	ma§
3	mehs
3	mettahs
3	nahkams
3	neneeka
3	nomirre
3	nomohda^
3	ohtra
3	ohtru
3	pateeúigs
3	pats
3	peekts
3	peeluhgt
3	peenahk
3	peewiïï
3	pirmas
3	pirmu
3	preekúcha^
3	prett
3	pretti
3	rahdija
3	rahdita
3	rahdiúchu
3	red§ehts
3	rei§
3	ta`
3	tahïenes
3	taiúnas
3	tanni^
3	tanni^s
3	tawa
3	tawa^
3	tawi
3	tuhk§toúcho
3	turredams
3	turri
3	tuwu
3	túchetrdeúmits
3	uskahpam
3	usraiúiht
3	u~
3	waldihs
3	warrena
3	widdu^
3	wiúúahm
3	wiúúai
3	zettortu
3	§aimoja
3	§pehzigs
3	§taiga
3	Íehniòi
3	Íehniòo
3	Íehniòòeem
3	Ïau§cho
3	òemt
3	Úaules
3	Úazzidami
3	Úohdibas
3	Úohdibu
3	Úwehti
3	Úwehtigi
3	úarkans
3	úarkanu
3	úaukta
3	úaukts
3	úcho
3	úchur
3	úeptita
3	úeptiòòeem
3	úe§ts
3	úe§tu
3	úwehtu
2	15
2	20
2	4
2	Akmini
2	Alga
2	Altari
2	Ar
2	Audekli
2	A§ijas
2	A§tas
2	Aúúaras
2	Aúúina
2	Aúúini^
2	Babilons
