Vârdformu skaits:	2381
Vârdlietojumu skaits:	11389


1156	un
344	to
279	irr
268	tas
254	kas
242	ta
198	no
168	tahs
161	es
141	tee
137	us
122	ar
113	ka
112	ne
112	teem
96	wiòòa
91	bija
81	weens
77	weenu
73	tohs
65	tappe
63	tam
60	deewa
54	jo
51	semmes
49	tu
48	red§eju
47	bij
46	ka`
42	preekúch
42	tur
42	wiòòo
41	it
40	wiòúch
39	kam
39	ko
38	eúúi
36	pee
34	eekúch
34	wiòòas
33	tahm
33	tohp
31	buhs
31	eòìelis
31	tew
29	weena
28	neds
28	pahr
28	úawu
27	tad
25	d§irdeju
25	pehz
25	úakka
24	kad
24	wiòòu
23	zaur
22	bet
22	leela
22	semmi
21	eúmu
21	úakkam
21	úazzija
20	deews
20	gohda=krehúlu
20	lihd§
20	tuhk§toúchi
20	úehdeja
19	deúmits
19	diwpadeúmits
19	d§ihwo
19	eòìeli
19	man
19	wirs
18	balúi
18	debbeúi^
18	kungs
18	red§i
18	swehru
18	tai
18	wairs
18	warra
17	1
17	ja
17	jehra
17	leelu
17	úawahm
17	úawas
16	balkúni
16	debbes
16	mann
15	gohda=krehúla
15	taps
15	tawu
15	wiúúi
15	§tippru
15	úazzidami
14	arrid§an
14	debbeúu
14	laid
14	muh§cham
14	wahrdu
14	waj
14	wiòòam
14	úwehto
13	ap§ehgeleti
13	deewu
13	dehï
13	jahnis
13	je§us
13	nahze
13	rak§ti
13	raugi
13	wahrds
13	zilts
13	úazzidams
12	darbus
12	daud§
12	diwi
12	dohta
12	d§ihwibas
12	d§ird
12	jums
12	kri§tus
12	leetas
12	muttes
12	úaweem
12	úchee
11	jeb
11	leels
11	par
11	red§ejis
11	swehra
11	teeúa
11	treúcha
11	ugguns
11	úeh§ch
10	2
10	amen
10	deewam
10	dohúchu
10	grahmatu
10	jehrs
10	praweeúcho
10	wahrdi
10	wiúúas
10	§tahweja
10	ïaudis
10	úcheem
9	brehze
9	darra
9	duúmibas
9	eòìeïeem
9	eòìeïi
9	galwas
9	grahmata^
9	kritte
9	kur
9	meeúas
9	mette
9	mohzibas
9	muh§chigi
9	nahzi
9	peeluhd§e
9	pilsúats
9	puhíis
9	rohka^
9	sirgs
9	ta`
9	tawus
9	trihs
9	uhs
9	wiòòai
9	zittu
9	úwehts
8	9
8	auúis
8	bildi
8	deena^
8	diwdeúmits
8	eòìeïa
8	eúúam
8	garrs
8	gohdu
8	is
8	itt
8	ittin
8	jahòam
8	juhs
8	juhºu
8	mannu
8	nahwe
8	notikke
8	pakkaï
8	pilsúata
8	raggi
8	rohkas
8	semme
8	swehrs
8	tapehz
8	teekams
8	turr
8	túchettreem
8	ugguni
8	uswarr
8	wehl
8	widdu
8	wiúúu
8	zitts
8	úaule
8	úeptiò
8	úeptiòòas
8	úeptiòòi
7	3
7	besdibbeòa
7	dahrgu
7	dohts
7	draud§ibahm
7	galwahm
7	grehkeem
7	islehje
7	jaunu
7	juhºa^
7	juhºas
7	lohpeem
7	mannim
7	mauzibas
7	mauzibu
7	nahk
7	peerehm
7	pehrkoòi
7	rak§tihts
7	runnaja
7	sehgeli
7	selta
7	tappuúchi
7	wahrtis
7	warr
7	ween
7	wihna
7	§innu
7	§tahwam
7	íehniòòi
7	úawa^
7	úeptiòas
7	úeptiòi
6	7
6	azzis
6	aúúini
6	aúúins
6	babilon
6	balkúne
6	balúis
6	ba§uneja
6	biju
6	darbeem
6	debbeúi
6	deenas
6	dewis
6	drehbehm
6	drehbes
6	drih§
6	duhmi
6	eekúcha
6	grahmatas
6	kahjahm
6	kauúu
6	lai
6	leelas
6	mahzibas
6	manna
6	mehríi
6	mohzibahm
6	muhs
6	nahks
6	nu
6	ohtrs
6	pilsúatu
6	pirmais
6	spehku
6	taptu
6	treúchais
6	treúchu
6	túchettri
6	usraiúija
6	wahrda
6	warru
6	weenam
6	wezzajeem
6	zilweki
6	zilweko
6	ïaudim
6	úeewa
6	úimts
5	11
5	12
5	5
5	8
5	akmiòeem
5	altaºa
5	atdarriht
5	atra§ts
5	baltahm
5	behdas
5	darriht
5	dewe
5	dohtas
5	draud§ehm
5	draud§es
5	d§eeúmu
5	eh§t
5	eòìeïus
5	garri
5	ir
5	iseet
5	leezibas
5	leezibu
5	lihd§i
5	me§ts
5	muh§chige
5	muhúo
5	muhúu
5	nahku
5	nahkuúi
5	nahkúchu
5	nakti^
5	noh§t
5	nokauti
5	nokauts
5	pirma
5	preekúcha
5	puúúes
5	stunda^
5	swaig§nes
5	swehram
5	tappis
5	tapt
5	tawas
5	tik
5	uhdeòo
5	wahrdus
5	waïïa
5	wirúu
5	wiúúa
5	wiúúapkahrt
5	zeenigs
5	zilweka
5	zirpi
5	§elta
5	íehniòòo
5	úatans
5	úchahs
5	úeewu
5	úeptiòahm
5	úeptiòeem
5	úew
5	úohdiba
4	13
4	a
4	ahra
4	alleluja
4	apìehrbti
4	apìehrbts
4	atgree§ees
4	atúlehgas
4	azzim
4	baggati
4	baggats
4	bals
4	dahrgeem
4	darrijis
4	durwis
4	dwehúeles
4	d§ihws
4	d§innuúchi
4	d§irdejis
4	eekúcha^
4	eet
4	eeúahkums
4	eòìeïo
4	gaddus
4	garra^
4	gohds
4	isgahje
4	jehram
4	kahjas
4	kalpeem
4	kaººoht
4	kohka
4	krittuúi
4	kunga
4	laiks
4	leeli
4	lihd§as
4	lohpi
4	luhko
4	manni
4	mehnes
4	mehs
4	mutte^
4	nahwei
4	nokahpam
4	nomirris
4	notizzis
4	o
4	pabeigti
4	padebbeúi
4	pateeúi
4	patt
4	paúaules
4	paúchu
4	peeluhd§
4	peeluhgs
4	peeluhguúchi
4	peetizzigs
4	prezzineeki
4	pulks
4	raggeem
4	rak§titi
4	rauga
4	red§ehs
4	semme^
4	sibbeòi
4	sohbins
4	tautahm
4	teeúcham
4	teeúu
4	tewim
4	tomehr
4	tuhk§toúchus
4	túchetri
4	túchettrus
4	uhdeni
4	uskahpj
4	wahrdeem
4	wahrtim
4	wallodahm
4	warreja
4	weena^
4	wels
4	wezzajee
4	wiòòeem
4	wiúúeem
4	wiúúo
4	zettorts
4	ziltim
4	zilwekus
4	íehniòúch
4	úataòa
4	úchinni^
4	úeewai
4	úehru
4	úeptiòus
4	úeúch
4	úlawa
4	úlawu
4	úwehti
3	10
3	18
3	6
3	akkas
3	apgahnihts
3	appakúch
3	aptumúchota
3	apìehrbta
3	atgahdajees
3	atkal
3	atra§ta
3	atwehrtas
3	audeklu
3	auk§ts
3	aús
3	aúúinim
3	bahr§ibas
3	balkúnes
3	balts
3	bauúlus
3	behd§e
3	bes
3	brahïo
3	brihdi
3	bruòòas
3	buhtu
3	dabbujuúchi
3	dahwida
3	darri
3	deena^s
3	deewa=namma
3	deewa=nammu
3	deewa=nams
3	dehls
3	dohtu
3	duhmeem
3	duúmibu
3	d§eedaja
3	d§el§a
3	d§ihwa
3	d§ihwoúchanas
3	d§irdeta
3	elle
3	eòìeïam
3	gaddi
3	gahje
3	gals
3	galwu
3	gan
3	gannihs
3	gars
3	gohdiba
3	grahmata
3	grahmatiòòu
3	guddriba
3	ilgi
3	isees
3	jaunas
3	ja§pis
3	kahda
3	kalni
3	kalnu
3	kalpi
3	kalpo
3	kalpus
3	kar§ts
3	kauúus
3	krehúlu
3	krohni
3	kruúúa
3	kurúch
3	kuººa^
3	kuººo
3	lab
3	labba^
3	labbas
3	labbu
3	laika^
3	leeziba
3	leezineeks
3	lohps
3	lohpu
3	lohpus
3	mahzibu
3	manna^
3	mannas
3	matti
3	maukas
3	ma§
3	mehneúchus
3	mettahs
3	mirruúchus
3	nahkams
3	nahwes
3	nakts
3	neneeka
3	nomirre
3	nomohda^
3	ohtra
3	ohtru
3	pagaòo
3	pateeúigs
3	pats
3	pazeeúchana
3	peekts
3	peeluhgt
3	peenahk
3	peewiïï
3	pehdigais
3	pehrlehm
3	pe§tiúchana
3	pilsúatam
3	pirmas
3	pirmu
3	prahts
3	prahtu
3	praweeúcho=mahzibas
3	preekúcha^
3	prett
3	pretti
3	puhía
3	puhíi
3	purpuri
3	rahdija
3	rahdita
3	rahdiúchu
3	red§ehts
3	rei§
3	saníi^
3	sardus
3	sehgeïeem
3	sehgeïus
3	seltu
3	sem~es
3	sihmes
3	sirgo
3	sohbinu
3	spehka
3	spehks
3	stah§tiúchana
3	tahïenes
3	taiúnas
3	tanni^
3	tanni^s
3	tawa
3	tawa^
3	tawi
3	tehwa
3	tizzibu
3	trihúeúchana
3	tuhk§toúcho
3	tukúnibu
3	turredams
3	turri
3	tuwu
3	túchetrdeúmits
3	uhdens
3	uppe
3	uppi
3	uskahpam
3	usraiúiht
3	u~
3	waigs
3	waigu
3	waina
3	waldihs
3	wal§tiba
3	warrena
3	weeta
3	widdu^
3	wiúúahm
3	wiúúai
3	zeek
3	zeetuma^
3	zettortu
3	zilwekeem
3	§aimoja
3	§pehzigs
3	§taiga
3	íehniòi
3	íehniòo
3	íehniòòeem
3	ïau§cho
3	òemt
3	úarkans
3	úarkanu
3	úaukta
3	úaukts
3	úaules
3	úcheit
3	úchi
3	úcho
3	úchur
3	úeptita
3	úeptiòòeem
3	úe§ts
3	úe§tu
3	úohdibas
3	úohdibu
3	úwehteem
3	úwehtigi
3	úwehtu
2	15
2	20
2	4
2	aisleed§is
2	aisúlehd§
2	aisúlehgt
2	aizinati
2	akmini
2	alga
2	altari
2	apgaiúmo
2	apkahrt
2	aprak§ta
2	apìehrbtu
2	atdarrija
2	atgree§ahs
2	atgree§iúees
2	atgree§uúchees
2	atlikkuúchi
2	atpirkti
2	atraddis
2	atwehre
2	atwehrta
2	atwehrts
2	atwehrtu
2	atweºº
2	audekli
2	a§ijas
2	a§tas
2	a§tohts
2	aúú
2	aúúaras
2	aúúina
2	aúúini^
2	aúúu
2	babilons
2	baltas
2	baltu
2	ba§unehs
2	ba§unes
2	ba§uneúchanas
2	ba§uni
2	baººota
2	beedris
2	behdahm
2	behrno
2	besdibbeni
2	bih§tees
2	biji
2	bir§umeem
2	biííeri
2	bohja
2	breeúmigas
2	brihnumo
2	bruhti
2	buhdama
2	dabbu
2	dabbujis
2	dalliba
2	darbi
2	darbs
2	darriúchu
2	deenahm
2	deenu
2	deg
2	dehlam
