Vârdformu skaits:	991
Vârdlietojumu skaits:	2957


108	un
86	irr
81	to
74	eekúch
61	ta
56	ka
52	kas
49	tahs
41	juhs
41	tas
40	Kri§tus
40	zaur
39	ne
37	no
30	teem
27	Un
26	ar
26	wiòòa
24	Deewa
24	par
23	arrid§an
21	pehz
18	jums
18	Kunga
18	wiúúas
17	bet
17	JE§us
17	ka`
17	ko
17	pee
15	es
14	itt
14	Ka
14	mums
14	wiòúch
13	Bet
13	eúúat
13	Jo
13	mehs
13	úawas
13	tee
12	pahr
12	paúchu
12	tam
12	weens
11	Leetas
11	úew
11	tohp
11	us
10	wiúúeem
9	buhs
9	jo
9	Meeúas
9	muhs
9	nu
9	úawu
9	tohs
8	Garra
8	Kri§tu
8	Úwehteem
7	Deews
7	juhúo
7	lai
7	Mihle§tibas
7	Pahwils
7	preekúch
7	Schehla§tibas
7	Úeewas
7	tai
6	darrijis
6	jeb
6	Kas
6	man
6	Spehka
6	tahm
6	Tapehz
6	Tizzibu
6	warrat
5	Behrni
5	bijat
5	dohta
5	Draud§ibu
5	eúúam
5	Garru
5	Gohdibas
5	muhúo
5	Paúaules
5	pats
5	Prahtu
5	pretti
5	TAd
5	wairs
5	weena
5	weenu
5	zittkahrt
4	Baggatibu
4	Behrneem
4	Darbeem
4	Debbeúi^s
4	Deewam
4	dewis
4	doht
4	Eekúch
4	eúmu
4	eúúeet
4	JE§u
4	juhúu
4	Kalps
4	Kungam
4	kuººa
4	labbu
4	lihd§
4	Meeúa
4	Mihle§tibu
4	prett
4	prohti
4	Schehla§tiba
4	Semmes
4	§tarp
4	§tarpa^
4	Tadehï
4	tahïu
4	tappuúchi
4	Tehwa
4	wairak
4	wiòòu
4	wirs
4	wiúúa
4	wiúúu
4	zittus
4	1
3	aizinati
3	Aizinaúchanas
3	Apúohliúchanas
3	Ar
3	bes
3	Bruòòas
3	buhdami
3	Draud§ibas
3	d§irdejúchi
3	Eegribbeúchanas
3	eúúus
3	Galwa
3	Grehkeem
3	ja
3	Juhs
3	kad
3	kam
3	klahjahs
3	Ko
3	Kri§tum
3	Laiko^s
3	Leetahm
3	Mahza
3	Meers
3	Meeúa^
3	Meeúu
3	mihle
3	mihleht
3	mihlejis
3	muhúa
3	nahk
3	Ne
3	No
3	ohtru
3	Pagaòeem
3	Pagaòi
3	paúcha
3	paúcheem
3	peenahk
3	Prahta
3	Preezas=Mahzibu
3	Prohti
3	úawa^
3	Úlawu
3	úwehtu
3	ta`
3	Tehws
3	Tizzibas
3	tohpat
3	tohpeet
3	Ustaiúiúchanu
3	Wahrda
3	Wahrds
3	weena^
3	Weens
3	Wihreem
3	wiòòo
3	wiúúus
3	Zilwekeem
3	Zilweku
3	4
2	abbeem
2	alla§chiò
2	ap§ehgeleti
2	apwilkuúchi
2	augúchu
2	Amen
2	Apòemúchanu
2	Aúúini
2	bij
2	bija
2	bijam
2	bijuúchi
2	Buhúchana
2	buht
2	buhtu
2	Dahwanas
2	Dahwanu
2	darbojahs
2	Darbs
2	Darbu
2	darridami
2	darrihs
2	darriht
2	daud§
2	Debbes
2	Debbeúim
2	diwi
