Vârdformu skaits:	232
Vârdlietojumu skaits:	430


15	un
12	irr
11	eekúch
11	es
11	ka
11	tew
8	ta
7	JE§us
7	Kri§tus
7	man
6	Kunga
5	kas
5	to
4	Es
4	eúmu
4	muhúo
4	ne
4	no
4	tas
4	zaur
3	arrid§an
3	bet
3	Brahli
3	jo
3	jums
3	Kalpu
3	lai
3	nu
3	Pahwils
3	paúchu
3	pee
3	Úaitehm
3	tawa
3	tu
3	wairak
3	weenu
2	ar
2	atkal
2	Bet
2	Deewa
2	Deewam
2	dehï
2	gribbeju
2	itt
2	ja
2	juhúo
2	ka`
2	ko
2	labba
2	luhd§u
2	mannu
2	Mihle§tibas
2	Mihle§tibu
2	pahr
2	parrada^
2	peeòemm
2	Prahta
2	Preezas=Wahrda
2	rak§tijis
2	úakku
2	úawu
2	Schehla§tiba
2	úcho
2	úew
2	Úirdi
2	tad
2	Tad
2	tahs
2	tai
2	tam
2	tawa^
2	tawu
2	tewis
2	tomehr
2	us
2	weens
2	wiòòu
2	wiòúch
1	alla§chiò
1	apúweizina
1	arri
1	atdabbutu
1	atúchíirts
1	at§pird§inatas
1	at§pird§ini
1	Amen
1	Appiai
1	Ari§tarkus
1	Arkippam
1	At§ihúchanu
1	Beedri
1	bes
1	bijis
1	Brahlis
1	Brihdi
1	buhdams
1	buhs
1	Dalliba
1	Darba=Beedram
1	Darba=Beedri
1	darriht
1	darrijis
1	darriúi
1	Dehla
1	Demas
1	derrigs
1	Draud§ibai
1	Drohúchiba
1	d§emdenahts
1	d§emdinajs
1	D§irdedams
1	eepreezajohs
1	Eepreezinaúchana
1	eeúchíiòíohts
1	Epawras
1	eúúi
1	eúúoti
1	Garru
1	jaúchu
1	jeb
1	jepúchu
1	Jo
1	Ka
1	kalpotu
1	Kuººu
1	lab
1	Labbuma
1	Labdarriúchana
1	leela
1	leels
1	Luhgúchana^s
1	Luhgúchanahm
1	Luhkas
1	Mahjas=Weetu
1	makúaúchu
1	mann
1	manna
1	manna^s
1	mannahm
1	mannam
1	manni
1	mannim
1	mans
1	Markus
1	ma§u
1	Meers
1	Meeúa^
1	Mihïajai
1	Mihïajam
1	mihïu
1	muh§chigi
1	mums
1	Mums
1	Namma^
1	Ne
1	nederrigs
1	neneeka
1	Netaiúnibu
1	nobehguúchu
1	noúuhtijis
1	One§imu
1	Pahwila
1	Paklauúiúchanu
1	par
1	pateiz
1	pateizu
1	paturreht
1	pawehleht
1	PAhwils
1	peeklahjahs
1	peelahgadi
1	peeminnu
1	peeòemt
1	Preeks
1	prett
1	prohti
1	Rak§ta
1	Rohku
1	úai§tihts
1	Úai§tihts
1	úataiúi
1	úawa^
1	§innadams
1	Úirdis
1	§pee§ta
1	§pehziga
1	§tarpa^
1	Úwehteem
1	Úwehto
1	Ta
1	tahds
1	tahm
1	Tapeh§
1	tapehz
1	Tapehz
1	tapúchu
1	tawas
1	Teeúcham
1	Tehwa
1	tewim
1	tik
1	Timotejus
1	Tizziba
1	Tizzibas
1	Tizzibu
1	To
1	tohp
1	Tu
1	Tur
1	Turklaht
1	turri
1	uhs
1	Un
1	wairs
1	Weeta^
1	wezzajs
1	Wilemoòa
1	Wilemoòam
1	wiòòa
1	wiòòam
1	wiúúa
1	wiúúeem
1	wiúswairak
1	zeek
1	Zeetuma=Beedris
1	zerredams
1	zerreju
1	Zihniúchanas=Beedram
1	zittkahrt
1	10
1	16
1	4
