Vârdformu skaits:	219
Vârdlietojumu skaits:	430


16	un
15	es
12	irr
12	ka
11	eekúch
11	tew
9	ta
7	je§us
7	kri§tus
7	man
6	kunga
6	to
5	bet
5	kas
5	ne
4	eúmu
4	jo
4	muhúo
4	no
4	pahwils
4	tad
4	tas
4	tu
4	zaur
3	arrid§an
3	brahli
3	jums
3	kalpu
3	lai
3	nu
3	paúchu
3	pee
3	tawa
3	wairak
3	weenu
3	úaitehm
2	ar
2	atkal
2	deewa
2	deewam
2	gribbeju
2	itt
2	ja
2	juhúo
2	ka`
2	ko
2	labba
2	luhd§u
2	mannu
2	mihle§tibas
2	mihle§tibu
2	mums
2	pahr
2	parrada^
2	peeòemm
2	prahta
2	preezas=wahrda
2	rak§tijis
2	schehla§tiba
2	tahs
2	tai
2	tam
2	tapehz
2	tawa^
2	tawu
2	tewis
2	tomehr
2	us
2	weens
2	wiòòu
2	wiòúch
2	úai§tihts
2	úakku
2	úawu
2	úcho
2	úew
2	úirdi
1	10
1	16
1	4
1	alla§chiò
1	amen
1	appiai
1	apúweizina
1	ari§tarkus
1	arkippam
1	arri
1	atdabbutu
1	at§ihúchanu
1	at§pird§inatas
1	at§pird§ini
1	atúchíirts
1	beedri
1	bes
1	bijis
1	brahlis
1	brihdi
1	buhdams
1	buhs
1	dalliba
1	darba=beedram
1	darba=beedri
1	darriht
1	darrijis
1	darriúi
1	dehla
1	dehï
1	demas
1	derrigs
1	draud§ibai
1	drohúchiba
1	d§emdenahts
1	d§emdinajs
1	d§irdedams
1	dçï
1	eepreezajohs
1	eepreezinaúchana
1	eeúchíiòíohts
1	epawras
1	eúúi
1	eúúoti
1	garru
1	jaúchu
1	jeb
1	jepúchu
1	kalpotu
1	kuººu
1	lab
1	labbuma
1	labdarriúchana
1	leela
1	leels
1	luhgúchana^s
1	luhgúchanahm
1	luhkas
1	mahjas=weetu
1	makúaúchu
1	mann
1	manna
1	manna^s
1	mannahm
1	mannam
1	manni
1	mannim
1	mans
1	markus
1	ma§u
1	meers
1	meeúa^
1	mihïajai
1	mihïajam
1	mihïu
1	muh§chigi
1	namma^
1	nederrigs
1	neneeka
1	netaiúnibu
1	nobehguúchu
1	noúuhtijis
1	one§imu
1	pahwila
1	paklauúiúchanu
1	par
1	pateiz
1	pateizu
1	paturreht
1	pawehleht
1	peeklahjahs
1	peelahgadi
1	peeminnu
1	peeòemt
1	preeks
1	prett
1	prohti
1	rak§ta
1	rohku
1	tahds
1	tahm
1	tapeh§
1	tapúchu
1	tawas
1	teeúcham
1	tehwa
1	tewim
1	tik
1	timotejus
1	tizziba
1	tizzibas
1	tizzibu
1	tohp
1	tur
1	turklaht
1	turri
1	uhs
1	wairs
1	weeta^
1	wezzajs
1	wilemoòa
1	wilemoòam
1	wiòòa
1	wiòòam
1	wiúswairak
1	wiúúa
1	wiúúeem
1	zeek
1	zeetuma=beedris
1	zerredams
1	zerreju
1	zihniúchanas=beedram
1	zittkahrt
1	§innadams
1	§pee§ta
1	§pehziga
1	§tarpa^
1	úataiúi
1	úawa^
1	úirdis
1	úwehteem
1	úwehto
