Vârdformu skaits:	974
Vârdlietojumu skaits:	3092


100	irr
93	to
71	ne
68	kas
63	tahs
62	no
61	ka
60	es
59	un
55	ta
54	juhs
47	tas
35	eekúch
33	Bet
33	Kri§tus
32	zaur
30	Jo
30	tee
30	teem
28	mehs
24	bet
23	arrid§an
23	jums
23	tad
21	Un
20	eúúat
20	ja
20	ko
19	ar
18	nu
17	Bauúlibas
17	eúmu
16	pee
15	Deewa
15	JE§us
15	pahr
15	Tizzibas
14	ka`
13	jo
13	paúchu
13	us
13	weens
12	eúúam
12	man
12	neds
12	pehz
12	ween
11	bij
11	kad
10	appakúch
10	atkal
10	Meeúas
10	tohp
9	Bauúlibu
9	bija
9	buhtu
9	Garru
9	itt
9	jeb
9	úawu
9	tai
8	Bauúliba
8	Brahïi
8	Kri§tu
8	lai
8	mannim
8	par
7	Darbeem
7	Deews
7	juhúo
7	Pagaòeem
7	Pahwils
7	úew
7	§tarp
7	Tad
7	Tizzibu
7	tohpat
7	tohs
7	wiòúch
6	buhs
6	kahdu
6	Kunga
6	muhs
6	muhúo
6	pretti
6	rak§tihts
6	tam
6	tu
6	uhs
6	wairs
6	weenu
6	Zilweks
5	Behrni
5	buhdams
5	Deewu
5	Es
5	Garra
5	kahda
5	klaht
5	Kru§ta
5	ohtru
5	úakku
5	tahm
5	welti
5	Zilwekeem
5	zittu
5	1
4	Abra&a&ma
4	Apgrai§iúchanas
4	Apúohliúchanas
4	Apúohliúchanu
4	buht
4	darra
4	Dehlu
4	gahjis
4	Garra^
4	Jeru§alemi
4	Juhs
4	Kalpones
4	Kalps
4	Meeúu
4	papreekúch
4	paúchi
4	Preezas=Wahrdu
4	ta`
4	taiúnoti
4	tik
4	Tizziba
4	tomehr
4	Tomehr
4	tur
4	weena
4	wiòòu
4	wiúúu
4	zeek
3	apgrai§iti
3	Abra&a&mam
3	Apu§tuïeem
3	Behrns
3	bijis
3	Brihdi
3	daud§
3	Deewam
3	dehï
3	diwi
3	dohta
3	d§ihwo
3	d§ihwoju
3	d§irdejúchi
3	Gaddeem
3	jepúchu
3	Judds
3	Kam
3	Kru§ta^
3	labbu
3	lihd§i
3	Mahza
3	mann
3	manna^
3	Meers
3	Meeúa^
3	Mihle§tibu
3	mums
3	nahktu
3	neneeka
3	nolahdehts
3	paúcha
3	patt
3	Pehteºam
3	pïauús
3	Prahtu
3	preekúch
3	Preezas=Mahzibu
3	Rak§ts
3	Schehla§tiba
3	Schehla§tibu
3	úehj
3	Úwabbadas
3	Úwabbadibas
3	taggad
3	tappis
3	tapt
3	Tehwa
3	tohpam
3	wairak
3	zitti
2	aizinajis
2	apgrai§ihts
2	apleezinaju
2	ap§tipprinata
2	Abra&a&mu
2	Amatu
2	Amen
2	Apgrai§iúchana
2	Behrno
2	BEt
2	bijam
2	bijuúchi
2	Brahli
2	Dabbu
2	dabbujuúchi
2	dabbutum
2	Darbus
2	darriht
2	daud§eem
2	Deenas
2	Dehla
2	dohmu
2	Draud§ibahm
2	d§ihwohs
2	Eemantoúchana
2	Eúúat
2	Galateºus
2	Greeíeris
2	Grehkeem
2	Grehzineeki
2	grib
2	gribb
2	gribbat
2	guh§titi
2	ikweenam
2	ikweens
2	jauna
2	JE§u
2	Jttin
2	Juddi
2	Ka
2	kahds
2	kahrta^
2	Kalpoúchanas
2	kam
2	kar§ti
2	Kri§tum
2	labbi
2	Labbumu
2	Lah§teem
2	Lai
2	leekahs
2	leeku
2	leelitees
2	Leetas
2	luhkojeet
2	Mahzibu
2	mannas
2	mannu
2	Mantineeks
2	Meeúai
2	nahkuúchi
2	nahze
2	nahzis
2	Neba
2	òehmis
2	nekahdu
2	neúúihs
2	nomirris
2	pa
2	padarra
2	Pagaòus
2	pakkaï
2	paleek
2	papreekúchu
2	Parahdiúchanu
2	Paúaules
2	paúluddina
2	paúluddinatu
2	Pateeúibai
2	peed§immis
2	Pehteri
2	Pehz
2	pirms
2	Preekúch=Ahda
2	Preezas=Mahzibas
2	Rohku
2	runnaju
2	úajauz
2	úakka
2	úchahs
2	Schehla§tibas
2	úchíittahs
2	úcho
2	Úehklai
2	úenn
2	Sina
2	úi§ts
2	úluddinaju
2	Úluddinaúchanas
2	§pehj
2	§pehziga
2	§pehzigs
2	§tarpa^
2	Úwehtiba
2	úwehtigs
2	Taiúniba
2	taiúnohts
2	tapehz
2	tappe
2	taps
2	taptu
2	teekams
2	turreti
2	waijaja
2	Walúchíibu
2	weenas
2	wehl
2	wiús
2	wiúúa
2	wiúúeem
2	wiúúi
2	Zilweka
2	zittkahrt
2	11
2	12
2	2
2	22
2	6
1	ahrenes
1	ahrigeem
1	aiskawejs
1	aizina
1	aizinahts
1	aizinati
1	alla§chiò
1	apdahwinajs
1	apgrai§iteem
1	apjautajees
1	apluhkoht
1	apmahnejs
1	apprezeta
1	aprihti
1	apúlehd§is
1	apúlehpti
1	apúmeetees
1	apúmehjuúchi
1	apúohlita
1	apúuhd§ams
