Vârdformu skaits:	925
Vârdlietojumu skaits:	3087


101	irr
93	to
80	un
72	ne
69	kas
65	es
63	ka
63	tahs
62	no
59	bet
57	juhs
56	ta
47	tas
43	jo
36	eekúch
33	kri§tus
32	zaur
31	tad
31	tee
30	teem
29	mehs
23	arrid§an
23	jums
22	ja
21	eúúat
21	ko
19	ar
18	eúmu
18	nu
17	bauúlibas
16	pahr
16	pee
15	deewa
15	je§us
15	pehz
15	tizzibas
14	ka`
13	neds
13	paúchu
13	us
13	weens
12	eúúam
12	man
12	ween
11	appakúch
11	bij
11	kad
10	atkal
10	lai
10	meeúas
10	úawu
10	tohp
9	bauúlibu
9	bija
9	brahïi
9	buhtu
9	garru
9	itt
9	jeb
9	par
9	tai
8	bauúliba
8	kri§tu
8	mannim
8	pahwils
8	tomehr
7	darbeem
7	deews
7	juhúo
7	pagaòeem
7	pretti
7	úew
7	§tarp
7	tizzibu
7	tohpat
7	tohs
7	wiòúch
6	buhs
6	kahdu
6	kunga
6	muhs
6	muhúo
6	rak§tihts
6	tam
6	tu
6	uhs
6	wairs
6	weenu
6	zilweks
5	behrni
5	buhdams
5	deewu
5	garra
5	kahda
5	kam
5	klaht
5	kru§ta
5	ohtru
5	úakku
5	ta`
5	tahm
5	tur
5	welti
5	zeek
5	zilwekeem
5	zittu
5	1
4	abra&a&ma
4	apgrai§iúchanas
4	apúohliúchanas
4	apúohliúchanu
4	darra
4	dehlu
4	gahjis
4	garra^
4	jeru§alemi
4	kalpones
4	kalps
4	mahza
4	meeúu
4	nolahdehts
4	papreekúch
4	paúchi
4	preezas=wahrdu
4	úwabbadas
4	taiúnoti
4	tik
4	tizziba
4	weena
4	wiòòu
4	wiúúu
3	abra&a&mam
3	apgrai§iti
3	apu§tuïeem
3	behrns
3	bijis
3	brihdi
3	buht
3	dabbu
3	daud§
3	deewam
3	dehï
3	diwi
3	dohta
3	d§ihwo
3	d§ihwoju
3	d§irdejúchi
3	gaddeem
3	ittin
3	jepúchu
3	judds
3	kru§ta^
3	labbu
3	lihd§i
3	mann
3	manna^
3	meers
3	meeúa^
3	mihle§tibu
3	mums
3	nahktu
3	neneeka
3	paúcha
3	patt
3	pehteºam
3	pïauús
3	prahtu
3	preekúch
3	preezas=mahzibu
3	rak§ts
3	schehla§tiba
3	schehla§tibu
3	úehj
3	úwabbadibas
3	taggad
3	tapehz
3	tappis
3	tapt
3	tehwa
3	tohpam
3	wairak
3	wiúúi
3	zitti
2	abra&a&mu
2	aizinajis
2	ak
2	amatu
2	amen
2	apgrai§ihts
2	apgrai§iúchana
2	apleezinaju
2	ap§tipprinata
2	behrno
2	bijam
2	bijuúchi
2	brahli
2	dabbujuúchi
2	dabbutum
2	darbus
2	darriht
2	daud§eem
2	deenas
2	dehla
2	dohmu
2	draud§ibahm
2	d§ihwohs
2	eemantoúchana
2	galateºus
2	greeíeris
2	grehkeem
2	grehzineeki
2	grib
2	gribb
2	guh§titi
2	ikweenam
2	ikweens
2	jauna
2	je§u
2	juddi
2	kahds
2	kahrta^
2	kalpoúchanas
2	kar§ti
2	kri§tum
2	kur
2	labbi
2	labbumu
2	lah§teem
2	leekahs
2	leeku
2	leelitees
2	leetas
2	luhkojeet
2	mahzibu
2	mannas
2	mannu
2	mantineeks
2	meeúai
2	nahkuúchi
2	nahze
2	nahzis
2	neba
2	òehmis
2	nekahdu
2	neúúihs
2	nomirris
2	pa
2	padarra
2	pagaòus
2	pakkaï
2	paleek
2	papreekúchu
2	parahdiúchanu
2	paúaules
2	paúluddina
2	paúluddinatu
2	pateeúibai
2	peed§immis
2	pehteri
2	pirms
2	preekúch=ahda
2	preezas=mahzibas
2	red§i
2	rohku
2	runnaju
2	úajauz
2	úakka
2	úchahs
2	úcheem
2	schehla§tibas
2	úchíittahs
2	úcho
2	úehklai
2	úenn
2	sina
2	úi§ts
2	úluddinaju
2	úluddinaúchanas
2	§pehj
2	§pehziga
2	§pehzigs
2	§tarpa^
2	úwehtiba
2	úwehtigs
2	taiúniba
2	taiúnohts
2	tappe
2	taps
2	taptu
2	teekams
2	turreti
2	waijaja
2	walúchíibu
2	weenas
2	wehl
2	wiús
2	wiúúa
2	wiúúeem
2	zilweka
2	zittkahrt
2	11
2	12
2	2
2	22
2	6
1	abba
1	abra&a&ms
1	agar
1	agara
1	ahrenes
1	ahrigeem
1	aiskawejs
