Vârdformu skaits:	892
Vârdlietojumu skaits:	2303


118	un
90	irr
61	ne
61	to
58	kas
53	ta
43	juhs
40	no
36	ka
35	tas
33	tahs
27	bet
26	weens
21	tad
20	jo
17	juhúu
16	buhs
16	ja
16	teem
16	wiòúch
15	brahïi
14	arrid§an
14	eekúch
14	jums
13	deewa
13	ta`
12	mehs
12	pee
12	tee
12	tohp
12	tu
12	weena
11	tam
10	darbeem
10	eúúat
10	kunga
10	manni
10	tohs
9	ar
9	nu
9	preekúch
9	tizziba
9	us
8	par
7	jeb
7	pahr
7	patt
7	pehz
7	zaur
6	bauúlibu
6	bes
6	juhúas
6	ko
6	lai
6	red§i
6	úawu
6	tappis
6	wiòòu
6	zilweks
5	ka`
5	kad
5	neììi
5	úakka
5	úew
5	tew
5	tur
4	behdahm
4	buhtu
4	eúúam
4	eúúeet
4	itt
4	jehkabs
4	kahds
4	kungs
4	laid
4	lihd§
4	nahk
4	neds
4	nomirruúi
4	paúaules
4	pretti
4	úawas
4	tizzibas
4	tizzibu
4	wahrda
4	wahrdu
4	warr
4	ween
4	weenu
4	wiòòam
4	wiúúeem
4	wiúúu
4	1
3	augúchanes
3	baggati
3	bauúlibas
3	buht
3	darbi
3	darritajs
3	daud§
3	deewam
3	deews
3	deewu
3	dohd
3	eúúi
3	grehkus
3	kahrdinahts
3	luhd§at
3	luhgúchana
3	luhgt
3	mahza
3	meeru
3	meeúu
3	mehle
3	mihïi
3	ohtru
3	paúcha
3	pateeúibas
3	prett
3	rak§ts
3	semmes
3	§innat
3	úirdis
3	§tahw
3	§tarpa^
3	tappuúi
3	tik
3	tohpat
3	tuwu
3	ugguns
3	weena^
3	wihrs
3	wiòòa
3	wiúúa
3	14
2	abra&a&ms
2	akka
2	aprunna
2	ap§chehloúchanas
2	atgree§ch
2	baggats
2	bija
2	brahli
2	dabbas
2	dabbuhs
2	darra
2	darrajt
2	darrat
2	darriht
2	darrijuúchi
2	darriti
2	debbes
2	draugs
2	drehbehm
2	drehbes
2	d§emde
2	eeded§ina
2	eekahroúchana
2	eenaidiba
2	gudriba
2	isglahbs
2	jelle
2	je§us
2	juhºas
2	kahda^
2	kahribahm
2	kalpoúchana
2	klauúitajs
2	kluhp
2	kri§tus
2	labba^
2	labbi
2	labbu
2	laulibu
2	ïauna
2	ïaunu
2	leelaku
2	leelijahs
2	lehnprahtigi
2	lepnibas
2	luhd§
2	luhd§e
2	man
2	meeúas
2	mehli
2	mihle
2	muhúu
2	nahkuúi
2	neneeka
2	palehns
2	palihd§
2	paneús
2	paúchas
2	paúchu
2	pa§trahda
2	pats
2	pazeeúchanu
2	pilniga
2	pilnigs
2	puííe
2	raudajt
2	raugi
2	rihtu
2	ruhktu
2	úaldu
2	úargatees
2	úawa
2	úaweem
2	úawus
2	úazziht
2	úazzijis
2	úazzitat
2	úchahs
2	schehla§tibu
2	úchi
2	úchíih§ta
2	úcho
2	úehdees
2	úohda
2	úohdi
2	úohdibu
2	úohìis
2	§tarp
2	§tarpa
2	úwabbadibas
2	swehro
2	úwehtigs
2	tadehï
2	tahda
2	taiúnohts
2	tapehz
2	taps
2	tawu
2	tehwa
2	tomehr
2	turrahs
2	turreht
2	waiga
2	waldita
2	warrig
2	weeta^
2	wiòòo
2	wirs
2	18
2	7
1	ahrenes
1	ahriga
1	ahrigu
1	aisees
1	aismirúigs
1	aismirúis
1	aisturreht
1	aizina
1	alga
1	algu
1	altari
1	apgahna
1	apgahnita
1	apgahnitu
1	apklahs
1	apluhko
1	appakúch
1	aprauga
1	aprihjat
1	aprihs
1	aprunnajt
1	ap§chehloúchana
