Vârdformu skaits:	346
Vârdlietojumu skaits:	592


27	un
23	irr
14	to
12	tee
11	no
11	tahs
10	kas
7	jums
7	tas
6	Bet
6	eekúch
6	ka
6	ta
6	teem
6	tohs
5	ar
5	juhs
5	ko
5	muhúu
4	Un
4	pahr
4	par
4	us
4	zaur
4	Úohdibu
4	úawu
3	Deewa
3	JE§us
3	Kri§tus
3	Kungs
3	Mihïee
3	arrid§an
3	bes
3	lai
3	ne
3	papreekúch
3	paúchus
3	pehz
3	Úchee
3	úchee
3	úew
2	Darbeem
2	Deenas
2	Garra
2	JE§u
2	Jo
2	Kahribahm
2	Kri§tu
2	Kunga
2	Mahziba
2	Meeúu
2	Mihle§tibas
2	Mo§us
2	Tizzibu
2	Ugguns
2	Zilweki
2	besdeewigi
2	bet
2	bij
2	daud§
2	es
2	ka`
2	kad
2	kam
2	muh§chigi
2	patt
2	paúchu
2	prett
2	rak§tiht
2	weena
2	weenrei§i
2	wiòòu
2	wiúúeem
2	§aimo
2	Úwehteem
2	úawahm
2	úcho
1	14
1	3
1	4
1	9
1	Adama
1	Aizinateem
1	Algas
1	Amen
1	Apgahniúchana
1	Apu§tuïeem
1	Ap§chehloúchana
1	Ap§chehloúchanu
1	Aug§tibas
1	Bahrgas
1	Bala&a&ma
1	Besdeewigi
1	Besdeewigus
1	Beskaunibas
1	Bijaúchanas
1	Bijaúchanu
1	Brahlis
1	Dabbas
1	Deewam
1	Deewu
1	D§ihrehm
1	D§ihwokli
1	D§ihwoúchanas
1	Egipteºu
1	Enoka
1	Enoks
1	Eògeïus
1	Eòìelis
1	Gohdibu
1	Gohds
1	Gomorra
1	Grehzineeki
1	JUhdas
1	Jehkaba
1	Jttin
1	Juhºas
1	Ka
1	Ka&ina
1	Kahrta^
1	Kalps
1	Kaunu
1	Kohki
1	Kores
1	Kund§ibas
1	Kungu
1	Laiko^s
1	Leelibas
1	Leetas
1	Lihgúmibu
1	Mahzibas
1	Mahzitajus
1	Mauzibu
1	Meers
1	Meeúahm
1	Meeúai
1	Meeúas
1	Mihle§tiba
1	Miííelis
1	Miííeïa
1	Muttes
1	Netizzigus
1	No
1	Padebbeúis
1	Pa§tahweúchanas
1	Peedurúchanas
1	Peewilúchanu
1	Pe§titajam
1	Pe§tiúchanas
1	Pilsúati
1	Praweeúcho
1	Preekúcha=Sihmi
1	Prettirunnaúchanu
1	Saimoúchanas
1	Schehla§tibu
1	Semmes
1	Sodoma
1	Spehks
1	Starpibu
1	Swaig§nes
1	Swehri
1	Ta`
1	Tam
1	Teeúu
1	Tehwa
1	Tumúiba
1	Tumúibas
1	Turrajtees
1	Uhdenim
1	Uspelniúchanas
1	Wahrdeem
1	Wahrdus
1	Waj
1	Walditaju
1	Warra
1	Weeúiba^s
1	Wehjeem
1	Wellu
1	Wilòus
1	Wirúibu
1	Zeïïu
1	Zihk§teúchanas
1	Zilweku
1	aisgrahbeet
1	aisleed§
1	allodamas
1	apgahna
1	apgahnitus
1	apkahrt
1	appakúch
1	ap§chehlojeetees
1	apúohda
1	atgahdinaht
1	at§ih§t
1	at§tahjuúchi
1	atúchíiººahs
1	aug§ta
1	bahrahs
1	baººodami
1	behda
1	besdeewigahm
1	besdeewigeem
1	besprahtigi
1	beswainigus
1	brihnijahs
1	buhs
1	dabbigi
1	darbojohs
1	darridami
1	darrijahs
1	darrijuúchi
1	daud§kahrtigi
1	deews
1	diwkahrt
1	drih§teja
1	d§innuúchi
1	eedohta
1	eenihdeet
1	eewihluúchees
1	eezeltas
1	eúúam
1	gaididami
1	gribbu
1	gudram
1	gullami
1	isgah§ti
1	isglahbeet
1	isnihk§t
1	isputtina
1	isúaknoti
1	itt
1	jaw
1	jo
1	juhúahm
1	juhúu
1	kahdi
1	kahdu
1	kaili
1	kohpa^
1	kurne
1	lab
1	labbad
1	labbeem
1	leelas
1	leels
1	lepnas
1	lihd§i
1	luhgdami
1	luhgt
1	mahzijis
1	man
1	mehtati
1	muh§cham
1	muh§chiga
1	muh§chigahm
1	muh§chigas
1	mums
1	nahks
1	neaugligi
1	neleeúcheem
1	newaid
1	ne§t
1	nizzina
1	nogahjuúchi
1	nomaitajis
1	nomaitati
1	nomirruúchi
1	nu
1	ohtra^
1	pahrmahziht
1	pahrwehr§ch
1	pakkaï
1	pane§dami
1	paturreta
1	pa§taras
1	paúargaht
1	paúargateem
1	paúchi
1	pee
1	peeminneet
1	pehdejo^s
1	pe§tijis
1	preekúch
1	pretti
1	rak§titi
1	red§i
1	runnajuúchi
1	run~a
1	ta`
1	tad
1	tahm
1	ta~
1	tee~
1	tew
1	tik
1	tikkuúchi
1	tohp
1	tuhk§toúcheem
1	tur
1	turreht
1	ustaiúajt
1	u~
1	waijaga
1	weenam
1	weenigu
1	weens
1	weenu
1	wiltigus
1	wiòòo
1	wiòúch
1	wiús
1	wiúsd§iïïaka
1	wiúúee~
1	wiúúus
1	zihk§tatees
1	zittai
1	zitteem
1	zittus
1	§inna
1	§innat
1	§pehzigs
1	§tahdiht
1	§taiga
1	§taigadami
1	§taigajuúchi
1	§tarp
1	Ïaudis
1	Úaitehm
1	Úapnotaji
1	Úlawa
1	Úmehjeji
1	Úwahrkus
1	Úwehtiteem
1	úargajuúchi
1	úaturrejis
1	úaweem
1	úazzidams
1	úazzija
1	úazzijuúchi
1	úazziti
1	úcheem
1	úen
1	úeptitais
1	úohdihs
1	úwehta
1	úwehtaku
