Vârdformu skaits:	735
Vârdlietojumu skaits:	1968


104	un
67	irr
60	eekúch
54	to
50	kas
49	juhs
45	ka
45	tahs
40	ta
30	ne
28	no
26	ar
25	jums
25	kri§tus
20	arrid§an
19	tas
19	teem
17	deewa
17	eúúat
15	zaur
14	jeb
14	wiúúas
13	es
12	ko
11	pee
10	jo
10	juhúo
10	par
10	tam
10	wiòòa
9	itt
9	ka`
9	nu
9	weens
8	meeúas
8	pahr
8	pehz
8	preekúch
8	tad
7	bet
7	je§us
7	kunga
7	uhs
6	eúmu
6	guddribas
6	ja
6	kad
6	lai
6	leetas
6	man
6	mehs
6	pahwils
6	wiòòu
6	wiúúu
5	d§irdejúchi
5	eúúeet
5	kalps
5	kungam
5	mums
5	prohti
5	wiòúch
5	zilweku
4	buhs
4	debbeúi^s
4	klahjahs
4	meeúu
4	muhúo
4	paúaules
4	semmes
4	úew
4	tahm
4	tee
4	tohp
4	us
4	wiúúa
4	wiúúeem
3	apúweizina
3	at§ihúchanas
3	darbeem
3	darrajt
3	darrijis
3	deewam
3	deews
3	dehï
3	gohdibas
3	ikkatru
3	ittin
3	kahda
3	kri§tu
3	leeta^s
3	mihle§tibu
3	ohtru
3	parei§i
3	pilnigi
3	prahta
3	prahta^
3	prett
3	úaweem
3	§tarp
3	§tarpa^
3	úwehteem
3	tapehz
3	tehwa
3	tehwam
3	tizzibas
3	tohs
3	wahrda
3	waldiúchanas
3	warru
3	wirs
3	zilweko
3	18
2	ahrenes
2	alla§chiò
2	apgrai§iúchanas
2	apwelzeet
2	aúúini
2	at§ihúchanu
2	augúcha^
2	behrneem
2	bija
2	bijuúchi
2	brahlis
2	buhdami
2	darba=beedri
2	darra
2	darrat
2	deenas
2	deewu
2	dohmu
2	draud§ibas
2	d§eeúmahm
2	d§ihwiba
2	eemantoúchanas
2	eúúam
2	eúúus
2	galwa
2	grahmatu
2	grehko
2	jaunu
2	juhúa^s
2	juhúas
2	kalpeem
2	klaht
2	kru§ta
2	kungeem
2	kur
2	laipnibu
2	laúúita
2	leetahm
2	leeto
2	luhgdami
2	mahza
2	mahzidami
2	mannu
2	mantas
2	meers
2	mihïu
2	miººoòeem
2	muhs
2	nomirruúchi
2	noúlehpuma
2	paúchu
