Vârdformu skaits:	5051
Vârdlietojumu skaits:	23523


1158	un
561	to
548	Un
470	tas
399	no
362	ne
362	tee
360	wiòúch
343	kas
338	irr
317	teem
313	úazzija
299	ta
291	ka
247	Bet
193	uhs
187	pee
183	us
181	wiòòu
176	juhs
168	ar
166	bija
152	wiòòa
149	es
147	kad
145	tahs
139	jums
133	tad
124	tu
116	tohs
107	tam
107	weens
105	jo
99	bet
99	buhs
97	JE§us
95	ko
93	arrid§an
86	Deewa
81	Dehla
77	pahr
75	bij
70	tew
70	tur
70	weenu
69	Jo
63	úawu
62	Kungs
62	wiòòam
51	man
50	eekúch
50	Es
50	eúmu
50	nahze
50	úakku
49	preekúch
48	taps
46	daud§
46	mums
46	Tad
44	pehz
44	úawa^
43	Dehls
42	eúúi
42	tohp
41	wiúúi
40	ta`
39	Deewu
36	atbildeja
36	juhúu
36	kam
36	Ïaudis
36	Leetas
36	úcho
35	ja
35	notikkahs
35	red§i
34	jeb
34	neds
33	mannim
33	Ne
33	úazzidams
33	UN
33	weena
33	zaur
33	Zilweka
32	par
32	Ta
32	tappe
32	wehl
31	diwi
31	Ïaudim
31	Namma^
31	§tarpa^
30	Ka
30	wiúúeem
30	wiúúu
29	prett
29	úawas
29	tappa
28	nahk
28	Tas
27	mehs
27	úaweem
27	Zilweks
26	arri
26	tapehz
25	atkal
25	eúúat
25	Kunga
25	nu
25	pakkaï
25	úchi
25	tahm
24	tawu
24	Tehws
24	tewim
23	pats
22	Deena^
22	úchis
22	tapt
22	Wahrda^
21	augúcham
21	Mahzekïeem
21	tai
20	buhtu
20	gahja
20	lihd§
20	manni
20	úazzidami
20	Semmes
20	weena^
19	darriht
19	Debbes
19	Dehlu
19	Lihd§ibu
19	úazziht
19	Wahrdu
18	JE§u
18	mann
18	red§eja
18	úawus
18	§tarp
18	tawa
17	eúúam
17	kahdu
17	mans
17	patt
17	runnaja
17	Úeewa
17	tanni^
17	ween
17	wiúúas
17	Zeïïu
16	Deews
16	gahje
16	manna
16	nahks
16	úawa
16	§tahweja
16	zitti
15	d§irdeja
15	ir
15	Kad
15	Kri§tus
15	Kungu
15	Mahria
15	nahzis
15	Rohkas
15	teekams
15	tuwu
15	wairak
15	weenam
15	Wiòúch
14	dehï
14	Grehkeem
14	Ja
14	jaw
14	kur
14	luhd§e
14	mannis
14	No
14	pa
14	Pehteris
14	rak§tihts
14	Tapehz
14	taws
14	tewi
14	Wahrda
14	wiúúus
14	1
13	atradde
13	Augïus
13	darra
13	darrija
13	darrijis
13	doht
13	eeúahze
13	eet
13	eúúohts
13	Galilejas
13	Jeru§alemes
13	klaht
13	úakka
13	úchihs
13	Úeewas
13	úuhtija
13	warr
13	zehlehs
12	appakúch
12	atbildedams
12	atpakkaï
12	brihnijahs
12	deúmits
12	dewe
12	d§ird
12	Eòìelis
12	eúúaht
12	gribbeja
12	gribbu
12	Kas
12	lai
12	neneeka
12	newa
12	ohtru
12	red§edams
12	red§eht
12	úchahs
12	tanni^s
12	Tee
12	Tehwa
12	tomehr
12	tudaï
11	apkahrt
11	Ba§niza^
11	Deena^s
11	Deenas
11	eek§ch
11	eh§t
11	Eúúi
11	itt
11	ittin
11	Jahòa
11	Jahnis
11	Laika^
11	leels
11	Mahte
11	muhs
11	nahkt
11	paúcha^
11	paúchi
