Vârdformu skaits:	3129
Vârdlietojumu skaits:	14065


778	un
434	Un
329	to
298	tee
277	tas
250	teem
248	wiòúch
234	no
225	ne
216	ka
205	us
198	irr
190	úazzija
165	wiòòu
152	kas
140	Bet
119	ar
119	pee
103	wiòòa
92	juhs
88	bij
88	JE§us
85	kad
78	tha
77	bija
70	es
69	tohs
68	tad
67	ko
67	weens
60	tam
59	ta
55	bet
55	nahze
55	weenu
51	tur
50	jo
49	daud§
48	jums
47	Jo
47	tu
45	tew
44	tahs
43	wiòòam
42	eekúch
39	buhs
35	tho
34	thas
32	atbildeja
32	ja
32	pahr
31	arrid§an
30	atkal
30	Deewa
27	jeb
27	ta`
27	wiúúi
26	diwi
25	Dehls
25	red§eja
25	taps
25	tohp
24	Ïaudis
24	Mahzekïeem
24	pakkaï
24	tahm
24	Wahrdu
23	eeúahze
23	gahje
23	JE§u
23	tappe
23	uhs
23	zaur
22	mums
22	úaweem
21	augúcham
21	eúúam
21	Mahzekïi
21	mehs
21	tudaï
21	tudaliò
21	wiòòo
20	úakku
20	úawa^
20	warr
20	wehl
20	Zilweka
19	dehï
19	isgahje
19	man
19	neds
19	úazzidams
19	weena
18	apkahrt
18	òehme
18	par
18	pehz
18	preekúch
17	Deews
17	kam
17	pats
17	úawu
16	eúmu
16	kahdu
16	Ïaudim
16	lihd§
16	manni
16	wiúúu
16	zitti
15	Es
15	is
15	itt
15	jautaja
15	likke
15	mannim
15	nu
15	prett
15	úcho
15	úewim
15	ween
15	Zilweks
14	Deewu
14	dewe
14	eúúaht
14	Namma^
14	úawas
14	Semmes
14	§tarp
14	Tas
14	UN
13	juhúo
13	kur
13	Laiwa^
13	Ne
13	pa
13	úawus
13	úazzijis
13	§tarpa^
13	Tad
13	tapt
13	Zeïïu
12	Debbes
12	d§irdeja
12	Ko
12	papreekúchu
12	paúchu
12	Pehteris
12	úazzidami
12	wairs
12	wiús
11	darriht
11	doht
11	Jahòa
11	Kri§tus
11	Kungs
11	lai
11	luhd§e
11	Pateeúi`
11	úakka
11	úew
11	tawa
11	tawu
11	wiòòeem
11	wiúúeem
11	zits
10	buhtu
10	darra
10	ehd
10	eh§t
10	eúúi
10	Galwu
10	gann
10	Ja
10	Jahni
10	jaw
10	Ka
10	Kas
10	Kru§ta^
10	Leetahs
10	Mai§i
10	nogahje
10	runnaja
10	úazziht
10	Úirds
10	úuhtija
10	tapehz
10	Tehwu
10	Wahrda^
10	weenam
10	Wellus
10	wiúúahs
9	Deena^
9	Drehbehs
9	Erodus
9	Gars
9	Greek
9	Jahnis
9	klaht
9	kritte
9	labbu
9	ïohti`
9	Mahzitajs
9	mann
9	Pilatus
9	Rak§ta=Mahzitajeem
9	red§i
9	Rohku
9	úchi
9	úchis
9	wirs
9	1
8	ahra
8	brehze
8	buht
8	Debbeúi^s
8	Deena^s
8	Dehlu
8	Jehkaba
8	Íehniòúch
8	Leezibu
8	mahzija
8	manna
8	nahks
8	No
8	pretti
8	Rohkas
8	Úeewa
8	tai
8	Wahrda
8	wairak
8	warreja
8	zehlehs
7	Aug§tee=Pree§teºee
7	bes
7	darrija
7	darrijis
7	Deewa=Namma^
7	Garru
7	Jehkabu
7	Jeru§alemes
7	Juhºas
7	kahda
7	labbaki`
7	Laika^
7	Ïau§cho
7	Lihd§ibahm
7	Mahte
7	Mahti
7	Maria
7	neeka
7	neneeka
7	neúúe
7	newa
7	nomohda^
7	patt
7	pawehleja
7	Pehteri
7	preekúcha
7	rak§tihts
7	Rohkahs
7	úawa
7	Úeewas
7	úehdeja
7	§innaht
7	§tahweja
7	Tu
7	waizaja
7	Wall
7	Wal§tiba
7	warretu
7	zeek
7	zelúees
6	atradde
6	Augïus
6	bihjajahs
6	Brahïi
6	brihnijahs
6	darraht
6	d§ird
6	d§irdejúchi
6	Durwim
6	eij
6	Elijas
6	Galda
6	Galilejas
6	gribbu
6	Gultu
6	ir
6	Juhºa^
6	kahda^
6	kahrt
6	Kur
6	Mahzekïus
6	Mai§ehs
6	mekleja
6	Mo§us
6	nahzis
6	newaid
6	noh§t
6	noteek
6	padeúmiteem
6	peeòemm
6	Rak§ta=Mahzitaji
6	Red§i
6	úchee
6	Úchi
6	tappis
6	Tehws
6	tewim
6	tomehr
6	turrenes
6	Wari§e&e&ºo
6	Warru
6	wiò§ch
6	Zilweku
6	14
5	aisleed§e
5	aizinaja
5	apdraudeja
5	appakúch
5	atbildedams
5	atlaide
5	Akli
5	Auúis
5	Biííeri
5	Brahli
5	brehkdams
5	darritu
5	daúchkahrt
5	Deenahs
5	Deewam
5	ee=eet
5	eegahje
5	eet
5	eúúohts
5	Grehkeem
5	gribbeja
5	ilgi`
5	isd§inne
5	iseet
5	ittin
5	Jr
5	Juhs
5	Kad
5	kahds
5	kahrtigi`
5	Kam
5	kluúúu
5	labbas
5	labbi`
5	Lai
5	Laiks
5	Leeldeenas=Jehru
5	leels
5	Likkumu
5	mannis
5	Meita
5	Miººoòeem
5	nahk
5	nahkt
5	Nammu
5	nodohts
5	notiks
5	notizzis
5	pirms
5	Prahtu
5	preekúcha^
5	Rohkahm
5	runna
5	úakki
5	úawahs
5	Úeewu
5	Semme
5	úewiúchki`
5	úezzen
5	Ta`
5	tahdahs
5	tahïenes
5	tanni^s
5	taptu
5	tawas
5	tizz
5	tuwu
5	u~
5	Wahrds
5	Wakkars
5	Wari§e&e&ºi
5	weúúela
5	weúúelus
5	wiúúa
5	wiúúas
5	wiúúus
5	Zilweko
5	zittus
5	2
5	35
4	ahra^
4	aiskahre
4	alla§chiò
4	arri
4	arrig
4	atnahze
4	at§tahje
4	at§tahjuúchi
4	atwedde
4	Apgrehzibu
4	Azzis
4	Ba§niza^
4	Bauúli
4	Bauúlis
4	behd§e
4	Behrna
4	Behrni
4	Brahlis
4	darram
4	Dawida
4	Deena
4	Deenahm
4	Deewa=Nammu
4	Dehla
4	dohts
4	Druúkahm
4	d§irdeht
4	ehde
4	Eij
4	eijoht
4	Eòìeïi
4	eúúeet
4	Ewangeljuma
4	Gailis
4	Galileju
4	Grehki
4	gribbaht
4	gribbi
4	gulleja
4	gullim
4	isd§iht
4	isgahjis
4	isúabrihnijahs
4	istruhzinajahs
4	Jeb
4	Jeru§alemi
4	Jttin
4	Juddo
4	Juhºu
4	kahdahs
4	Kahjahm
4	kapehz
4	klahtu
4	kohpa^
4	Kumeïu
4	labbo
4	Lihd§ibu
4	Mahja^s
4	Mahúahs
4	mahziht
4	manna^
4	mannu
4	mans
4	Meeúa
