Vârdformu skaits:	4646
Vârdlietojumu skaits:	22465


1098	un
460	to
427	Un
376	no
366	ne
364	irr
357	tas
349	tee
320	kas
308	ka
283	teem
283	úazzija
261	us
245	Bet
233	wiòúch
212	juhs
189	pee
172	wiòòa
167	es
157	JE§us
155	tad
149	jums
143	ar
137	tha
127	buhs
123	tohs
116	kad
116	wiòòu
108	tu
106	Tad
105	ta
97	tam
92	Jo
87	ko
84	bij
83	bet
82	jo
82	weenu
72	weens
71	tohp
70	úawu
67	ja
62	tahs
61	bija
61	úakku
60	thas
58	tho
57	Kungs
57	tew
56	daud§
56	nahze
54	zaur
51	Dehls
49	eúúaht
49	pahr
48	Deewa
48	nu
48	wiòòam
47	taps
46	atbildeja
46	jeb
44	diwi
44	juhúo
44	tur
43	arri
43	par
41	Mahzekïi
39	gahje
39	Ïaudis
39	man
39	red§i
39	ta`
39	tappe
38	d§imdinaja
38	lihd§
37	eúmu
37	preekúch
37	úewim
36	Es
36	Kri§tus
36	mehs
36	pehz
36	úaweem
35	eekúch
35	Kad
35	Semmes
35	uhs
35	Zilweka
34	mums
33	neds
33	Tapehz
32	mannim
32	úawus
32	tahm
31	eúúi
31	Ïaudim
31	wiòòo
30	manni
29	No
29	red§eja
29	wehl
28	arrid§an
28	Juhs
28	lai
28	Mahzekïeem
27	ir
27	úawa^
26	úakka
26	úawas
26	wiúúu
25	Greek
25	pakkaï
25	Pateeúi`
24	Debbeúi^s
24	JE§u
24	Ka
24	nahk
24	Tas
24	tawa
24	Tee
23	gribbu
23	Tehws
23	wiúúi
22	Deewu
22	manna
22	Ne
22	prett
22	Tehwa
22	tewi
21	Debbes
21	dehï
21	doht
21	kahdu
21	kam
21	Ko
21	kur
21	Wahrdu
21	ween
21	weena
21	weenam
20	gann
20	Kas
20	tai
20	taptu
20	warr
19	atkal
19	darra
19	Leetahs
19	Pehteris
19	Red§i
19	§tarp
19	Ta`
19	tewim
19	Zilweks
18	òehme
18	wirs
18	wiús
18	1
17	eúúam
17	Ja
17	mans
17	patt
17	úawa
17	Semme^
17	wairak
17	wiúúahs
17	Zilweku
16	aisgahje
16	Kalps
16	nahks
16	nahzis
16	nogahje
16	Praweetu
16	runnaja
16	úchis
16	úcho
16	Ta
16	Tehwu
16	tudaï
16	Wahrda^
15	buht
15	buhtu
15	darrija
15	Deews
15	Dehlu
15	Jeb
15	Luhk
15	Namma^
15	newa
15	Rohku
15	Úirds
15	§tahw
15	tapt
15	UN
15	wiòòeem
15	Zilwekeem
14	Debbeúo
14	isgahje
14	Íehniòúch
14	Kunga
14	Laika^
14	mannis
14	pa
14	pats
14	úawahs
14	úazzihts
14	úazzijis
14	Úchis
14	Tu
14	Wallod
13	Augïus
13	bes
13	darriht
13	Dawida
13	d§irdeja
13	eet
13	Erodus
13	Jahnis
13	Mahzitais
13	òemm
13	paúcha^
13	úazzidams
13	úewi
13	teekams
13	Tew
13	tomehr
13	Zeïïu
13	zittus
12	augúcham
12	itt
12	Mahti
12	paúchu
12	peepildihts
12	Rak§ta=Mahzitajeem
12	úazzihs
12	úchi
12	úchihs
12	Úeewa
12	tapehz
12	tawu
12	tik
12	turrenes
12	Wiòúch
12	wirúu
12	wiúúa
11	Debbeúo=Wal§tiba
11	d§ird
